Model,Metric,Split,mean,std
NORMA,R2,Test,0.6780105584892112,0.13673631469616582
NORMA,R2,Train,0.6998702863893022,0.13301797752749026
NORMA,R2,Val,0.6920761909745343,0.12861532173481569
ARIMA,R2,Test,0.5779274639224162,0.20231972316410024
ARIMA,R2,Train,0.6003869432902297,0.19104637163666088
ARIMA,R2,Val,-1.234561858751334,10.509492757109722
Mean,R2,Test,0.432105212766481,0.15821761631316877
Mean,R2,Train,0.43173105339883855,0.15787507715214777
Mean,R2,Val,0.4392987043007591,0.1547758373917075
last,R2,Test,0.5277395515699821,0.22818124566213963
last,R2,Train,0.5328573354010109,0.22101619595998212
last,R2,Val,0.5323054023174428,0.21057754296046344
ARIMA,MAE,Test,5.864721216696892,0.14428807566995733
ARIMA,MAPE,Test,14.154996406642796,0.3474506260474809
ARIMA,MSE,Test,445.0041351529513,60.34495014277666
ARIMA,MAE,Train,6.052380996093357,0.08812032868965436
ARIMA,MAPE,Train,14.825357768631918,0.3103266078220594
ARIMA,MSE,Train,480.76338243399755,26.544393039337674
ARIMA,MAE,Val,6.084301676233026,0.24067980155296465
ARIMA,MAPE,Val,14.324050086815095,0.4758091683699968
ARIMA,MSE,Val,444.753121558657,66.46197827732915
Mean,MAE,Test,7.53999659343571,0.034538485949115155
Mean,MAPE,Test,17.22600222513343,0.10020955959533129
Mean,MSE,Test,512.2131687673422,7.3607273683268515
Mean,MAE,Train,7.5741968516326645,0.019860309478994916
Mean,MAPE,Train,17.402014997210404,0.06842154057440718
Mean,MSE,Train,519.6411357989555,4.123261549408258
Mean,MAE,Val,7.498574437547046,0.04599943165222631
Mean,MAPE,Val,17.41943867117236,0.1700175416640314
Mean,MSE,Val,500.94738362525436,10.14667530512482
last,MAE,Test,6.128308673875218,0.029741395148883985
last,MAPE,Test,13.0021544188104,0.09021858201829748
last,MSE,Test,381.3648308746938,6.357736017739039
last,MAE,Train,6.205874933306653,0.015076610936687402
last,MAPE,Train,13.01609146192911,0.057798623569573465
last,MSE,Train,395.2378501229718,2.8807556811006885
last,MAE,Val,6.131228203431975,0.039433455544334035
last,MAPE,Val,12.995596603213114,0.1116378753089371
last,MSE,Val,384.09123559059304,7.823442404559599
NORMA,MAE,Test,4.963588276685673,0.018337388488039258
NORMA,MAPE,Test,9.942677712514516,0.02902447734420624
NORMA,MSE,Test,229.13776204148562,2.5222231093785563
NORMA,MAE,Train,5.747442304497975,0.010553453434994328
NORMA,MAPE,Train,12.043987918116533,0.021380136189213587
NORMA,MSE,Train,271.6793830895511,1.1650547363966957
NORMA,MAE,Val,4.939660928002161,0.022594146945960753
NORMA,MAPE,Val,9.960731936167136,0.04349188069624515
NORMA,MSE,Val,223.47949211818985,4.074411019288179
