Analyte,N,PopRI (%),PerRI (%),PerRI RR (%),NORMA (%),NORMA RR (%)
A1C,"158,126",24.0,31.5,9.9,28.2,5.6
ALB,"8,133,359",14.6,28.4,16.2,24.4,11.5
ALP,"11,585,610",11.9,43.5,35.9,21.8,11.3
ALT,"15,257,779",13.6,41.4,32.1,21.0,8.6
AST,"16,586,624",7.1,38.3,33.6,14.2,7.6
BUN,"15,285,197",23.5,45.8,29.2,26.7,4.2
CA,"9,458,811",14.0,29.0,17.5,19.9,6.8
CL,"724,900",22.9,41.5,24.1,28.2,6.8
CO2,"3,835",54.5,60.2,12.6,56.2,3.7
CRE,"19,857,093",14.1,25.6,13.5,19.1,5.8
DBIL,---,---,---,---,---,---
GLU,"10,290,455",32.6,51.7,28.3,35.0,3.5
HCT,"17,449,010",32.2,49.7,25.8,37.7,8.2
HDL,"8,033,119",15.7,44.5,34.1,21.7,7.1
HGB,"17,527,434",27.9,42.4,20.0,33.1,7.2
K,"19,531,867",12.2,25.0,14.6,18.6,7.3
LDL,"9,181,156",11.8,41.4,33.6,19.5,8.7
MCH,"18,930,707",18.4,36.3,22.0,29.0,13.1
MCHC,"11,595,388",40.0,49.8,16.4,43.9,6.5
MCV,"25,028,648",9.4,37.5,31.1,26.6,19.0
MPV,"24,866,984",7.6,31.4,25.7,88.0,87.0
NA,"20,294,123",11.1,36.1,28.1,15.0,4.3
PLT,"26,043,464",7.5,41.2,36.5,12.5,5.4
RBC,"21,866,419",24.0,48.6,32.4,29.1,6.7
RDW,"20,876,752",23.4,37.8,18.8,30.4,9.2
TBIL,"7,947,509",11.9,22.0,11.4,48.9,42.0
TC,"9,978,906",18.4,44.3,31.7,24.0,6.9
TGL,---,---,---,---,---,---
TP,"8,046,441",10.2,27.3,19.0,22.0,13.1
WBC,"25,605,242",14.6,37.7,27.0,22.8,9.5
