Analyte,N (train),N (test),PopRI HR,PopRI C,PerRI HR,PerRI C,NORMA HR,NORMA C
A1C,---,---,---,---,---,---,---,---
ALB,11121 (2490),7414 (1660),"1.28 [1.01, 1.63]",0.516,"1.45 [1.03, 2.03]",0.515,"1.36 [1.04, 1.79]",0.515
ALP,7949 (1702),5300 (1134),"1.25 [1.14, 1.37]",0.544,"1.12 [0.99, 1.26]",0.516,"1.24 [1.12, 1.36]",0.534
ALT,7267 (1472),4846 (982),"1.08 [0.97, 1.19]",0.504,"0.94 [0.82, 1.07]",0.505,"1.06 [0.95, 1.18]",0.504
AST,7429 (1464),4954 (976),"1.19 [1.08, 1.32]",0.529,"1.07 [0.95, 1.21]",0.504,"1.14 [1.03, 1.27]",0.522
BUN,33279 (4964),22187 (3310),"1.89 [1.76, 2.04]",0.566,"1.63 [1.47, 1.82]",0.535,"1.73 [1.60, 1.87]",0.555
CA,32980 (5407),21987 (3604),"1.43 [1.34, 1.53]",0.541,"1.40 [1.28, 1.52]",0.533,"1.39 [1.29, 1.49]",0.539
CL,34213 (5471),22809 (3647),"1.43 [1.34, 1.52]",0.540,"1.24 [1.14, 1.34]",0.525,"1.43 [1.34, 1.52]",0.538
CO2,40566 (6164),27044 (4109),"1.40 [1.31, 1.50]",0.534,"1.35 [1.23, 1.49]",0.524,"1.33 [1.24, 1.44]",0.528
CRE,31638 (4454),21092 (2969),"1.77 [1.66, 1.89]",0.576,"1.55 [1.44, 1.66]",0.555,"1.59 [1.49, 1.69]",0.560
DBIL,682 (211),456 (141),"1.32 [0.97, 1.79]",0.520,"1.32 [0.94, 1.86]",0.520,"1.40 [1.01, 1.93]",0.523
GLU,52476 (6866),34984 (4577),"1.06 [0.94, 1.19]",0.519,"0.96 [0.82, 1.13]",0.518,"1.04 [0.92, 1.17]",0.519
HCT,34716 (5015),23144 (3343),"1.91 [1.55, 2.36]",0.524,"2.59 [1.78, 3.79]",0.521,"1.97 [1.56, 2.49]",0.524
HDL,---,---,---,---,---,---,---,---
HGB,34923 (5009),23282 (3339),"1.97 [1.62, 2.40]",0.527,"2.18 [1.61, 2.96]",0.524,"2.01 [1.61, 2.50]",0.526
K,38496 (5647),25664 (3764),"1.40 [1.33, 1.48]",0.557,"1.33 [1.26, 1.41]",0.544,"1.39 [1.32, 1.47]",0.554
LDL,---,---,---,---,---,---,---,---
MCH,27981 (4313),18654 (2875),"1.12 [1.05, 1.19]",0.528,"1.08 [1.01, 1.16]",0.527,"1.14 [1.07, 1.21]",0.528
MCHC,29898 (4621),19933 (3080),"1.17 [1.10, 1.25]",0.531,"1.14 [1.05, 1.25]",0.529,"1.13 [1.05, 1.21]",0.530
MCV,29400 (4528),19601 (3018),"1.12 [1.04, 1.21]",0.523,"1.02 [0.96, 1.08]",0.522,"1.06 [1.00, 1.13]",0.523
MPV,21459 (3144),14307 (2096),"1.30 [1.18, 1.43]",0.535,"1.07 [1.00, 1.15]",0.523,"1.10 [0.98, 1.24]",0.526
NA,36123 (5599),24082 (3733),"1.13 [1.07, 1.19]",0.527,"1.06 [0.99, 1.13]",0.528,"1.01 [0.94, 1.08]",0.525
PLT,30866 (4735),20578 (3156),"1.38 [1.30, 1.46]",0.543,"1.03 [0.95, 1.12]",0.517,"1.15 [1.08, 1.22]",0.524
RBC,30981 (4736),20654 (3158),"1.75 [1.50, 2.04]",0.520,"1.71 [1.40, 2.09]",0.521,"1.78 [1.50, 2.11]",0.521
RDW,28174 (4340),18783 (2894),"1.73 [1.60, 1.87]",0.571,"1.65 [1.50, 1.83]",0.553,"1.71 [1.58, 1.86]",0.568
TBIL,7447 (1482),4966 (988),"1.15 [1.04, 1.28]",0.526,"1.11 [1.00, 1.23]",0.527,"1.12 [1.01, 1.24]",0.532
TC,20 (4),14 (2),"0.52 [0.07, 3.77]",0.640,---,0.600,"0.89 [0.08, 10.23]",0.640
TGL,186 (54),124 (36),"1.18 [0.67, 2.09]",0.551,"0.97 [0.47, 2.01]",0.515,"1.02 [0.58, 1.82]",0.525
TP,8860 (1890),5908 (1260),"1.28 [1.15, 1.43]",0.517,"1.34 [1.15, 1.55]",0.510,"1.31 [1.16, 1.48]",0.518
WBC,30162 (4532),20108 (3021),"1.27 [1.19, 1.35]",0.537,"1.17 [1.08, 1.26]",0.524,"1.28 [1.20, 1.36]",0.531
