Analyte,N (train),N (test),PopRI HR,PopRI C,PerRI HR,PerRI C,NORMA HR,NORMA C
A1C,---,---,---,---,---,---,---,---
ALB,11106 (2754),7405 (1836),"2.27 [1.72, 3.00]",0.519,"2.42 [1.64, 3.56]",0.518,"2.24 [1.66, 3.02]",0.518
ALP,7938 (2020),5292 (1347),"1.17 [1.07, 1.28]",0.544,"0.98 [0.88, 1.10]",0.503,"1.12 [1.02, 1.22]",0.532
ALT,7256 (1877),4838 (1252),"1.01 [0.92, 1.11]",0.510,"1.01 [0.90, 1.13]",0.510,"0.99 [0.90, 1.09]",0.512
AST,7415 (1904),4944 (1270),"1.08 [0.98, 1.18]",0.502,"0.96 [0.87, 1.07]",0.517,"1.08 [0.98, 1.18]",0.495
BUN,33240 (5690),22161 (3793),"1.22 [1.15, 1.30]",0.533,"1.08 [0.99, 1.17]",0.527,"1.16 [1.09, 1.24]",0.527
CA,32941 (5802),21962 (3868),"1.53 [1.44, 1.63]",0.549,"1.56 [1.43, 1.71]",0.538,"1.51 [1.40, 1.62]",0.544
CL,34176 (5909),22785 (3939),"1.34 [1.26, 1.41]",0.539,"1.29 [1.20, 1.39]",0.528,"1.32 [1.24, 1.40]",0.536
CO2,40521 (6798),27015 (4532),"1.26 [1.18, 1.34]",0.540,"1.17 [1.07, 1.27]",0.532,"1.19 [1.12, 1.28]",0.534
CRE,31595 (5314),21064 (3542),"1.28 [1.21, 1.35]",0.547,"1.21 [1.14, 1.29]",0.536,"1.21 [1.15, 1.28]",0.537
DBIL,682 (186),456 (125),"0.98 [0.72, 1.33]",0.513,"1.01 [0.72, 1.41]",0.515,"1.09 [0.79, 1.50]",0.522
GLU,52429 (7603),34953 (5068),"0.98 [0.88, 1.09]",0.527,"0.93 [0.80, 1.08]",0.527,"0.96 [0.86, 1.08]",0.527
HCT,34671 (5744),23114 (3829),"1.50 [1.26, 1.79]",0.528,"1.75 [1.31, 2.34]",0.527,"1.47 [1.22, 1.78]",0.527
HDL,---,---,---,---,---,---,---,---
HGB,34876 (5787),23252 (3858),"1.50 [1.28, 1.76]",0.531,"1.53 [1.22, 1.93]",0.527,"1.50 [1.26, 1.79]",0.529
K,38461 (6288),25642 (4192),"1.48 [1.40, 1.55]",0.560,"1.32 [1.25, 1.40]",0.541,"1.41 [1.34, 1.48]",0.551
LDL,---,---,---,---,---,---,---,---
MCH,27943 (5010),18630 (3340),"1.20 [1.14, 1.27]",0.533,"1.11 [1.04, 1.18]",0.525,"1.19 [1.13, 1.26]",0.533
MCHC,29860 (5363),19908 (3575),"1.32 [1.24, 1.41]",0.547,"1.30 [1.20, 1.41]",0.529,"1.31 [1.23, 1.40]",0.541
MCV,29362 (5220),19575 (3480),"1.24 [1.16, 1.33]",0.529,"1.12 [1.05, 1.18]",0.510,"1.22 [1.15, 1.29]",0.520
MPV,21432 (3423),14289 (2282),"1.27 [1.16, 1.39]",0.520,"1.05 [0.98, 1.12]",0.513,"1.04 [0.93, 1.16]",0.514
NA,36085 (6030),24058 (4020),"1.05 [1.00, 1.11]",0.519,"1.00 [0.93, 1.06]",0.519,"0.98 [0.92, 1.05]",0.519
PLT,30826 (5403),20552 (3603),"1.16 [1.10, 1.23]",0.532,"1.03 [0.95, 1.11]",0.526,"1.07 [1.01, 1.13]",0.530
RBC,30939 (5515),20626 (3677),"1.38 [1.22, 1.57]",0.522,"1.47 [1.24, 1.74]",0.518,"1.36 [1.19, 1.56]",0.519
RDW,28135 (5022),18758 (3349),"1.83 [1.70, 1.96]",0.557,"1.67 [1.52, 1.83]",0.535,"1.77 [1.64, 1.91]",0.545
TBIL,7437 (1878),4959 (1252),"1.02 [0.93, 1.12]",0.517,"0.98 [0.89, 1.08]",0.511,"1.01 [0.92, 1.11]",0.515
TC,20 (6),14 (5),"0.71 [0.13, 3.89]",0.425,---,0.375,"0.76 [0.08, 7.71]",0.425
TGL,186 (63),124 (42),"0.95 [0.56, 1.59]",0.409,"1.28 [0.63, 2.63]",0.439,"0.89 [0.53, 1.50]",0.405
TP,8848 (2278),5899 (1518),"1.07 [0.97, 1.18]",0.529,"1.08 [0.95, 1.22]",0.527,"1.11 [1.00, 1.24]",0.531
WBC,30127 (5170),20086 (3447),"1.48 [1.39, 1.57]",0.545,"1.28 [1.19, 1.38]",0.523,"1.39 [1.31, 1.48]",0.536
