Analyte,PopRI,PerRI,NORMA
A1C,---,---,---
ALB,466,551,504
ALP,224,535,294
ALT,252,531,327
AST,186,441,240
BUN,360,546,400
CA,245,378,300
CL,322,461,360
CO2,428,512,467
CRE,231,333,266
DBIL,136,215,172
GLU,541,586,556
HCT,535,677,566
HDL,---,"1,000",---
HGB,518,643,555
K,148,281,200
LDL,---,800,---
MCH,83,308,177
MCHC,289,452,339
MCV,48,372,141
MPV,44,320,616
NA,246,418,300
PLT,122,524,310
RBC,475,570,509
RDW,248,456,312
TBIL,149,293,200
TC,286,743,400
TGL,212,519,285
TP,277,427,329
WBC,256,435,298
