Analyte,chs_PopRI,chs_PerRI,chs_NORMA,eicu_PopRI,eicu_PerRI,eicu_NORMA
A1C,240,315,282,---,---,---
ALB,146,284,244,466,551,504
ALP,119,435,218,224,535,294
ALT,136,414,210,252,531,327
AST,71,383,142,186,441,240
BUN,235,458,267,360,546,400
CA,140,290,199,245,378,300
CL,229,415,282,322,461,360
CO2,545,602,562,428,512,467
CRE,141,256,191,231,333,266
DBIL,---,---,---,136,215,172
GLU,326,517,350,541,586,556
HCT,322,497,377,535,677,566
HDL,157,445,217,---,"1,000",---
HGB,279,424,331,518,643,555
K,122,250,186,148,281,200
LDL,118,414,195,---,800,---
MCH,184,363,290,83,308,177
MCHC,400,498,439,289,452,339
MCV,94,375,266,48,372,141
MPV,76,314,880,44,320,616
NA,111,361,150,246,418,300
PLT,75,412,125,122,524,310
RBC,240,486,291,475,570,509
RDW,234,378,304,248,456,312
TBIL,119,220,489,149,293,200
TC,184,443,240,286,743,400
TGL,---,---,---,212,519,285
TP,102,273,220,277,427,329
WBC,146,377,228,256,435,298
