analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,1.0,0.675,0.881,0.958
ALB,1.0,0.800,0.753,0.888
ALP,1.0,0.642,0.776,0.881
ALT,1.0,0.673,0.831,0.909
AST,1.0,0.671,0.828,0.919
BUN,1.0,0.709,0.854,0.952
CA,1.0,0.805,0.838,0.926
CL,1.0,0.726,0.809,0.924
CO2,1.0,0.819,0.843,0.976
CRE,1.0,0.845,0.749,0.935
GLU,1.0,0.682,0.857,0.957
HCT,1.0,0.721,0.831,0.915
HDL,1.0,0.646,0.820,0.927
HGB,1.0,0.769,0.812,0.923
K,1.0,0.810,0.847,0.920
LDL,1.0,0.638,0.782,0.909
MCH,1.0,0.752,0.817,0.866
MCHC,1.0,0.755,0.854,0.923
MCV,1.0,0.695,0.765,0.804
MPV,1.0,0.747,0.866,0.129
NA,1.0,0.728,0.873,0.952
PLT,1.0,0.634,0.775,0.941
RBC,1.0,0.668,0.768,0.929
RDW,1.0,0.789,0.868,0.904
TBIL,1.0,0.860,0.742,0.579
TC,1.0,0.641,0.782,0.924
TP,1.0,0.776,0.758,0.862
WBC,1.0,0.722,0.804,0.899
