analyte,ARIMA,Gaussian_eb,Gaussian_mle,Gaussian_trunc,Last,Mean,NORMA_marginal,NORMA_normal,NORMA_oracle,PerRI,PopRI
A1C,5.67,28.90,28.70,32.10,1.920,7.61,17.00,22.70,6.85,6.97,30.10
ALB,5.02,5.62,4.99,6.76,1.990,4.86,6.05,5.35,4.69,4.51,9.57
ALP,12.20,15.10,14.90,20.30,4.620,14.00,24.80,13.60,12.10,13.30,24.30
ALT,28.20,34.30,31.10,94.20,9.140,29.70,32.60,27.60,21.80,24.50,66.00
AST,18.60,16.60,16.10,24.00,6.340,17.10,34.00,15.90,14.90,16.30,32.90
BUN,16.80,19.20,19.20,25.10,6.690,16.30,18.80,18.90,14.60,16.40,26.90
CA,2.93,3.07,2.84,4.70,1.090,2.76,3.05,3.06,2.70,2.70,3.77
CL,3.86,2.31,2.32,6.02,2.570,2.20,2.03,2.00,1.76,1.85,2.54
CO2,10.80,7.86,7.85,7.85,11.200,6.82,6.18,7.59,6.46,6.20,9.63
CRE,8.44,20.10,11.80,37.00,3.720,9.88,14.70,12.00,10.40,8.20,22.80
GLU,10.90,15.70,15.60,22.20,4.440,10.90,12.90,15.20,9.20,10.40,18.30
HCT,4.96,7.34,7.30,10.70,2.250,5.21,6.41,7.90,4.28,4.83,10.50
HDL,11.00,26.80,23.10,35.70,4.310,11.40,14.80,16.00,9.72,10.70,54.50
HGB,4.63,8.35,7.84,11.30,2.140,5.26,5.76,6.32,3.61,4.62,13.20
K,5.70,5.89,5.59,11.80,2.290,5.48,5.97,5.83,4.90,5.38,7.86
LDL,15.70,21.50,20.80,35.60,4.920,22.90,21.80,17.70,13.40,17.30,34.80
MCH,2.76,5.52,5.41,7.47,1.270,2.91,3.81,4.27,2.31,2.74,6.90
MCHC,2.64,4.18,4.04,8.13,0.981,2.50,3.05,3.64,1.67,2.44,5.64
MCV,2.52,3.58,3.53,4.37,1.080,2.79,3.18,3.16,2.43,2.60,5.48
MPV,8.62,8.95,8.68,20.20,3.560,8.51,11.50,11.00,15.10,8.39,12.30
NA,1.24,1.25,1.24,2.70,0.469,1.23,1.29,1.42,1.23,1.18,1.51
PLT,11.80,14.60,14.20,17.10,5.030,12.40,14.60,15.50,13.40,10.70,37.40
RBC,4.45,7.89,5.93,12.20,2.080,4.79,5.24,5.56,3.84,4.40,9.12
RDW,4.25,5.92,5.78,9.38,1.790,4.49,4.92,4.83,3.46,4.08,14.90
TBIL,21.10,44.20,21.20,120.00,8.510,20.70,40.40,35.50,60.90,19.80,47.60
TC,10.40,14.10,14.00,27.70,3.490,14.00,11.70,12.70,8.51,11.00,19.50
TP,4.25,4.50,4.35,8.34,1.570,4.51,3.94,4.19,3.91,3.81,5.60
WBC,15.20,16.30,15.70,32.00,6.280,14.10,15.20,16.00,13.20,13.60,29.40
