analyte,ARIMA,Gaussian_eb,Gaussian_mle,Gaussian_trunc,Last,Mean,NORMA_marginal,NORMA_normal,NORMA_oracle,PerRI,PopRI
A1C,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
ALB,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
ALP,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120
ALT,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170
AST,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180
BUN,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510
CA,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190
CL,140,140,140,140,140,140,140,140,140,140,140
CO2,2,2,2,2,2,2,2,2,2,2,2
CRE,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990
GLU,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970
HCT,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950
HDL,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050
HGB,6930,6930,6930,6930,6930,6930,6930,6930,6930,6930,6930
K,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220
LDL,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760
MCH,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260
MCHC,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
MCV,6920,6920,6920,6920,6920,6920,6920,6920,6920,6920,6920
MPV,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430
NA,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250
PLT,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950
RBC,6940,6940,6940,6940,6940,6940,6940,6940,6940,6940,6940
RDW,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
TBIL,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670
TC,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210,5210
TP,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
WBC,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960
