analyte,ARIMA,Gaussian_eb,Gaussian_mle,Gaussian_trunc,Last,Mean,NORMA_marginal,NORMA_normal,NORMA_oracle,PerRI,PopRI
A1C,0.6150,-2.97000,-2.96000,-3.500,0.879,0.591,-0.7660,-1.8500,0.702,0.637,-3.06000
ALB,0.0933,-0.13500,0.40900,-2.070,0.670,0.451,0.2420,0.3860,0.558,0.500,-0.78800
ALP,0.4220,0.25900,0.25700,-0.932,0.798,0.571,0.3180,0.4420,0.749,0.582,-0.14800
ALT,-0.0688,0.17900,0.25600,-4.040,0.736,0.448,0.3650,0.2950,0.655,0.479,-0.07540
AST,-0.7070,0.19700,0.21500,-0.989,0.658,0.375,0.1110,0.2680,0.632,0.370,-0.04150
BUN,0.5290,0.17300,0.16900,-0.599,0.779,0.576,0.5010,0.3040,0.774,0.641,-0.11400
CA,0.0569,0.08940,0.38700,-3.670,0.661,0.443,0.3570,0.3550,0.476,0.461,-0.00099
CL,-2.5000,0.06240,0.06350,-10.400,-0.158,0.173,0.2550,0.3040,0.341,0.328,-0.07590
CO2,-16.3000,-6.90000,-6.88000,-6.880,-12.800,-4.460,-2.3700,-4.4200,-2.720,-2.690,-8.38000
CRE,0.6810,-0.15400,0.43800,-2.480,0.852,0.676,0.6030,0.5230,0.850,0.803,0.16000
GLU,0.2200,-0.40500,-0.40100,-1.090,0.707,0.497,0.0954,-0.2880,0.671,0.517,-0.52100
HCT,0.4690,0.17900,0.18400,-1.880,0.779,0.605,0.4450,0.2060,0.756,0.642,-0.31500
HDL,0.6690,-0.48800,-0.02190,-3.270,0.909,0.752,0.6220,0.6340,0.791,0.739,-2.32000
HGB,0.5410,-0.06300,0.09190,-1.870,0.815,0.627,0.5970,0.5010,0.834,0.691,-0.75900
K,0.0669,0.02300,0.27300,-7.830,0.626,0.360,0.3090,0.2710,0.540,0.366,-0.39200
LDL,0.3420,0.00289,0.06420,-4.850,0.809,0.371,0.3870,0.2870,0.753,0.473,-1.43000
MCH,0.6170,-0.05980,-0.02730,-1.490,0.846,0.716,0.5270,0.3810,0.830,0.739,-0.29000
MCHC,-0.1760,-0.93700,-0.78900,-9.480,0.628,0.305,-0.0118,-0.3760,0.649,0.300,-1.93000
MCV,0.6120,0.39300,0.41400,-0.535,0.855,0.699,0.6440,0.6300,0.795,0.723,-0.04510
MPV,0.1220,0.30800,0.36400,-8.030,0.669,0.400,0.0692,0.1490,-0.548,0.390,-0.05260
NA,-0.4380,0.15000,0.17100,-9.730,0.593,0.209,0.1400,-0.0104,0.235,0.228,-0.17000
PLT,0.4800,0.55800,0.59900,-0.199,0.821,0.676,0.3020,0.3050,0.338,0.695,-0.72300
RBC,0.5740,-0.31000,0.42700,-3.200,0.810,0.666,0.6290,0.5730,0.789,0.702,-0.05580
RDW,0.2560,-0.51600,-0.30600,-5.820,0.690,0.421,0.3980,0.2360,0.724,0.500,-3.02000
TBIL,0.2650,-1.19000,0.43600,-11.300,0.771,0.629,-0.1770,-0.1090,-1.100,0.643,-0.08810
TC,0.3620,-0.00700,0.00263,-4.820,0.784,0.382,0.4110,0.2100,0.736,0.488,-0.62200
TP,-0.0872,0.28600,0.37300,-6.600,0.683,0.346,0.4790,0.4360,0.524,0.482,-0.03230
WBC,0.0597,0.33400,0.37400,-2.880,0.547,0.459,0.5440,0.4830,0.620,0.599,-0.08030
