metric,method,median,q25,q75
rr,PopRI,4.11,3.05,7.55
rr,PerRI,1.17,1.03,1.29
rr,Gaussian_mle,1.59,1.43,2.06
rr,Gaussian_trunc,1.26,1.12,1.55
rr,Gaussian_eb,1.5,1.28,1.81
rr,NORMA,1.95,1.61,2.67
auc,PopRI,0.724,0.689,0.798
auc,PerRI,0.538,0.515,0.568
auc,Gaussian_mle,0.598,0.567,0.628
auc,Gaussian_trunc,0.531,0.499,0.553
auc,Gaussian_eb,0.577,0.556,0.61
auc,NORMA,0.625,0.59,0.654
auc_within_position,PopRI,0.554,0.536,0.57
auc_within_position,PerRI,0.397,0.355,0.43
auc_within_position,Gaussian_mle,0.418,0.361,0.439
auc_within_position,Gaussian_trunc,0.401,0.338,0.429
auc_within_position,Gaussian_eb,0.407,0.345,0.431
auc_within_position,NORMA,0.381,0.347,0.422
auprc_norm,PopRI,2.99,2.22,4.98
auprc_norm,PerRI,1.15,1.05,1.22
auprc_norm,Gaussian_mle,1.43,1.28,1.59
auprc_norm,Gaussian_trunc,1.18,1.07,1.4
auprc_norm,Gaussian_eb,1.3,1.23,1.52
auprc_norm,NORMA,1.62,1.42,2.01
