analyte,PopRI,PerRI,Gaussian_eb,NORMA
ALB,0.665,0.522,0.568,0.543
ALP,0.783,0.568,0.635,0.671
ALT,0.715,0.537,0.581,0.631
AST,0.749,0.591,0.628,0.653
BUN,0.695,0.480,0.560,0.584
CA,0.692,0.517,0.560,0.592
CRE,0.802,0.516,0.543,0.634
GLU,0.632,0.523,0.546,0.590
HCT,0.729,0.502,0.560,0.632
HDL,0.609,0.514,0.514,0.518
HGB,0.769,0.567,0.616,0.663
K,0.681,0.544,0.566,0.602
LDL,0.725,0.546,0.614,0.624
MCH,0.796,0.543,0.593,0.625
MCHC,0.605,0.514,0.552,0.556
MCV,0.907,0.583,0.650,0.684
MPV,0.748,0.523,0.593,0.586
NA,0.697,0.568,0.600,0.613
PLT,0.848,0.568,0.592,0.733
RBC,0.800,0.558,0.589,0.672
RDW,0.642,0.517,0.551,0.577
TBIL,0.747,0.501,0.516,0.527
TC,0.773,0.558,0.632,0.647
TP,0.748,0.563,0.592,0.642
WBC,0.739,0.532,0.561,0.628
