analyte,PopRI,PerRI,Gaussian_eb,NORMA
ALB,0.62-0.71,0.477-0.568,0.522-0.613,0.493-0.592
ALP,0.753-0.812,0.536-0.601,0.6-0.669,0.636-0.705
ALT,0.683-0.747,0.504-0.571,0.547-0.616,0.598-0.664
AST,0.7-0.797,0.543-0.64,0.581-0.676,0.602-0.704
BUN,0.664-0.725,0.447-0.513,0.527-0.593,0.55-0.618
CA,0.65-0.735,0.474-0.561,0.514-0.606,0.547-0.638
CRE,0.768-0.835,0.475-0.557,0.501-0.586,0.591-0.676
GLU,0.594-0.67,0.486-0.559,0.509-0.583,0.552-0.628
HCT,0.685-0.773,0.454-0.55,0.508-0.612,0.584-0.68
HDL,0.586-0.633,0.491-0.537,0.49-0.539,0.494-0.542
HGB,0.651-0.886,0.456-0.678,0.484-0.748,0.534-0.792
K,0.636-0.727,0.498-0.59,0.518-0.614,0.554-0.651
LDL,0.7-0.75,0.517-0.575,0.586-0.642,0.596-0.652
MCH,0.767-0.825,0.504-0.581,0.555-0.63,0.588-0.662
MCHC,0.556-0.654,0.464-0.563,0.502-0.602,0.506-0.606
MCV,0.887-0.926,0.534-0.631,0.6-0.699,0.64-0.728
MPV,0.72-0.777,0.489-0.557,0.559-0.627,0.552-0.62
NA,0.668-0.727,0.539-0.597,0.57-0.63,0.582-0.644
PLT,0.816-0.88,0.522-0.613,0.545-0.639,0.696-0.771
RBC,0.774-0.827,0.52-0.595,0.554-0.623,0.638-0.706
RDW,0.624-0.66,0.499-0.535,0.532-0.569,0.558-0.595
TBIL,0.701-0.792,0.45-0.552,0.462-0.57,0.475-0.58
TC,0.724-0.822,0.498-0.618,0.568-0.695,0.583-0.711
TP,0.687-0.808,0.497-0.63,0.529-0.655,0.577-0.707
WBC,0.713-0.765,0.503-0.561,0.533-0.59,0.6-0.656
