analyte,PopRI,PerRI,Gaussian_mle,Gaussian_trunc,Gaussian_eb,NORMA
ALB,3.55,1.24,1.42,1.26,1.5,1.88
ALP,6.8,1.4,2.4,2.11,2.27,2.67
ALT,4.53,1.16,1.56,1.17,1.49,2.07
AST,5.9,1.76,2.21,1.78,1.94,2.69
BUN,2.99,0.911,1.26,1.06,1.24,1.46
CA,3.6,1.07,1.52,1.28,1.5,1.91
CRE,7.63,1.06,1.78,0.897,1.2,2.5
GLU,2.76,1.04,1.26,1.26,1.23,1.64
HCT,5.04,0.885,1.29,1.2,1.26,1.73
HDL,1.82,1.06,1.34,1.28,1.32,1.13
HGB,106.0,1.01,4.67,3.2,4.28,9.73
K,4.85,1.36,1.76,1.31,1.76,2.51
LDL,3.24,1.27,2.08,1.94,1.97,1.81
MCH,5.37,1.1,1.67,1.32,1.61,1.85
MCHC,1.79,1.3,1.45,1.16,1.32,1.45
MCV,14.7,1.36,3.0,2.34,2.55,2.61
MPV,5.76,1.12,1.73,1.19,1.67,1.83
NA,3.11,1.25,1.67,1.31,1.68,1.93
PLT,17.8,1.32,2.02,1.66,1.76,3.28
RBC,7.25,1.26,1.85,1.2,1.52,2.67
RDW,2.53,1.15,1.41,1.25,1.28,1.61
TBIL,4.34,0.849,1.13,0.895,1.12,1.16
TC,6.08,1.0,2.42,2.07,2.4,3.11
TP,6.4,1.91,2.51,1.67,2.17,2.92
WBC,5.82,1.23,1.57,1.21,1.37,1.92
