analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,1.0,0.0000,1.000,0.735
ALB,1.0,1.0000,1.000,1.000
ALP,1.0,1.0000,1.000,1.000
ALT,1.0,1.0000,0.928,0.876
AST,1.0,1.0000,1.000,1.000
BUN,1.0,0.8670,0.987,0.893
CA,1.0,1.0000,1.000,1.000
CL,1.0,0.7670,0.905,0.849
CO2,1.0,0.0433,1.000,0.609
CRE,1.0,0.9990,1.000,0.990
GLU,1.0,0.3740,0.985,0.834
HCT,1.0,0.6260,0.943,0.959
HDL,1.0,1.0000,1.000,0.896
HGB,1.0,0.6730,1.000,0.854
K,1.0,0.9390,0.950,0.961
LDL,1.0,1.0000,1.000,0.985
MCH,1.0,0.7490,1.000,0.918
MCHC,1.0,0.4440,0.845,0.828
MCV,1.0,1.0000,1.000,1.000
MPV,1.0,1.0000,0.930,1.000
NA,1.0,1.0000,0.955,0.957
PLT,1.0,1.0000,1.000,0.906
RBC,1.0,0.9750,1.000,0.966
RDW,1.0,0.8820,1.000,0.961
TBIL,1.0,0.9030,0.921,0.510
TC,1.0,0.8530,0.955,0.886
TP,1.0,1.0000,1.000,1.000
WBC,1.0,1.0000,1.000,1.000
