analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,1.0,0.935,1.000,0.7310
ALB,1.0,0.360,0.395,0.5140
ALP,1.0,0.312,0.453,0.5470
ALT,1.0,0.356,0.651,0.6770
AST,1.0,0.304,0.493,0.6000
BUN,1.0,0.658,0.721,0.8330
CA,1.0,0.658,0.739,0.7990
CL,1.0,0.762,0.934,0.9500
CO2,1.0,1.890,1.000,1.3400
CRE,1.0,0.510,0.546,0.7060
GLU,1.0,0.981,0.930,0.8900
HCT,1.0,0.658,0.702,0.7710
HDL,1.0,0.192,0.393,0.3780
HGB,1.0,0.517,0.527,0.5460
K,1.0,0.709,0.740,0.7700
LDL,1.0,0.288,0.485,0.5830
MCH,1.0,0.605,0.689,0.6090
MCHC,1.0,0.965,0.858,0.6550
MCV,1.0,0.389,0.459,0.4770
MPV,1.0,0.584,0.790,0.0885
NA,1.0,0.614,0.832,0.9310
PLT,1.0,0.231,0.356,0.5430
RBC,1.0,0.445,0.588,0.6880
RDW,1.0,0.347,0.390,0.3560
TBIL,1.0,0.550,0.629,0.5190
TC,1.0,0.467,0.698,0.8360
TP,1.0,0.527,0.575,0.6300
WBC,1.0,0.455,0.573,0.6490
