analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,,2830.0,2400.0,3070.0
ALB,,396.0,132.0,120.0
ALP,,1300.0,924.0,864.0
ALT,,1310.0,1140.0,1180.0
AST,,1100.0,744.0,756.0
BUN,,1290.0,1010.0,996.0
CA,,1100.0,840.0,624.0
CL,,1420.0,384.0,744.0
CRE,1130.0,1190.0,1010.0,726.0
GLU,,1510.0,1450.0,1310.0
HCT,,1550.0,1090.0,1020.0
HDL,,2080.0,1910.0,1850.0
HGB,,1510.0,1100.0,1330.0
K,,696.0,720.0,408.0
LDL,,2520.0,2260.0,2700.0
MCH,,1980.0,2000.0,1940.0
MCHC,,1490.0,1590.0,1430.0
MCV,,1660.0,1520.0,1200.0
MPV,,1280.0,1810.0,1460.0
NA,,834.0,720.0,870.0
PLT,,792.0,648.0,546.0
RBC,1210.0,1080.0,1270.0,1250.0
RDW,,1510.0,1420.0,1640.0
TBIL,1210.0,1300.0,1140.0,1110.0
TC,,2000.0,1700.0,2020.0
TP,,438.0,456.0,516.0
WBC,,1340.0,1200.0,948.0
