analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,0.000000,0.0630,0.0182,0.01400
ALB,0.000000,0.0405,0.0456,0.05010
ALP,0.000000,0.0315,0.0407,0.03620
ALT,0.000000,0.0470,0.0558,0.05700
AST,0.000000,0.0288,0.0415,0.03470
BUN,0.000000,0.0741,0.0624,0.06340
CA,0.000000,0.0546,0.0612,0.04890
CL,0.000000,0.0594,0.0385,0.09090
CRE,0.010900,0.0445,0.0409,0.05060
GLU,0.000000,0.0862,0.0327,0.02660
HCT,0.000000,0.0773,0.0502,0.03550
HDL,0.000000,0.0157,0.0167,0.00609
HGB,0.000000,0.0716,0.0635,0.03950
K,0.000000,0.0638,0.0640,0.07380
LDL,0.000000,0.0339,0.0269,0.02790
MCH,0.000000,0.0665,0.0514,0.05230
MCHC,0.000000,0.1200,0.0678,0.06260
MCV,0.000000,0.0285,0.0465,0.04360
MPV,0.000000,0.0389,0.0512,0.05180
NA,0.000000,0.0503,0.0554,0.03560
PLT,0.000000,0.0431,0.0673,0.05790
RBC,0.000575,0.0741,0.0767,0.05670
RDW,0.000000,0.0640,0.0624,0.04510
TBIL,0.007440,0.0611,0.0508,0.06540
TC,0.000000,0.0543,0.0351,0.03410
TP,0.000000,0.0625,0.0752,0.06560
WBC,0.000000,0.0731,0.0740,0.06700
