analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,135.0,135.0,135.0,135.0
ALB,102.0,102.0,102.0,102.0
ALP,168.0,168.0,168.0,168.0
ALT,441.0,441.0,441.0,441.0
AST,206.0,206.0,206.0,206.0
BUN,511.0,511.0,511.0,511.0
CA,212.0,212.0,212.0,212.0
CL,30.0,30.0,30.0,30.0
CRE,347.0,347.0,347.0,347.0
GLU,916.0,916.0,916.0,916.0
HCT,1480.0,1480.0,1480.0,1480.0
HDL,528.0,528.0,528.0,528.0
HGB,1190.0,1190.0,1190.0,1190.0
K,286.0,286.0,286.0,286.0
LDL,473.0,473.0,473.0,473.0
MCH,853.0,853.0,853.0,853.0
MCHC,1700.0,1700.0,1700.0,1700.0
MCV,430.0,430.0,430.0,430.0
MPV,544.0,544.0,544.0,544.0
NA,300.0,300.0,300.0,300.0
PLT,343.0,343.0,343.0,343.0
RBC,1020.0,1020.0,1020.0,1020.0
RDW,956.0,956.0,956.0,956.0
TBIL,201.0,201.0,201.0,201.0
TC,560.0,560.0,560.0,560.0
TP,123.0,123.0,123.0,123.0
WBC,808.0,808.0,808.0,808.0
