analyte,PopRI,PerRI,Gaussian_eb,NORMA
A1C,,1980.0-4840.0,2280.0-3870.0,2260.0-4060.0
ALB,,54.0-930.0,57.0-1000.0,48.0-891.0
ALP,,138.0-2890.0,240.0-2480.0,168.0-2780.0
ALT,,288.0-3160.0,252.0-2550.0,351.0-3370.0
AST,,99.0-2550.0,81.0-2140.0,60.0-2100.0
BUN,,144.0-3070.0,120.0-2920.0,120.0-2660.0
CA,,93.0-2180.0,60.0-2180.0,72.0-1490.0
CL,,393.0-4750.0,129.0-2640.0,360.0-3190.0
CRE,24.0-2380.0,150.0-3390.0,288.0-3650.0,96.0-2330.0
GLU,,333.0-3180.0,303.0-2900.0,240.0-3010.0
HCT,,513.0-3350.0,381.0-2980.0,264.0-2650.0
HDL,,1230.0-3390.0,1280.0-3780.0,1080.0-2610.0
HGB,,384.0-2900.0,294.0-2530.0,243.0-2540.0
K,,144.0-2750.0,108.0-2340.0,72.0-2170.0
LDL,,1570.0-4630.0,1420.0-3750.0,1280.0-4540.0
MCH,,834.0-3500.0,900.0-3660.0,792.0-3470.0
MCHC,,516.0-3250.0,468.0-3380.0,432.0-3180.0
MCV,,855.0-3000.0,627.0-3110.0,351.0-2790.0
MPV,,480.0-2960.0,465.0-3470.0,336.0-3080.0
NA,,171.0-2910.0,156.0-3260.0,168.0-3200.0
PLT,,192.0-2470.0,141.0-1770.0,144.0-2160.0
RBC,954.0-1350.0,501.0-2930.0,408.0-2720.0,333.0-2510.0
RDW,,678.0-3320.0,576.0-3280.0,738.0-3540.0
TBIL,822.0-2960.0,324.0-2790.0,255.0-3020.0,333.0-2680.0
TC,,804.0-3980.0,654.0-3650.0,840.0-3960.0
TP,,90.0-1940.0,60.0-1350.0,48.0-1430.0
WBC,,381.0-2870.0,321.0-2570.0,213.0-2110.0
