analyte,1,2,3,4,5,6,7,8,9,10
A1C,32.1,32.2,31.2,32.5,32.7,31.8,32.0,31.7,31.8,31.9
ALB,29.8,30.3,30.9,31.7,31.8,31.7,31.3,29.6,29.3,26.8
ALP,26.5,27.4,28.2,29.1,29.3,28.5,27.4,26.2,25.1,23.7
ALT,27.6,28.1,27.6,26.2,25.3,24.4,23.7,23.7,24.8,26.5
AST,27.1,27.3,27.4,27.2,26.3,25.3,24.7,23.7,23.7,25.0
BUN,23.8,24.1,25.1,25.7,26.7,27.6,27.9,27.3,26.5,25.0
CA,29.2,29.2,29.5,29.2,28.7,29.2,28.8,28.3,28.7,28.9
CL,40.9,39.4,40.8,39.9,39.5,38.2,36.5,36.3,35.1,31.1
CO2,58.8,81.2,81.2,58.8,68.8,75.0,47.1,50.0,50.0,64.7
CRE,24.1,24.8,25.4,26.6,27.5,27.6,27.0,25.6,24.7,20.0
GGT,26.8,28.2,30.1,31.1,30.9,29.3,27.8,25.6,24.9,26.2
GLB,31.0,31.1,30.3,29.8,30.3,30.9,29.7,30.6,29.7,32.2
GLU,26.4,26.7,26.4,26.4,25.6,24.8,24.4,23.3,22.3,21.5
HCT,22.7,22.7,23.3,23.6,24.3,24.7,24.8,24.5,24.3,21.1
HDL,25.4,25.6,25.4,25.5,25.2,25.1,24.9,25.5,29.2,19.2
HGB,21.0,21.2,22.0,23.3,24.0,24.9,25.6,26.0,25.8,22.1
K,27.3,27.3,27.3,27.2,27.0,26.9,26.5,26.5,27.1,26.5
LDL,24.6,24.8,24.5,24.8,24.7,24.7,24.8,25.2,27.1,28.0
MCH,25.0,25.2,25.7,25.2,25.5,25.0,23.9,23.0,22.0,19.1
MCHC,23.2,23.3,23.4,23.6,23.6,23.6,24.1,23.9,24.0,23.4
MCV,24.5,24.5,24.8,24.8,24.3,24.0,23.8,22.9,22.2,20.3
MPV,23.3,23.4,23.5,23.3,23.8,23.8,24.0,24.1,24.7,24.8
NA,27.1,27.1,27.3,26.6,27.1,27.0,26.7,26.2,26.8,26.9
PLT,25.1,24.8,24.8,24.4,24.3,24.3,23.2,22.1,21.5,20.9
RBC,21.7,21.9,22.5,23.5,24.4,25.0,24.9,25.3,24.9,21.8
RDW,21.7,22.2,23.2,24.0,25.1,25.6,25.9,25.2,23.1,19.6
TBIL,28.8,29.0,28.8,29.1,28.3,28.2,27.4,27.0,28.0,29.6
TC,24.1,24.3,24.1,24.0,24.1,24.4,24.9,25.3,27.1,27.2
TG,24.8,24.7,24.5,24.5,24.7,24.6,24.5,24.6,25.5,27.0
TP,30.0,30.3,30.2,30.8,30.5,30.4,30.4,30.8,30.2,29.1
WBC,24.6,24.7,24.8,24.7,24.3,24.3,23.4,22.5,21.5,20.9
