analyte,1,2,3,4,5,6,7,8,9,10
A1C,31.5-32.7,31.6-32.8,30.6-31.8,31.9-33.2,32.0-33.3,31.2-32.5,31.3-32.6,31.1-32.4,31.2-32.4,31.3-32.5
ALB,29.3-30.4,29.8-30.8,30.4-31.4,31.1-32.2,31.3-32.4,31.2-32.2,30.8-31.8,29.1-30.1,28.8-29.8,26.3-27.3
ALP,26.1-26.9,27.0-27.8,27.8-28.6,28.6-29.5,28.9-29.8,28.1-28.9,27.0-27.8,25.8-26.7,24.7-25.5,23.3-24.0
ALT,27.3-28.0,27.7-28.4,27.2-28.0,25.8-26.6,24.9-25.6,24.0-24.7,23.3-24.0,23.4-24.1,24.4-25.1,26.2-26.9
AST,26.8-27.5,26.9-27.7,27.0-27.8,26.9-27.6,26.0-26.7,24.9-25.6,24.4-25.1,23.4-24.1,23.3-24.0,24.6-25.3
BUN,23.5-24.2,23.7-24.4,24.8-25.5,25.4-26.1,26.4-27.1,27.2-27.9,27.6-28.3,27.0-27.7,26.2-26.9,24.6-25.3
CA,28.8-29.7,28.7-29.7,29.0-30.0,28.8-29.7,28.2-29.1,28.7-29.7,28.4-29.3,27.8-28.8,28.2-29.2,28.4-29.4
CL,38.6-43.2,37.1-41.7,38.6-43.1,37.7-42.2,37.2-41.7,36.0-40.4,34.3-38.8,34.1-38.6,32.9-37.3,29.0-33.3
CO2,36.0-78.4,57.0-93.4,57.0-93.4,36.0-78.4,44.4-85.8,50.5-89.8,26.2-69.0,28.0-72.0,28.0-72.0,41.3-82.7
CRE,23.8-24.4,24.5-25.1,25.1-25.7,26.2-26.9,27.2-27.8,27.2-27.9,26.6-27.3,25.2-25.9,24.4-25.0,19.7-20.4
GGT,26.2-27.4,27.6-28.8,29.5-30.7,30.6-31.7,30.3-31.5,28.8-29.9,27.3-28.4,25.1-26.2,24.4-25.5,25.6-26.7
GLB,29.8-32.2,29.9-32.3,29.2-31.5,28.7-31.0,29.1-31.5,29.7-32.1,28.5-30.8,29.4-31.8,28.6-30.9,31.1-33.4
GLU,26.0-26.7,26.4-27.1,26.0-26.7,26.1-26.7,25.3-25.9,24.5-25.2,24.1-24.7,23.0-23.7,22.0-22.7,21.2-21.8
HCT,22.4-23.0,22.3-23.0,23.0-23.6,23.3-24.0,24.0-24.6,24.4-25.0,24.4-25.1,24.2-24.8,24.0-24.6,20.8-21.4
HDL,25.0-25.8,25.2-26.0,25.0-25.8,25.1-25.9,24.8-25.6,24.7-25.5,24.5-25.3,25.1-25.9,28.8-29.7,18.9-19.6
HGB,20.7-21.3,20.9-21.5,21.7-22.3,23.0-23.6,23.7-24.4,24.6-25.2,25.3-25.9,25.7-26.3,25.4-26.1,21.8-22.4
K,27.0-27.7,27.0-27.7,26.9-27.6,26.8-27.5,26.7-27.4,26.5-27.2,26.1-26.8,26.1-26.8,26.7-27.4,26.1-26.9
LDL,24.2-25.0,24.5-25.2,24.2-24.9,24.4-25.1,24.3-25.1,24.3-25.1,24.5-25.2,24.8-25.6,26.7-27.5,27.6-28.4
MCH,24.6-25.3,24.9-25.6,25.3-26.0,24.9-25.5,25.2-25.9,24.7-25.4,23.6-24.2,22.7-23.4,21.7-22.3,18.8-19.4
MCHC,22.9-23.5,22.9-23.6,23.1-23.7,23.3-23.9,23.3-23.9,23.3-23.9,23.7-24.4,23.6-24.2,23.7-24.3,23.1-23.7
MCV,24.2-24.8,24.2-24.8,24.5-25.1,24.5-25.2,24.0-24.7,23.7-24.3,23.5-24.2,22.6-23.2,21.9-22.5,20.0-20.6
MPV,23.0-23.7,23.0-23.7,23.1-23.8,23.0-23.6,23.4-24.1,23.5-24.2,23.7-24.4,23.8-24.5,24.4-25.1,24.4-25.1
NA,26.8-27.5,26.7-27.5,26.9-27.6,26.3-27.0,26.8-27.5,26.6-27.3,26.3-27.0,25.8-26.5,26.4-27.1,26.5-27.2
PLT,24.8-25.4,24.5-25.2,24.5-25.1,24.1-24.8,24.0-24.6,24.0-24.6,22.9-23.5,21.8-22.4,21.2-21.9,20.6-21.2
RBC,21.4-22.0,21.6-22.2,22.2-22.8,23.2-23.8,24.0-24.7,24.7-25.3,24.6-25.2,25.0-25.6,24.6-25.2,21.5-22.1
RDW,21.4-22.0,21.9-22.5,22.9-23.5,23.7-24.3,24.8-25.4,25.3-25.9,25.6-26.2,24.8-25.5,22.8-23.4,19.3-19.9
TBIL,28.3-29.3,28.5-29.5,28.3-29.4,28.6-29.6,27.8-28.8,27.7-28.7,26.9-27.9,26.5-27.5,27.5-28.5,29.1-30.1
TC,23.8-24.5,24.0-24.7,23.7-24.4,23.6-24.3,23.8-24.5,24.0-24.7,24.5-25.2,25.0-25.7,26.8-27.5,26.9-27.6
TG,24.5-25.2,24.4-25.1,24.2-24.9,24.1-24.8,24.3-25.0,24.3-25.0,24.2-24.9,24.2-24.9,25.1-25.9,26.6-27.4
TP,29.5-30.5,29.8-30.8,29.7-30.7,30.3-31.3,30.0-31.0,29.9-30.9,29.9-31.0,30.3-31.4,29.7-30.7,28.6-29.6
WBC,24.3-24.9,24.4-25.0,24.5-25.2,24.4-25.0,24.0-24.6,24.0-24.6,23.1-23.7,22.2-22.8,21.1-21.8,20.6-21.2
