analyte,1,2,3,4,5,6,7,8,9,10
A1C,21200,21200,21200,21200,21200,21200,21200,21200,21200,21200
ALB,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200
ALP,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400
ALT,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500
AST,56600,56600,56700,56500,56600,56500,56600,56600,56600,56600
BUN,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500
CA,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500
CL,1790,1790,1800,1790,1790,1800,1780,1790,1790,1790
CO2,17,16,16,17,16,16,17,16,16,17
CRE,65600,65600,65600,65600,65600,65600,65600,65600,65600,65600
GGT,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400
GLB,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GLU,64900,64900,64900,64900,64900,64900,64900,64900,64900,64900
HCT,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
HDL,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
HGB,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
K,57800,57800,57800,57800,57800,57800,57800,57800,57800,57800
LDL,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500
MCH,63400,63400,63400,63400,63400,63400,63400,63400,63400,63400
MCHC,70100,70100,70100,70100,70100,70000,70100,70100,70100,70100
MCV,69600,69600,69600,69600,69600,69600,69600,69600,69600,69600
MPV,64700,64700,64700,64700,64700,64700,64700,64700,64700,64700
NA,58300,58000,58200,58200,58200,58200,58200,58200,58200,58200
PLT,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
RBC,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
RDW,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700
TBIL,30400,30300,30300,30300,30300,30300,30300,30300,30300,30300
TC,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300
TG,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100
TP,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400
WBC,70100,70100,70100,70100,70100,70100,70100,70100,70100,70100
