analyte,1,2,3,4,5
A1C,27.3,29.7,33.1,34.4,35.7
ALB,45.6,32.9,25.8,24.8,19.1
ALP,26.2,25.9,26.4,27.1,30.2
ALT,31.8,28.2,25.5,22.5,20.0
AST,28.1,25.5,25.1,24.6,25.2
BUN,13.9,19.3,23.9,29.6,45.4
CA,32.2,27.3,28.1,26.8,30.5
CL,43.7,35.7,35.3,34.2,38.2
CO2,51.5,54.5,65.6,90.9,54.5
CRE,15.9,19.8,23.4,27.9,39.9
GGT,25.6,28.3,27.8,28.2,31.0
GLB,26.7,28.4,30.8,30.9,36.7
GLU,17.9,20.3,23.1,27.9,35.1
HCT,24.3,23.4,23.6,23.7,22.9
HDL,25.7,25.2,24.6,24.9,25.1
HGB,25.0,23.5,23.1,24.3,21.9
K,26.4,22.7,25.0,27.7,33.6
LDL,32.3,27.4,24.7,21.7,20.4
MCH,21.2,22.9,23.3,24.6,28.2
MCHC,26.4,24.1,23.6,22.4,21.3
MCV,19.5,21.6,23.2,24.8,29.1
MPV,24.1,23.6,23.7,23.3,24.6
NA,28.5,24.4,23.7,27.0,31.1
PLT,29.1,23.8,21.9,21.3,21.7
RBC,28.2,23.8,22.7,22.3,20.8
RDW,18.4,20.3,23.8,26.6,28.8
TBIL,25.3,29.0,25.7,30.3,31.5
TC,31.1,26.4,23.9,21.7,21.5
TG,24.2,25.8,25.5,24.9,24.3
TP,38.9,30.4,27.7,26.4,27.2
WBC,22.5,22.9,23.4,24.3,24.7
