analyte,1,2,3,4,5
A1C,26.8-27.7,29.3-30.1,32.7-33.6,34.0-34.9,35.3-36.2
ALB,45.2-45.9,32.5-33.3,25.5-26.2,24.5-25.1,18.7-19.4
ALP,25.9-26.5,25.6-26.2,26.1-26.7,26.8-27.4,29.9-30.5
ALT,31.5-32.1,27.9-28.4,25.3-25.8,22.2-22.7,19.8-20.2
AST,27.9-28.4,25.2-25.7,24.8-25.4,24.4-24.9,25.0-25.5
BUN,13.7-14.0,19.1-19.5,23.6-24.1,29.3-29.9,45.1-45.7
CA,31.9-32.6,27.0-27.6,27.8-28.5,26.4-27.1,30.1-30.8
CL,42.3-45.1,34.3-37.1,33.4-37.2,32.7-35.7,36.4-40.2
CO2,35.2-67.5,38.0-70.2,48.3-79.6,76.4-96.9,38.0-70.2
CRE,15.7-16.1,19.5-20.0,23.2-23.6,27.6-28.1,39.6-40.2
GGT,25.2-25.9,27.8-28.7,27.4-28.2,27.8-28.6,30.6-31.4
GLB,26.0-27.4,27.6-29.4,30.0-31.5,30.0-31.7,35.9-37.6
GLU,17.6-18.1,20.0-20.5,22.8-23.3,27.7-28.2,34.9-35.4
HCT,24.1-24.5,23.1-23.6,23.4-23.8,23.5-23.9,22.7-23.1
HDL,25.4-25.9,25.0-25.5,24.3-24.9,24.6-25.2,24.8-25.4
HGB,24.8-25.3,23.3-23.7,22.9-23.3,24.0-24.5,21.7-22.2
K,26.2-26.7,22.5-22.9,24.7-25.3,27.4-27.9,33.3-33.9
LDL,32.0-32.6,27.2-27.7,24.5-25.0,21.4-21.9,20.2-20.7
MCH,20.9-21.4,22.6-23.1,23.0-23.5,24.4-24.9,27.9-28.5
MCHC,26.1-26.6,23.9-24.3,23.3-23.8,22.2-22.6,21.1-21.5
MCV,19.3-19.7,21.4-21.8,22.9-23.4,24.6-25.1,28.9-29.4
MPV,23.9-24.3,23.4-23.9,23.5-24.0,23.1-23.5,24.3-24.8
NA,28.2-28.7,24.1-24.6,23.5-24.0,26.7-27.2,30.8-31.4
PLT,28.8-29.3,23.6-24.0,21.7-22.2,21.0-21.5,21.5-21.9
RBC,28.0-28.5,23.5-24.0,22.5-22.9,22.1-22.6,20.6-21.1
RDW,18.2-18.6,20.1-20.5,23.6-24.1,26.3-26.8,28.6-29.1
TBIL,25.0-25.6,28.7-29.3,25.2-26.1,29.9-30.6,31.1-31.9
TC,30.9-31.4,26.1-26.6,23.6-24.1,21.5-22.0,21.3-21.7
TG,23.9-24.4,25.6-26.1,25.2-25.8,24.6-25.1,24.0-24.5
TP,38.5-39.3,30.0-30.7,27.3-28.1,26.1-26.8,26.8-27.6
WBC,22.3-22.7,22.7-23.2,23.2-23.7,24.0-24.5,24.5-24.9
