analyte,1,2,3,4,5
A1C,43700,42700,41800,43000,41100
ALB,65500,60900,64600,67800,43700
ALP,93900,88600,95400,88200,87500
ALT,118000,120000,118000,97500,111000
AST,124000,120000,107000,104000,111000
BUN,128000,121000,122000,122000,112000
CA,71300,74400,69000,69200,70700
CL,4690,4670,2450,3650,2480
CO2,33,33,32,33,33
CRE,133000,131000,135000,127000,131000
GGT,51200,46100,46200,44500,46400
GLB,14200,9580,13200,10900,11100
GLU,131000,131000,134000,124000,129000
HCT,144000,139000,138000,142000,138000
HDL,94800,100000,89600,88000,87000
HGB,142000,147000,136000,140000,135000
K,121000,123000,107000,120000,107000
LDL,105000,107000,103000,105000,105000
MCH,129000,130000,127000,126000,121000
MCHC,146000,168000,112000,137000,138000
MCV,141000,139000,140000,138000,138000
MPV,137000,127000,124000,130000,129000
NA,117000,125000,108000,124000,107000
PLT,141000,142000,139000,140000,138000
RBC,141000,140000,140000,139000,139000
RDW,140000,140000,144000,138000,135000
TBIL,76600,76500,33500,63000,54000
TC,115000,118000,113000,113000,114000
TG,113000,115000,109000,113000,111000
TP,63100,69200,50800,61300,59200
WBC,140000,140000,141000,139000,140000
