analyte,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
A1C,92.80,95.4,,93.8,93.1
Overall,29.30,47.1,,42.8,39.2
TP,10.90,30.5,,32.5,23.3
TGL,,36.1,,,
TC,28.20,53.9,,43.8,33.5
TBIL,14.30,26.6,,36.1,50.3
RDW,34.20,48.1,,42.5,40.5
RBC,35.00,56.5,,49.6,39.5
PLT,10.70,43.4,,30.5,16.0
NA,12.10,36.2,,22.8,16.4
MPV,8.53,31.3,,20.8,88.3
MCV,14.40,40.6,,34.3,31.0
MCHC,58.90,68.8,,64.8,62.1
MCH,35.70,51.7,,46.9,44.3
LDL,18.00,47.3,,35.2,25.5
WBC,18.30,40.8,,34.3,26.5
HGB,46.80,59.0,,56.5,50.9
ALB,16.50,33.5,,37.2,25.7
ALP,17.10,47.5,,35.6,27.1
ALT,17.10,44.3,,31.1,24.6
AST,7.63,37.3,,23.1,15.1
K,14.70,30.8,,27.4,21.3
CA,15.40,31.7,,28.7,21.4
BUN,36.10,54.7,,45.4,39.2
CO2,69.20,75.5,,79.8,70.2
CRE,22.50,34.2,,41.2,27.5
GLB,,21.0,,,
GLU,60.10,72.6,,65.8,61.8
HCT,49.30,63.4,,57.8,53.6
HDL,30.40,55.5,,42.7,35.6
CL,26.50,43.9,,39.2,32.5
