analyte,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
A1C,92.6-93.1,95.1-95.6,,93.5-94.1,92.8-93.4
Overall,,,,,
TP,10.7-11.2,30.1-30.9,,32.1-32.8,23.0-23.6
TGL,,36.0-36.3,,,
TC,27.9-28.4,53.6-54.2,,43.5-44.1,33.3-33.8
TBIL,14.0-14.6,26.2-26.9,,35.8-36.5,49.9-50.6
RDW,34.0-34.4,47.9-48.4,,42.3-42.8,40.3-40.7
RBC,34.8-35.1,56.2-56.7,,49.4-49.8,39.3-39.7
PLT,10.6-10.9,43.2-43.6,,30.3-30.7,15.8-16.1
NA,11.9-12.2,36.0-36.4,,22.6-23.0,16.2-16.5
MPV,8.41-8.66,31.1-31.5,,20.6-20.9,88.1-88.4
MCV,14.2-14.5,40.4-40.8,,34.1-34.5,30.8-31.2
MCHC,58.7-59.1,68.6-69.0,,64.5-64.9,61.9-62.3
MCH,35.5-35.9,51.5-51.9,,46.7-47.1,44.1-44.5
LDL,17.8-18.3,47.0-47.7,,34.9-35.5,25.2-25.8
WBC,18.1-18.4,40.6-41.0,,34.1-34.5,26.3-26.7
HGB,46.6-47.0,58.8-59.2,,56.3-56.7,50.7-51.1
ALB,16.2-16.7,33.2-33.9,,36.8-37.5,25.3-26.0
ALP,16.8-17.3,47.2-47.8,,35.4-35.9,26.8-27.4
ALT,16.9-17.3,44.0-44.5,,30.9-31.4,24.4-24.8
AST,7.49-7.78,37.1-37.6,,22.9-23.4,14.9-15.3
K,14.6-14.9,30.6-31.0,,27.2-27.6,21.1-21.5
CA,15.1-15.6,31.4-32.0,,28.4-29.1,21.1-21.7
BUN,35.9-36.4,54.4-54.9,,45.1-45.6,39.0-39.4
CO2,59.2-77.6,66.0-83.1,,70.6-86.7,60.3-78.5
CRE,22.3-22.7,34.0-34.4,,41.0-41.4,27.3-27.7
GLB,,20.2-21.7,,,
GLU,59.9-60.3,72.4-72.8,,65.6-66.0,61.6-62.0
HCT,49.1-49.5,63.2-63.6,,57.5-58.0,53.4-53.9
HDL,30.1-30.7,55.2-55.8,,42.4-43.0,35.3-35.9
CL,25.5-27.5,42.8-45.0,,38.0-40.3,31.4-33.6
