analyte,PerRI,Gaussian_eb,NORMA
A1C,35.1,11.7,3.94
Overall,27.1,19.0,12.40
TP,22.0,24.2,13.90
TGL,,,
TC,35.8,21.8,7.46
TBIL,14.3,25.5,42.00
RDW,21.2,12.8,9.56
RBC,33.1,22.5,7.03
PLT,36.6,22.1,5.89
NA,27.4,12.2,4.90
MPV,24.9,13.4,87.20
MCV,30.6,23.3,19.40
MCHC,24.1,14.7,7.67
MCH,25.0,17.5,13.40
LDL,35.8,21.0,9.10
WBC,27.6,19.6,10.00
HGB,22.9,18.4,7.66
ALB,20.4,24.8,11.00
ALP,36.7,22.4,12.10
ALT,32.8,16.9,9.04
AST,32.1,16.8,8.05
K,18.8,14.9,7.71
CA,19.2,15.8,7.07
BUN,29.0,14.7,4.76
CO2,20.7,34.5,3.45
CRE,15.1,24.2,6.41
GLB,,,
GLU,31.3,14.6,4.25
HCT,27.8,16.9,8.58
HDL,36.1,17.9,7.52
CL,23.7,17.1,8.22
