analyte,PerRI,Gaussian_eb,NORMA
A1C,33.1-37.1,10.4-13.1,3.22-4.83
Overall,,,
TP,21.6-22.3,23.8-24.5,13.6-14.2
TGL,,,
TC,35.4-36.1,21.5-22.1,7.28-7.65
TBIL,14.0-14.6,25.1-25.8,41.6-42.4
RDW,21.0-21.4,12.6-13.0,9.41-9.71
RBC,32.8-33.3,22.3-22.8,6.9-7.16
PLT,36.4-36.8,22.0-22.3,5.79-6.0
NA,27.2-27.7,12.0-12.3,4.79-5.01
MPV,24.7-25.1,13.2-13.5,87.0-87.3
MCV,30.4-30.9,23.1-23.5,19.2-19.6
MCHC,23.8-24.4,14.4-14.9,7.5-7.85
MCH,24.8-25.2,17.3-17.7,13.2-13.6
LDL,35.4-36.1,20.7-21.3,8.89-9.31
WBC,27.4-27.8,19.4-19.8,9.9-10.2
HGB,22.6-23.1,18.2-18.6,7.51-7.81
ALB,20.1-20.8,24.5-25.2,10.8-11.3
ALP,36.4-37.0,22.1-22.7,11.9-12.3
ALT,32.5-33.0,16.7-17.2,8.87-9.21
AST,31.9-32.4,16.6-17.0,7.9-8.21
K,18.6-19.1,14.8-15.1,7.58-7.85
CA,18.9-19.6,15.5-16.1,6.88-7.27
BUN,28.7-29.3,14.5-14.9,4.64-4.9
CO2,9.85-38.4,19.9-52.7,0.61-17.2
CRE,15.0-15.3,24.0-24.4,6.29-6.54
GLB,,,
GLU,31.0-31.7,14.3-14.8,4.11-4.4
HCT,27.6-28.1,16.7-17.1,8.42-8.75
HDL,35.7-36.5,17.6-18.2,7.31-7.73
CL,22.6-24.9,16.1-18.1,7.51-8.98
