eicu  cox_mortality
method   PopRI  PerRI  Cohen_m4  Gaussian_eb  NORMA
analyte                                            
AST       1.71   1.54      1.27         1.61   1.64
BUN       1.83   1.90      1.74         1.79   1.81
CA        1.55   1.61      1.58         1.56   1.56
CL        1.57   1.59      1.52         1.55   1.56
CO2       1.75   1.67      1.62         1.75   1.73
CRE       1.68   1.76      1.62         1.73   1.69
PLT       2.62   1.80      2.40         2.11   2.45
RDW       1.74   1.88      1.44         1.80   1.75
TP        1.58   1.57      1.50         1.58   1.55
WBC       1.87   1.96      1.83         1.88   1.89
