eicu  cox_sepsis
method   PopRI  PerRI  Cohen_m4  Gaussian_eb  NORMA
analyte                                            
ALP       1.35   1.18      1.36         1.22   1.39
AST       1.36   1.13      1.20         1.33   1.43
BUN       1.31   1.28      1.33         1.37   1.39
CA        1.68   1.80      1.79         1.74   1.64
CL        1.50   1.45      1.32         1.43   1.45
CO2       1.47   1.42      1.52         1.46   1.48
PLT       1.81   1.49      1.92         1.56   1.88
RBC       1.50   1.72      1.59         1.83   1.40
RDW       1.46   1.27      1.80         1.42   1.43
WBC       1.90   1.96      2.06         1.83   1.81
