eicu  mortality_quintile
q_label     1     2     3     4     5
analyte                              
ALB      21.1  15.5  12.8  10.8  11.7
ALP      12.3  12.5  14.2  15.0  18.7
ALT      11.2  12.5  13.6  15.3  18.0
AST       8.2   9.0  11.2  15.3  21.5
BUN       4.3   5.9   9.1  13.7  21.4
CA       20.0  11.2   9.0   8.0   8.8
CL       10.2   9.0   9.0  11.3  19.2
CO2      25.0  12.6  10.1   9.3  11.4
CRE       7.6   7.0   8.2  11.5  20.8
DBIL     12.8  12.7  19.9  19.5  29.0
GLU       9.5   8.8  11.7  14.1  13.3
HCT      16.9  11.8  10.5   9.0   7.8
HDL       0.0   0.0   0.0   0.0   0.0
HGB      17.2  12.1  10.9   9.7   8.2
K        10.7   9.3   9.7  11.3  18.1
MCH      10.7  11.4  11.6  10.9  12.1
MCHC     13.3  11.2   9.9   9.2  12.0
MCV      11.4  10.5  10.1  10.4  13.7
MPV       7.2   8.2   9.4  11.9  18.1
NA        9.9   8.8   8.9  10.8  22.0
PLT      26.4  10.8   7.9   7.3   5.6
RBC      17.8  12.4  10.7   8.6   7.1
RDW       4.5   7.6  10.3  13.3  18.3
TBIL      7.5   9.8  11.0  13.3  24.0
TC       10.0   4.8  11.1  19.0   5.3
TGL      17.0  17.6  13.9  20.8  21.1
TP       26.3  15.9  12.7  11.5  10.2
WBC       8.7   6.0   7.5  10.4  19.9
