analyte,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA,NORMA,NORMA,NORMA,NORMA,NORMA,NORMA,NORMA
ALB,92.3,95.3,93.2,92.8,92.7,5.14,92.8,5.44,92.7,5.37,93.0,9.19
ALP,30.3,59.1,47.2,39.4,39.3,13.0,38.2,11.3,38.3,11.4,41.8,16.4
ALT,36.2,61.3,55.1,43.2,44.5,12.9,44.8,13.3,44.5,12.9,48.4,19.0
AST,31.0,53.7,62.5,38.6,38.2,10.4,38.9,11.3,38.2,10.4,40.4,13.6
BUN,59.0,74.1,68.3,62.5,62.9,9.58,64.1,12.5,63.5,11.0,65.3,15.3
CA,55.4,68.9,60.0,58.4,58.1,6.0,58.3,6.59,58.1,6.02,60.6,11.8
CL,43.0,61.1,62.4,45.5,46.5,6.25,48.3,9.31,47.8,8.52,50.2,12.6
CO2,50.1,64.0,64.4,50.5,53.1,5.88,54.4,8.59,53.8,7.27,55.8,11.4
CRE,45.9,55.4,61.7,51.1,50.0,7.62,51.1,9.55,50.5,8.47,52.9,12.9
DBIL,58.9,65.8,82.8,63.9,63.6,11.6,64.2,12.8,63.7,11.7,65.5,16.2
GLU,82.3,86.7,94.2,83.1,83.8,8.67,83.4,6.17,83.9,8.94,84.0,9.58
HCT,95.2,97.3,96.0,95.6,95.5,4.84,95.5,5.89,95.5,5.86,95.8,12.5
HDL,93.5,100.0,93.5,93.5,93.5,0.0,96.8,50.0,96.8,50.0,93.5,0.0
HGB,94.9,96.8,95.1,95.3,95.1,4.7,95.2,5.61,95.1,5.55,95.5,12.4
K,16.5,31.6,35.5,21.6,22.2,6.89,23.3,8.14,23.0,7.87,25.1,10.4
LDL,22.2,88.9,33.3,33.3,33.3,14.3,22.2,0.0,33.3,14.3,55.6,42.9
MCH,29.1,48.4,35.3,35.0,32.4,4.58,32.5,4.74,33.0,5.45,36.5,10.4
MCHC,57.5,68.9,61.1,59.7,59.3,4.1,59.3,4.22,59.7,5.03,61.6,9.66
MCV,11.8,43.0,12.5,19.6,18.1,7.13,18.7,7.86,19.4,8.6,23.6,13.4
MPV,7.75,35.0,,19.2,38.3,33.1,44.3,39.6,55.3,51.5,67.5,64.8
NA,32.7,51.9,48.4,37.8,37.5,7.11,38.8,9.05,38.4,8.49,41.3,12.8
PLT,28.6,66.5,38.4,43.6,42.3,19.1,42.6,19.6,41.8,18.4,47.1,25.8
RBC,91.8,94.2,92.2,92.5,92.2,5.11,92.3,6.03,92.3,6.41,92.8,11.5
RDW,71.9,80.2,80.4,74.5,74.2,8.11,74.6,9.43,74.4,8.76,76.2,15.1
TBIL,23.9,39.0,40.9,31.9,30.0,8.0,31.2,9.59,31.5,10.0,33.5,12.7
TC,48.5,86.9,61.6,50.5,53.5,9.8,54.5,11.8,53.5,9.8,57.6,17.6
TGL,40.5,64.8,61.1,44.4,49.7,15.6,47.8,12.4,48.2,13.0,52.4,20.1
TP,58.1,72.0,68.1,62.4,61.3,7.75,61.3,7.57,61.0,7.0,61.9,9.08
WBC,41.8,59.0,50.8,45.8,45.5,6.41,47.6,10.0,46.7,8.55,49.0,12.4
Overall,50.0,67.9,62.7,54.7,55.4,9.09,55.8,11.3,56.3,11.9,59.5,15.9
