analyte,PerRI,Cohen_m4,Gaussian_eb,NORMA,NORMA,NORMA,NORMA
ALB,38.4,12.0,6.77,5.14,5.44,5.37,9.19
ALP,41.4,24.2,13.0,13.0,11.3,11.4,16.4
ALT,39.3,29.5,10.9,12.9,13.3,12.9,19.0
AST,32.9,45.7,11.0,10.4,11.3,10.4,13.6
BUN,36.7,22.7,8.39,9.58,12.5,11.0,15.3
CA,30.3,10.3,6.68,6.0,6.59,6.02,11.8
CL,31.8,34.0,4.47,6.25,9.31,8.52,12.6
CO2,27.9,28.6,0.63,5.88,8.59,7.27,11.4
CRE,17.5,29.2,9.64,7.62,9.55,8.47,12.9
DBIL,16.8,58.1,12.3,11.6,12.8,11.7,16.2
GLU,25.2,67.4,4.78,8.67,6.17,8.94,9.58
HCT,44.3,17.1,7.74,4.84,5.89,5.86,12.5
HDL,100.0,0.0,0.0,0.0,50.0,50.0,0.0
HGB,37.8,4.53,9.3,4.7,5.61,5.55,12.4
K,18.1,22.7,6.16,6.89,8.14,7.87,10.4
LDL,85.7,14.3,14.3,14.3,0.0,14.3,42.9
MCH,27.2,8.74,8.21,4.58,4.74,5.45,10.4
MCHC,26.7,8.49,5.01,4.1,4.22,5.03,9.66
MCV,35.4,0.76,8.84,7.13,7.86,8.6,13.4
MPV,29.5,,12.4,33.1,39.6,51.5,64.8
NA,28.5,23.3,7.52,7.11,9.05,8.49,12.8
PLT,53.0,13.7,20.9,19.1,19.6,18.4,25.8
RBC,29.4,5.38,9.0,5.11,6.03,6.41,11.5
RDW,29.5,30.2,9.22,8.11,9.43,8.76,15.1
TBIL,19.9,22.3,10.6,8.0,9.59,10.0,12.7
TC,74.5,25.5,3.92,9.8,11.8,9.8,17.6
TGL,40.9,34.6,6.69,15.6,12.4,13.0,20.1
TP,33.1,23.9,10.2,7.75,7.57,7.0,9.08
WBC,29.7,15.4,7.0,6.41,10.0,8.55,12.4
Overall,37.3,22.6,8.47,9.09,11.3,11.9,15.9
