split,analyte,n_patients,value_mean,value_std
all,A1C,336493,7.1,1.3
all,ALB,790253,4.1,0.5
all,ALP,1099044,82.1,34.3
all,ALT,1233902,21.9,17.3
all,AST,1236781,23.6,16.3
all,BUN,1251453,17.4,8.3
all,CA,909036,9.3,0.5
all,CL,31171,103.1,3.9
all,CO2,299,31.4,12.1
all,CRE,1310465,0.9,0.4
all,GLU,1351168,110.0,36.1
all,HCT,1407912,39.1,5.2
all,HDL,1002204,48.0,15.9
all,HGB,1408118,12.8,1.8
all,K,1182544,4.5,0.5
all,LDL,1187844,105.1,33.6
all,MCH,1250759,28.8,2.3
all,MCHC,1407568,32.8,1.3
all,MCV,1400648,87.7,6.1
all,MPV,1304857,9.5,1.4
all,NA,1187537,139.9,3.0
all,PLT,1407716,243.4,73.6
all,RBC,1404794,4.5,0.6
all,RDW,1403339,14.1,1.5
all,TBIL,815774,0.6,0.4
all,TC,1260730,181.7,40.7
all,TGL,1244518,133.5,65.3
all,TP,791481,7.1,0.6
all,WBC,1409027,7.5,3.7
