method,state,analyte,coverage95,width_rel,n,inside_pop
Gaussian_eb,all,A1C,,1.0,,1.0
Gaussian_eb,all,ALB,,0.395,,1.0
Gaussian_eb,all,ALP,,0.453,,1.0
Gaussian_eb,all,ALT,,0.651,,0.928
Gaussian_eb,all,AST,,0.493,,1.0
Gaussian_eb,all,BUN,,0.721,,0.987
Gaussian_eb,all,CA,,0.739,,1.0
Gaussian_eb,all,CL,,0.934,,0.905
Gaussian_eb,all,CO2,,1.0,,1.0
Gaussian_eb,all,CRE,,0.546,,1.0
Gaussian_eb,all,GLU,,0.93,,0.985
Gaussian_eb,all,HCT,,0.702,,0.943
Gaussian_eb,all,HDL,,0.393,,1.0
Gaussian_eb,all,HGB,,0.527,,1.0
Gaussian_eb,all,K,,0.74,,0.95
Gaussian_eb,all,LDL,,0.485,,1.0
Gaussian_eb,all,MCH,,0.689,,1.0
Gaussian_eb,all,MCHC,,0.858,,0.845
Gaussian_eb,all,MCV,,0.459,,1.0
Gaussian_eb,all,MPV,,0.79,,0.93
Gaussian_eb,all,NA,,0.832,,0.955
Gaussian_eb,all,PLT,,0.356,,1.0
Gaussian_eb,all,RBC,,0.588,,1.0
Gaussian_eb,all,RDW,,0.39,,1.0
Gaussian_eb,all,TBIL,,0.629,,0.921
Gaussian_eb,all,TC,,0.698,,0.955
Gaussian_eb,all,TP,,0.575,,1.0
Gaussian_eb,all,WBC,,0.573,,1.0
Gaussian_eb,all,median,0.643,0.64,18300000.0,
Gaussian_eb,high,median,0.173,0.715,2170000.0,
Gaussian_eb,low,median,0.162,0.643,3040000.0,
Gaussian_eb,normal,A1C,0.881,,,
Gaussian_eb,normal,ALB,0.753,,,
Gaussian_eb,normal,ALP,0.776,,,
Gaussian_eb,normal,ALT,0.831,,,
Gaussian_eb,normal,AST,0.828,,,
Gaussian_eb,normal,BUN,0.854,,,
Gaussian_eb,normal,CA,0.838,,,
Gaussian_eb,normal,CL,0.809,,,
Gaussian_eb,normal,CO2,0.843,,,
Gaussian_eb,normal,CRE,0.749,,,
Gaussian_eb,normal,GLU,0.857,,,
Gaussian_eb,normal,HCT,0.831,,,
Gaussian_eb,normal,HDL,0.82,,,
Gaussian_eb,normal,HGB,0.812,,,
Gaussian_eb,normal,K,0.847,,,
Gaussian_eb,normal,LDL,0.782,,,
Gaussian_eb,normal,MCH,0.817,,,
Gaussian_eb,normal,MCHC,0.854,,,
Gaussian_eb,normal,MCV,0.765,,,
Gaussian_eb,normal,MPV,0.866,,,
Gaussian_eb,normal,NA,0.873,,,
Gaussian_eb,normal,PLT,0.775,,,
Gaussian_eb,normal,RBC,0.768,,,
Gaussian_eb,normal,RDW,0.868,,,
Gaussian_eb,normal,TBIL,0.742,,,
Gaussian_eb,normal,TC,0.782,,,
Gaussian_eb,normal,TP,0.758,,,
Gaussian_eb,normal,WBC,0.804,,,
Gaussian_eb,normal,median,0.819,0.636,13100000.0,
NORMA,all,A1C,,0.731,,0.735
NORMA,all,ALB,,0.514,,1.0
NORMA,all,ALP,,0.547,,1.0
NORMA,all,ALT,,0.677,,0.876
NORMA,all,AST,,0.6,,1.0
NORMA,all,BUN,,0.833,,0.893
NORMA,all,CA,,0.799,,1.0
NORMA,all,CL,,0.95,,0.849
NORMA,all,CO2,,1.34,,0.609
NORMA,all,CRE,,0.706,,0.99
NORMA,all,GLU,,0.89,,0.834
NORMA,all,HCT,,0.771,,0.959
NORMA,all,HDL,,0.378,,0.896
NORMA,all,HGB,,0.546,,0.854
NORMA,all,K,,0.77,,0.961
NORMA,all,LDL,,0.583,,0.985
NORMA,all,MCH,,0.609,,0.918
NORMA,all,MCHC,,0.655,,0.828
NORMA,all,MCV,,0.477,,1.0
NORMA,all,MPV,,0.0885,,1.0
NORMA,all,NA,,0.931,,0.957
NORMA,all,PLT,,0.543,,0.906
NORMA,all,RBC,,0.688,,0.966
NORMA,all,RDW,,0.356,,0.961
NORMA,all,TBIL,,0.519,,0.51
NORMA,all,TC,,0.836,,0.886
NORMA,all,TP,,0.63,,1.0
NORMA,all,WBC,,0.649,,1.0
NORMA,all,median,0.734,0.652,18300000.0,
NORMA,high,median,0.174,0.755,2170000.0,
NORMA,low,median,0.166,0.631,3040000.0,
NORMA,normal,A1C,0.958,,,
NORMA,normal,ALB,0.888,,,
NORMA,normal,ALP,0.881,,,
NORMA,normal,ALT,0.909,,,
NORMA,normal,AST,0.919,,,
NORMA,normal,BUN,0.952,,,
NORMA,normal,CA,0.926,,,
NORMA,normal,CL,0.924,,,
NORMA,normal,CO2,0.976,,,
NORMA,normal,CRE,0.935,,,
NORMA,normal,GLU,0.957,,,
NORMA,normal,HCT,0.915,,,
NORMA,normal,HDL,0.927,,,
NORMA,normal,HGB,0.923,,,
NORMA,normal,K,0.92,,,
NORMA,normal,LDL,0.909,,,
NORMA,normal,MCH,0.866,,,
NORMA,normal,MCHC,0.923,,,
NORMA,normal,MCV,0.804,,,
NORMA,normal,MPV,0.129,,,
NORMA,normal,NA,0.952,,,
NORMA,normal,PLT,0.941,,,
NORMA,normal,RBC,0.929,,,
NORMA,normal,RDW,0.904,,,
NORMA,normal,TBIL,0.579,,,
NORMA,normal,TC,0.924,,,
NORMA,normal,TP,0.862,,,
NORMA,normal,WBC,0.899,,,
NORMA,normal,median,0.922,0.637,13100000.0,
PerRI,all,A1C,,0.935,,0.0
PerRI,all,ALB,,0.36,,1.0
PerRI,all,ALP,,0.312,,1.0
PerRI,all,ALT,,0.356,,1.0
PerRI,all,AST,,0.304,,1.0
