subset,analyte,PopRI_pct,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_pct_lo,PerRI_pct_hi,Cohen_m4_pct,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Gaussian_eb_pct,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,NORMA_pct,NORMA_pct_lo,NORMA_pct_hi,PerRI_reclass_pct,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_reclass_pct,NORMA_reclass_pct_lo,NORMA_reclass_pct_hi,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,NORMA_pct_median,NORMA_pct_q25,NORMA_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_reclass_pct_median,NORMA_reclass_pct_q25,NORMA_reclass_pct_q75
all,A1C,92.8,92.6,93.1,95.4,95.1,95.6,,,,93.8,93.5,94.1,93.1,92.8,93.4,35.1,33.1,37.1,11.7,10.4,13.1,3.94,3.22,4.83,,,,,,,,,,,,,,,,,,,,,
all,Overall,29.3,,,47.1,,,,,,42.8,,,39.2,,,27.1,,,19.0,,,12.4,,,20.4,14.625,35.800000000000004,44.099999999999994,34.675000000000004,55.3,38.2,32.15,47.575,33.0,25.275,50.449999999999996,27.5,21.8,32.875,17.7,14.85,22.424999999999997,7.880000000000001,6.875,10.25
all,TP,10.9,10.7,11.2,30.5,30.1,30.9,,,,32.5,32.1,32.8,23.3,23.0,23.6,22.0,21.6,22.3,24.2,23.8,24.5,13.9,13.6,14.2,,,,,,,,,,,,,,,,,,,,,
all,TGL,,,,36.1,36.0,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,TC,28.2,27.9,28.4,53.9,53.6,54.2,,,,43.8,43.5,44.1,33.5,33.3,33.8,35.8,35.4,36.1,21.8,21.5,22.1,7.46,7.28,7.65,,,,,,,,,,,,,,,,,,,,,
all,TBIL,14.3,14.0,14.6,26.6,26.2,26.9,,,,36.1,35.8,36.5,50.3,49.9,50.6,14.3,14.0,14.6,25.5,25.1,25.8,42.0,41.6,42.4,,,,,,,,,,,,,,,,,,,,,
all,RDW,34.2,34.0,34.4,48.1,47.9,48.4,,,,42.5,42.3,42.8,40.5,40.3,40.7,21.2,21.0,21.4,12.8,12.6,13.0,9.56,9.41,9.71,,,,,,,,,,,,,,,,,,,,,
all,RBC,35.0,34.8,35.1,56.5,56.2,56.7,,,,49.6,49.4,49.8,39.5,39.3,39.7,33.1,32.8,33.3,22.5,22.3,22.8,7.03,6.9,7.16,,,,,,,,,,,,,,,,,,,,,
all,PLT,10.7,10.6,10.9,43.4,43.2,43.6,,,,30.5,30.3,30.7,16.0,15.8,16.1,36.6,36.4,36.8,22.1,22.0,22.3,5.89,5.79,6.0,,,,,,,,,,,,,,,,,,,,,
all,NA,12.1,11.9,12.2,36.2,36.0,36.4,,,,22.8,22.6,23.0,16.4,16.2,16.5,27.4,27.2,27.7,12.2,12.0,12.3,4.9,4.79,5.01,,,,,,,,,,,,,,,,,,,,,
all,MPV,8.53,8.41,8.66,31.3,31.1,31.5,,,,20.8,20.6,20.9,88.3,88.1,88.4,24.9,24.7,25.1,13.4,13.2,13.5,87.2,87.0,87.3,,,,,,,,,,,,,,,,,,,,,
all,MCV,14.4,14.2,14.5,40.6,40.4,40.8,,,,34.3,34.1,34.5,31.0,30.8,31.2,30.6,30.4,30.9,23.3,23.1,23.5,19.4,19.2,19.6,,,,,,,,,,,,,,,,,,,,,
all,MCHC,58.9,58.7,59.1,68.8,68.6,69.0,,,,64.8,64.5,64.9,62.1,61.9,62.3,24.1,23.8,24.4,14.7,14.4,14.9,7.67,7.5,7.85,,,,,,,,,,,,,,,,,,,,,
all,MCH,35.7,35.5,35.9,51.7,51.5,51.9,,,,46.9,46.7,47.1,44.3,44.1,44.5,25.0,24.8,25.2,17.5,17.3,17.7,13.4,13.2,13.6,,,,,,,,,,,,,,,,,,,,,
all,LDL,18.0,17.8,18.3,47.3,47.0,47.7,,,,35.2,34.9,35.5,25.5,25.2,25.8,35.8,35.4,36.1,21.0,20.7,21.3,9.1,8.89,9.31,,,,,,,,,,,,,,,,,,,,,
all,WBC,18.3,18.1,18.4,40.8,40.6,41.0,,,,34.3,34.1,34.5,26.5,26.3,26.7,27.6,27.4,27.8,19.6,19.4,19.8,10.0,9.9,10.2,,,,,,,,,,,,,,,,,,,,,
all,HGB,46.8,46.6,47.0,59.0,58.8,59.2,,,,56.5,56.3,56.7,50.9,50.7,51.1,22.9,22.6,23.1,18.4,18.2,18.6,7.66,7.51,7.81,,,,,,,,,,,,,,,,,,,,,
all,ALB,16.5,16.2,16.7,33.5,33.2,33.9,,,,37.2,36.8,37.5,25.7,25.3,26.0,20.4,20.1,20.8,24.8,24.5,25.2,11.0,10.8,11.3,,,,,,,,,,,,,,,,,,,,,
all,ALP,17.1,16.8,17.3,47.5,47.2,47.8,,,,35.6,35.4,35.9,27.1,26.8,27.4,36.7,36.4,37.0,22.4,22.1,22.7,12.1,11.9,12.3,,,,,,,,,,,,,,,,,,,,,
