Panel,analyte,n_patients,cv_intra,cv_intra_ci_lower,cv_intra_ci_upper,cv_inter,cv_inter_ci_lower,cv_inter_ci_upper,individuality_index,ii_ci_lower,ii_ci_upper
BMP,A1C,336493,8.6,8.5,8.6,16.5,16.5,16.6,0.5,0.5,0.5
HFP,ALB,790253,6.7,6.7,6.8,18.9,18.3,19.4,0.4,0.3,0.4
HFP,ALP,1099044,17.8,17.7,17.8,30.1,30.0,30.2,0.6,0.6,0.6
HFP,ALT,1233902,34.2,34.2,34.3,50.2,50.0,50.5,0.7,0.7,0.7
HFP,AST,1236781,24.7,24.6,24.7,35.1,34.9,35.4,0.7,0.7,0.7
BMP,BUN,1251453,20.5,20.4,20.5,36.2,36.2,36.3,0.6,0.6,0.6
BMP,CA,909036,3.5,3.5,3.5,3.7,3.7,3.7,0.9,0.9,0.9
BMP,CL,31171,2.4,2.3,2.4,2.3,2.2,2.3,1.0,1.0,1.1
BMP,CO2,299,17.7,17.3,18.2,27.0,25.9,28.1,0.7,0.6,0.7
BMP,CRE,1310465,12.2,12.2,12.2,34.7,34.4,34.9,0.3,0.3,0.4
BMP,GLU,1351168,13.7,13.7,13.7,24.0,23.9,24.0,0.6,0.6,0.6
CBC,HCT,1407912,6.3,6.3,6.4,9.6,9.6,9.6,0.7,0.7,0.7
Lipid,HDL,1002204,24.4,24.4,24.5,30.1,30.1,30.2,0.8,0.8,0.8
CBC,HGB,1408118,6.3,6.3,6.3,10.5,10.5,10.5,0.6,0.6,0.6
BMP,K,1182544,7.1,7.1,7.1,6.5,6.4,6.5,1.1,1.1,1.1
Lipid,LDL,1187844,20.6,20.5,20.6,23.7,23.7,23.8,0.9,0.9,0.9
CBC,MCH,1250759,3.6,3.6,3.6,7.1,7.1,7.1,0.5,0.5,0.5
CBC,MCHC,1407568,2.9,2.9,2.9,2.7,2.7,2.7,1.1,1.1,1.1
CBC,MCV,1400648,3.2,3.2,3.2,6.1,6.1,6.1,0.5,0.5,0.5
CBC,MPV,1304857,10.3,10.3,10.3,10.8,10.8,10.8,0.9,0.9,1.0
BMP,NA,1187537,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2
CBC,PLT,1407716,14.1,14.1,14.1,23.8,23.7,23.8,0.6,0.6,0.6
CBC,RBC,1404794,5.9,5.9,5.9,10.1,10.1,10.1,0.6,0.6,0.6
CBC,RDW,1403339,5.7,5.7,5.7,7.1,7.1,7.1,0.8,0.8,0.8
HFP,TBIL,815774,26.0,25.9,26.0,42.8,42.6,43.0,0.6,0.6,0.6
Lipid,TC,1260730,13.9,13.9,14.0,16.6,16.6,16.6,0.8,0.8,0.8
Lipid,TGL,1244518,26.1,26.1,26.1,40.3,40.2,40.4,0.7,0.7,0.7
HFP,TP,791481,4.8,4.8,4.8,5.6,5.5,5.6,0.9,0.9,0.9
CBC,WBC,1409027,19.2,19.2,19.3,51.6,28.8,79.2,0.4,0.2,0.7
