method,analyte,decile,z_median,mortality_pct,ci_lo,ci_hi,n
baseline_z,A1C,1,0.08,32.1,31.5,32.7,21236
baseline_z,A1C,2,0.23,32.2,31.6,32.8,21235
baseline_z,A1C,3,0.38,31.2,30.6,31.8,21235
baseline_z,A1C,4,0.54,32.5,31.9,33.2,21235
baseline_z,A1C,5,0.71,32.7,32.0,33.3,21236
baseline_z,A1C,6,0.89,31.8,31.2,32.5,21235
baseline_z,A1C,7,1.1,32.0,31.3,32.6,21235
baseline_z,A1C,8,1.37,31.7,31.1,32.4,21235
baseline_z,A1C,9,1.75,31.8,31.2,32.4,21235
baseline_z,A1C,10,2.76,31.9,31.3,32.5,21236
baseline_z,ALB,1,0.08,29.8,29.3,30.4,30239
baseline_z,ALB,2,0.22,30.3,29.8,30.8,30237
baseline_z,ALB,3,0.38,30.9,30.4,31.4,30238
baseline_z,ALB,4,0.53,31.7,31.1,32.2,30238
baseline_z,ALB,5,0.71,31.8,31.3,32.4,30238
baseline_z,ALB,6,0.9,31.7,31.2,32.2,30237
baseline_z,ALB,7,1.11,31.3,30.8,31.8,30238
baseline_z,ALB,8,1.39,29.6,29.1,30.1,30238
baseline_z,ALB,9,1.79,29.3,28.8,29.8,30238
baseline_z,ALB,10,2.91,26.8,26.3,27.3,30238
baseline_z,ALP,1,0.08,26.5,26.1,26.9,45360
baseline_z,ALP,2,0.24,27.4,27.0,27.8,45360
baseline_z,ALP,3,0.39,28.2,27.8,28.6,45359
baseline_z,ALP,4,0.54,29.1,28.6,29.5,45360
baseline_z,ALP,5,0.7,29.3,28.9,29.8,45361
baseline_z,ALP,6,0.88,28.5,28.1,28.9,45358
baseline_z,ALP,7,1.09,27.4,27.0,27.8,45359
baseline_z,ALP,8,1.36,26.2,25.8,26.7,45360
baseline_z,ALP,9,1.74,25.1,24.7,25.5,45359
baseline_z,ALP,10,2.8,23.7,23.3,24.0,45360
baseline_z,ALT,1,0.07,27.6,27.3,28.0,56494
baseline_z,ALT,2,0.22,28.1,27.7,28.4,56490
baseline_z,ALT,3,0.36,27.6,27.2,28.0,56492
baseline_z,ALT,4,0.5,26.2,25.8,26.6,56492
baseline_z,ALT,5,0.66,25.3,24.9,25.6,56492
baseline_z,ALT,6,0.85,24.4,24.0,24.7,56502
baseline_z,ALT,7,1.07,23.7,23.3,24.0,56484
baseline_z,ALT,8,1.4,23.7,23.4,24.1,56489
baseline_z,ALT,9,1.92,24.8,24.4,25.1,56492
baseline_z,ALT,10,3.75,26.5,26.2,26.9,56492
baseline_z,AST,1,0.08,27.1,26.8,27.5,56608
baseline_z,AST,2,0.23,27.3,26.9,27.7,56576
baseline_z,AST,3,0.38,27.4,27.0,27.8,56652
baseline_z,AST,4,0.52,27.2,26.9,27.6,56531
baseline_z,AST,5,0.68,26.3,26.0,26.7,56636
baseline_z,AST,6,0.87,25.3,24.9,25.6,56548
baseline_z,AST,7,1.09,24.7,24.4,25.1,56591
baseline_z,AST,8,1.39,23.7,23.4,24.1,56605
baseline_z,AST,9,1.85,23.7,23.3,24.0,56578
baseline_z,AST,10,3.41,25.0,24.6,25.3,56592
baseline_z,BUN,1,0.08,23.8,23.5,24.2,60494
baseline_z,BUN,2,0.23,24.1,23.7,24.4,60492
baseline_z,BUN,3,0.39,25.1,24.8,25.5,60493
baseline_z,BUN,4,0.55,25.7,25.4,26.1,60493
baseline_z,BUN,5,0.72,26.7,26.4,27.1,60493
baseline_z,BUN,6,0.9,27.6,27.2,27.9,60495
baseline_z,BUN,7,1.1,27.9,27.6,28.3,60491
baseline_z,BUN,8,1.34,27.3,27.0,27.7,60493
baseline_z,BUN,9,1.67,26.5,26.2,26.9,60493
baseline_z,BUN,10,2.42,25.0,24.6,25.3,60493
baseline_z,CA,1,0.08,29.2,28.8,29.7,35461
baseline_z,CA,2,0.23,29.2,28.7,29.7,35461
baseline_z,CA,3,0.38,29.5,29.0,30.0,35461
baseline_z,CA,4,0.55,29.2,28.8,29.7,35461
baseline_z,CA,5,0.72,28.7,28.2,29.1,35461
baseline_z,CA,6,0.92,29.2,28.7,29.7,35460
baseline_z,CA,7,1.14,28.8,28.4,29.3,35461
baseline_z,CA,8,1.41,28.3,27.8,28.8,35461
baseline_z,CA,9,1.78,28.7,28.2,29.2,35461
baseline_z,CA,10,2.78,28.9,28.4,29.4,35461
baseline_z,CL,1,0.07,40.9,38.6,43.2,1794
baseline_z,CL,2,0.22,39.4,37.1,41.7,1793
baseline_z,CL,3,0.37,40.8,38.6,43.1,1796
baseline_z,CL,4,0.53,39.9,37.7,42.2,1791
baseline_z,CL,5,0.71,39.5,37.2,41.7,1794
baseline_z,CL,6,0.9,38.2,36.0,40.4,1802
baseline_z,CL,7,1.11,36.5,34.3,38.8,1785
baseline_z,CL,8,1.4,36.3,34.1,38.6,1793
baseline_z,CL,9,1.79,35.1,32.9,37.3,1793
baseline_z,CL,10,2.74,31.1,29.0,33.3,1794
baseline_z,CO2,1,0.14,58.8,36.0,78.4,17
baseline_z,CO2,2,0.32,81.2,57.0,93.4,16
baseline_z,CO2,3,0.42,81.2,57.0,93.4,16
baseline_z,CO2,4,0.55,58.8,36.0,78.4,17
baseline_z,CO2,5,0.74,68.8,44.4,85.8,16
baseline_z,CO2,6,0.99,75.0,50.5,89.8,16
baseline_z,CO2,7,1.25,47.1,26.2,69.0,17
baseline_z,CO2,8,1.7,50.0,28.0,72.0,16
baseline_z,CO2,9,2.21,50.0,28.0,72.0,16
baseline_z,CO2,10,4.95,64.7,41.3,82.7,17
baseline_z,CRE,1,0.08,24.1,23.8,24.4,65621
baseline_z,CRE,2,0.25,24.8,24.5,25.1,65620
baseline_z,CRE,3,0.42,25.4,25.1,25.7,65621
baseline_z,CRE,4,0.59,26.6,26.2,26.9,65619
baseline_z,CRE,5,0.77,27.5,27.2,27.8,65621
baseline_z,CRE,6,0.98,27.6,27.2,27.9,65620
baseline_z,CRE,7,1.21,27.0,26.6,27.3,65620
baseline_z,CRE,8,1.51,25.6,25.2,25.9,65620
baseline_z,CRE,9,1.97,24.7,24.4,25.0,65620
baseline_z,CRE,10,3.3,20.0,19.7,20.4,65621
baseline_z,GLB,1,0.08,31.0,29.8,32.2,5901
baseline_z,GLB,2,0.23,31.1,29.9,32.3,5900
baseline_z,GLB,3,0.39,30.3,29.2,31.5,5902
baseline_z,GLB,4,0.54,29.8,28.7,31.0,5898
baseline_z,GLB,5,0.71,30.3,29.1,31.5,5900
baseline_z,GLB,6,0.9,30.9,29.7,32.1,5900
baseline_z,GLB,7,1.1,29.7,28.5,30.8,5900
baseline_z,GLB,8,1.34,30.6,29.4,31.8,5900
baseline_z,GLB,9,1.67,29.7,28.6,30.9,5900
baseline_z,GLB,10,2.45,32.2,31.1,33.4,5901
baseline_z,GLU,1,0.08,26.4,26.0,26.7,64868
baseline_z,GLU,2,0.24,26.7,26.4,27.1,64867
baseline_z,GLU,3,0.4,26.4,26.0,26.7,64867
baseline_z,GLU,4,0.56,26.4,26.1,26.7,64867
baseline_z,GLU,5,0.74,25.6,25.3,25.9,64867
baseline_z,GLU,6,0.93,24.8,24.5,25.2,64867
baseline_z,GLU,7,1.16,24.4,24.1,24.7,64867
baseline_z,GLU,8,1.45,23.3,23.0,23.7,64870
baseline_z,GLU,9,1.89,22.3,22.0,22.7,64864
baseline_z,GLU,10,3.22,21.5,21.2,21.8,64868
baseline_z,HCT,1,0.08,22.7,22.4,23.0,70101
baseline_z,HCT,2,0.23,22.7,22.3,23.0,70101
baseline_z,HCT,3,0.39,23.3,23.0,23.6,70101
baseline_z,HCT,4,0.55,23.6,23.3,24.0,70101
baseline_z,HCT,5,0.72,24.3,24.0,24.6,70101
baseline_z,HCT,6,0.92,24.7,24.4,25.0,70100
baseline_z,HCT,7,1.14,24.8,24.4,25.1,70101
baseline_z,HCT,8,1.41,24.5,24.2,24.8,70101
baseline_z,HCT,9,1.8,24.3,24.0,24.6,70101
baseline_z,HCT,10,2.77,21.1,20.8,21.4,70101
baseline_z,HDL,1,0.09,25.4,25.0,25.8,45965
baseline_z,HDL,2,0.26,25.6,25.2,26.0,45966
baseline_z,HDL,3,0.45,25.4,25.0,25.8,45963
baseline_z,HDL,4,0.64,25.5,25.1,25.9,45965
baseline_z,HDL,5,0.87,25.2,24.8,25.6,45966
baseline_z,HDL,6,1.15,25.1,24.7,25.5,45964
baseline_z,HDL,7,1.52,24.9,24.5,25.3,45965
baseline_z,HDL,8,2.12,25.5,25.1,25.9,45963
baseline_z,HDL,9,4.18,29.2,28.8,29.7,45965
baseline_z,HDL,10,10.05,19.2,18.9,19.6,45965
baseline_z,HGB,1,0.08,21.0,20.7,21.3,70087
baseline_z,HGB,2,0.24,21.2,20.9,21.5,70086
baseline_z,HGB,3,0.41,22.0,21.7,22.3,70086
baseline_z,HGB,4,0.58,23.3,23.0,23.6,70086
baseline_z,HGB,5,0.76,24.0,23.7,24.4,70087
baseline_z,HGB,6,0.95,24.9,24.6,25.2,70086
baseline_z,HGB,7,1.17,25.6,25.3,25.9,70086
