analyte,q_label,mortality_pct,ci_lo,ci_hi,n
A1C,1,27.3,26.8,27.7,43727
A1C,2,29.7,29.3,30.1,42715
A1C,3,33.1,32.7,33.6,41818
A1C,4,34.4,34.0,34.9,42966
A1C,5,35.7,35.3,36.2,41137
ALB,1,45.6,45.2,45.9,65472
ALB,2,32.9,32.5,33.3,60899
ALB,3,25.8,25.5,26.2,64572
ALB,4,24.8,24.5,25.1,67753
ALB,5,19.1,18.7,19.4,43708
ALP,1,26.2,25.9,26.5,93943
ALP,2,25.9,25.6,26.2,88568
ALP,3,26.4,26.1,26.7,95372
ALP,4,27.1,26.8,27.4,88172
ALP,5,30.2,29.9,30.5,87541
ALT,1,31.8,31.5,32.1,118208
ALT,2,28.2,27.9,28.4,120347
ALT,3,25.5,25.3,25.8,118198
ALT,4,22.5,22.2,22.7,97480
ALT,5,20.0,19.8,20.2,110703
AST,1,28.1,27.9,28.4,124094
AST,2,25.5,25.2,25.7,119701
AST,3,25.1,24.8,25.4,107046
AST,4,24.6,24.4,24.9,103857
AST,5,25.2,25.0,25.5,111237
BUN,1,13.9,13.7,14.0,128405
BUN,2,19.3,19.1,19.5,121030
BUN,3,23.9,23.6,24.1,121924
BUN,4,29.6,29.3,29.9,121724
BUN,5,45.4,45.1,45.7,111848
CA,1,32.2,31.9,32.6,71275
CA,2,27.3,27.0,27.6,74394
CA,3,28.1,27.8,28.5,69008
CA,4,26.8,26.4,27.1,69235
CA,5,30.5,30.1,30.8,70700
CL,1,43.7,42.3,45.1,4690
CL,2,35.7,34.3,37.1,4671
CL,3,35.3,33.4,37.2,2454
CL,4,34.2,32.7,35.7,3648
CL,5,38.2,36.4,40.2,2476
CO2,1,51.5,35.2,67.5,33
CO2,2,54.5,38.0,70.2,33
CO2,3,65.6,48.3,79.6,32
CO2,4,90.9,76.4,96.9,33
CO2,5,54.5,38.0,70.2,33
CRE,1,15.9,15.7,16.1,132745
CRE,2,19.8,19.5,20.0,130602
CRE,3,23.4,23.2,23.6,135179
CRE,4,27.9,27.6,28.1,126712
CRE,5,39.9,39.6,40.2,130970
GGT,1,25.6,25.2,25.9,51182
GGT,2,28.3,27.8,28.7,46094
GGT,3,27.8,27.4,28.2,46221
GGT,4,28.2,27.8,28.6,44525
GGT,5,31.0,30.6,31.4,46353
GLB,1,26.7,26.0,27.4,14163
GLB,2,28.4,27.6,29.4,9575
GLB,3,30.8,30.0,31.5,13177
GLB,4,30.9,30.0,31.7,10949
GLB,5,36.7,35.9,37.6,11143
GLU,1,17.9,17.6,18.1,130629
GLU,2,20.3,20.0,20.5,131150
GLU,3,23.1,22.8,23.3,133716
GLU,4,27.9,27.7,28.2,123803
GLU,5,35.1,34.9,35.4,129374
HCT,1,24.3,24.1,24.5,143600
HCT,2,23.4,23.1,23.6,138923
HCT,3,23.6,23.4,23.8,138419
HCT,4,23.7,23.5,23.9,142424
HCT,5,22.9,22.7,23.1,137643
HDL,1,25.7,25.4,25.9,94781
HDL,2,25.2,25.0,25.5,100288
HDL,3,24.6,24.3,24.9,89639
HDL,4,24.9,24.6,25.2,87963
HDL,5,25.1,24.8,25.4,86979
HGB,1,25.0,24.8,25.3,142475
HGB,2,23.5,23.3,23.7,147400
HGB,3,23.1,22.9,23.3,136368
HGB,4,24.3,24.0,24.5,140074
HGB,5,21.9,21.7,22.2,134547
K,1,26.4,26.2,26.7,120995
K,2,22.7,22.5,22.9,123142
K,3,25.0,24.7,25.3,107252
K,4,27.7,27.4,27.9,119540
K,5,33.6,33.3,33.9,107036
LDL,1,32.3,32.0,32.6,105419
LDL,2,27.4,27.2,27.7,106934
LDL,3,24.7,24.5,25.0,103074
LDL,4,21.7,21.4,21.9,105370
LDL,5,20.4,20.2,20.7,104652
MCH,1,21.2,20.9,21.4,128898
MCH,2,22.9,22.6,23.1,130481
MCH,3,23.3,23.0,23.5,126969
MCH,4,24.6,24.4,24.9,126398
MCH,5,28.2,27.9,28.5,121144
MCHC,1,26.4,26.1,26.6,145741
MCHC,2,24.1,23.9,24.3,168217
MCHC,3,23.6,23.3,23.8,111788
MCHC,4,22.4,22.2,22.6,136969
MCHC,5,21.3,21.1,21.5,137794
MCV,1,19.5,19.3,19.7,140887
MCV,2,21.6,21.4,21.8,139058
MCV,3,23.2,22.9,23.4,139980
MCV,4,24.8,24.6,25.1,138181
MCV,5,29.1,28.9,29.4,138355
MPV,1,24.1,23.9,24.3,137204
MPV,2,23.6,23.4,23.9,127294
MPV,3,23.7,23.5,24.0,123951
MPV,4,23.3,23.1,23.5,130162
MPV,5,24.6,24.3,24.8,128566
NA,1,28.5,28.2,28.7,117378
NA,2,24.4,24.1,24.6,125367
NA,3,23.7,23.5,24.0,108402
NA,4,27.0,26.7,27.2,123572
NA,5,31.1,30.8,31.4,107086
PLT,1,29.1,28.8,29.3,140792
PLT,2,23.8,23.6,24.0,141784
PLT,3,21.9,21.7,22.2,138881
PLT,4,21.3,21.0,21.5,139775
PLT,5,21.7,21.5,21.9,138305
RBC,1,28.2,28.0,28.5,141192
RBC,2,23.8,23.5,24.0,140076
RBC,3,22.7,22.5,22.9,140441
RBC,4,22.3,22.1,22.6,138648
RBC,5,20.8,20.6,21.1,139179
RDW,1,18.4,18.2,18.6,139996
RDW,2,20.3,20.1,20.5,139888
RDW,3,23.8,23.6,24.1,144033
RDW,4,26.6,26.3,26.8,138049
RDW,5,28.8,28.6,29.1,135462
TBIL,1,25.3,25.0,25.6,76613
TBIL,2,29.0,28.7,29.3,76467
TBIL,3,25.7,25.2,26.1,33480
TBIL,4,30.3,29.9,30.6,62974
TBIL,5,31.5,31.1,31.9,54046
TC,1,31.1,30.9,31.4,114794
TC,2,26.4,26.1,26.6,118139
TC,3,23.9,23.6,24.1,112713
TC,4,21.7,21.5,22.0,113105
TC,5,21.5,21.3,21.7,114140
TGL,1,24.2,23.9,24.4,112701
TGL,2,25.8,25.6,26.1,115268
TGL,3,25.5,25.2,25.8,109199
TGL,4,24.9,24.6,25.1,112966
TGL,5,24.3,24.0,24.5,110765
TP,1,38.9,38.5,39.3,63056
TP,2,30.4,30.0,30.7,69169
TP,3,27.7,27.3,28.1,50826
TP,4,26.4,26.1,26.8,61263
TP,5,27.2,26.8,27.6,59233
WBC,1,22.5,22.3,22.7,140299
WBC,2,22.9,22.7,23.2,140347
WBC,3,23.4,23.2,23.7,141205
WBC,4,24.3,24.0,24.5,139435
WBC,5,24.7,24.5,24.9,140117
