analyte,method,rr,auc,auc_lo,auc_hi,age_band,sex,direction,auc_within_position,auprc_norm,auc_q25,auc_within_position_q25,auprc_norm_q25,rr_q25,auc_q75,auc_within_position_q75,auprc_norm_q75,rr_q75,rr_lo,rr_hi
ALB,Gaussian_eb,1.5,0.568,0.522,0.613,all,all,endpoints,,,,,,,,,,,,
ALB,Gaussian_mle,1.42,,,,all,all,endpoints,,,,,,,,,,,,
ALB,Gaussian_trunc,1.26,,,,all,all,endpoints,,,,,,,,,,,,
ALB,NORMA,1.88,0.543,0.493,0.592,all,all,endpoints,,,,,,,,,,,,
ALB,PerRI,1.24,0.522,0.477,0.568,all,all,endpoints,,,,,,,,,,,,
ALB,PopRI,3.55,0.665,0.62,0.71,all,all,endpoints,,,,,,,,,,,,
ALP,Gaussian_eb,2.27,0.635,0.6,0.669,all,all,endpoints,,,,,,,,,,,,
ALP,Gaussian_mle,2.4,,,,all,all,endpoints,,,,,,,,,,,,
ALP,Gaussian_trunc,2.11,,,,all,all,endpoints,,,,,,,,,,,,
ALP,NORMA,2.67,0.671,0.636,0.705,all,all,endpoints,,,,,,,,,,,,
ALP,PerRI,1.4,0.568,0.536,0.601,all,all,endpoints,,,,,,,,,,,,
ALP,PopRI,6.8,0.783,0.753,0.812,all,all,endpoints,,,,,,,,,,,,
ALT,Gaussian_eb,1.49,0.581,0.547,0.616,all,all,endpoints,,,,,,,,,,,,
ALT,Gaussian_mle,1.56,,,,all,all,endpoints,,,,,,,,,,,,
ALT,Gaussian_trunc,1.17,,,,all,all,endpoints,,,,,,,,,,,,
ALT,NORMA,2.07,0.631,0.598,0.664,all,all,endpoints,,,,,,,,,,,,
ALT,PerRI,1.16,0.537,0.504,0.571,all,all,endpoints,,,,,,,,,,,,
ALT,PopRI,4.53,0.715,0.683,0.747,all,all,endpoints,,,,,,,,,,,,
AST,Gaussian_eb,1.94,0.628,0.581,0.676,all,all,endpoints,,,,,,,,,,,,
AST,Gaussian_mle,2.21,,,,all,all,endpoints,,,,,,,,,,,,
AST,Gaussian_trunc,1.78,,,,all,all,endpoints,,,,,,,,,,,,
AST,NORMA,2.69,0.653,0.602,0.704,all,all,endpoints,,,,,,,,,,,,
AST,PerRI,1.76,0.591,0.543,0.64,all,all,endpoints,,,,,,,,,,,,
AST,PopRI,5.9,0.749,0.7,0.797,all,all,endpoints,,,,,,,,,,,,
BUN,Gaussian_eb,1.24,0.56,0.527,0.593,all,all,endpoints,,,,,,,,,,,,
BUN,Gaussian_mle,1.26,,,,all,all,endpoints,,,,,,,,,,,,
BUN,Gaussian_trunc,1.06,,,,all,all,endpoints,,,,,,,,,,,,
BUN,NORMA,1.46,0.584,0.55,0.618,all,all,endpoints,,,,,,,,,,,,
BUN,PerRI,0.911,0.48,0.447,0.513,all,all,endpoints,,,,,,,,,,,,
BUN,PopRI,2.99,0.695,0.664,0.725,all,all,endpoints,,,,,,,,,,,,
CA,Gaussian_eb,1.5,0.56,0.514,0.606,all,all,endpoints,,,,,,,,,,,,
CA,Gaussian_mle,1.52,,,,all,all,endpoints,,,,,,,,,,,,
CA,Gaussian_trunc,1.28,,,,all,all,endpoints,,,,,,,,,,,,
CA,NORMA,1.91,0.592,0.547,0.638,all,all,endpoints,,,,,,,,,,,,
CA,PerRI,1.07,0.517,0.474,0.561,all,all,endpoints,,,,,,,,,,,,
CA,PopRI,3.6,0.692,0.65,0.735,all,all,endpoints,,,,,,,,,,,,
CRE,Gaussian_eb,1.2,0.543,0.501,0.586,all,all,endpoints,,,,,,,,,,,,
CRE,Gaussian_mle,1.78,,,,all,all,endpoints,,,,,,,,,,,,
CRE,Gaussian_trunc,0.897,,,,all,all,endpoints,,,,,,,,,,,,
CRE,NORMA,2.5,0.634,0.591,0.676,all,all,endpoints,,,,,,,,,,,,
CRE,PerRI,1.06,0.516,0.475,0.557,all,all,endpoints,,,,,,,,,,,,
CRE,PopRI,7.63,0.802,0.768,0.835,all,all,endpoints,,,,,,,,,,,,
GLU,Gaussian_eb,1.23,0.546,0.509,0.583,all,all,endpoints,,,,,,,,,,,,
GLU,Gaussian_mle,1.26,,,,all,all,endpoints,,,,,,,,,,,,
GLU,Gaussian_trunc,1.26,,,,all,all,endpoints,,,,,,,,,,,,
GLU,NORMA,1.64,0.59,0.552,0.628,all,all,endpoints,,,,,,,,,,,,
GLU,PerRI,1.04,0.523,0.486,0.559,all,all,endpoints,,,,,,,,,,,,
GLU,PopRI,2.76,0.632,0.594,0.67,all,all,endpoints,,,,,,,,,,,,
HCT,Gaussian_eb,1.26,0.56,0.508,0.612,all,all,endpoints,,,,,,,,,,,,
HCT,Gaussian_mle,1.29,,,,all,all,endpoints,,,,,,,,,,,,
HCT,Gaussian_trunc,1.2,,,,all,all,endpoints,,,,,,,,,,,,
HCT,NORMA,1.73,0.632,0.584,0.68,all,all,endpoints,,,,,,,,,,,,
HCT,PerRI,0.885,0.502,0.454,0.55,all,all,endpoints,,,,,,,,,,,,
HCT,PopRI,5.04,0.729,0.685,0.773,all,all,endpoints,,,,,,,,,,,,
HDL,Gaussian_eb,1.32,0.514,0.49,0.539,all,all,endpoints,,,,,,,,,,,,
HDL,Gaussian_mle,1.34,,,,all,all,endpoints,,,,,,,,,,,,
HDL,Gaussian_trunc,1.28,,,,all,all,endpoints,,,,,,,,,,,,
HDL,NORMA,1.13,0.518,0.494,0.542,all,all,endpoints,,,,,,,,,,,,
HDL,PerRI,1.06,0.514,0.491,0.537,all,all,endpoints,,,,,,,,,,,,
HDL,PopRI,1.82,0.609,0.586,0.633,all,all,endpoints,,,,,,,,,,,,
HGB,Gaussian_eb,4.28,0.616,0.484,0.748,all,all,endpoints,,,,,,,,,,,,
HGB,Gaussian_mle,4.67,,,,all,all,endpoints,,,,,,,,,,,,
HGB,Gaussian_trunc,3.2,,,,all,all,endpoints,,,,,,,,,,,,
HGB,NORMA,9.73,0.663,0.534,0.792,all,all,endpoints,,,,,,,,,,,,
HGB,PerRI,1.01,0.567,0.456,0.678,all,all,endpoints,,,,,,,,,,,,
HGB,PopRI,106.0,0.769,0.651,0.886,all,all,endpoints,,,,,,,,,,,,
K,Gaussian_eb,1.76,0.566,0.518,0.614,all,all,endpoints,,,,,,,,,,,,
K,Gaussian_mle,1.76,,,,all,all,endpoints,,,,,,,,,,,,
K,Gaussian_trunc,1.31,,,,all,all,endpoints,,,,,,,,,,,,
K,NORMA,2.51,0.602,0.554,0.651,all,all,endpoints,,,,,,,,,,,,
K,PerRI,1.36,0.544,0.498,0.59,all,all,endpoints,,,,,,,,,,,,
K,PopRI,4.85,0.681,0.636,0.727,all,all,endpoints,,,,,,,,,,,,
LDL,Gaussian_eb,1.97,0.614,0.586,0.642,all,all,endpoints,,,,,,,,,,,,
LDL,Gaussian_mle,2.08,,,,all,all,endpoints,,,,,,,,,,,,
LDL,Gaussian_trunc,1.94,,,,all,all,endpoints,,,,,,,,,,,,
LDL,NORMA,1.81,0.624,0.596,0.652,all,all,endpoints,,,,,,,,,,,,
LDL,PerRI,1.27,0.546,0.517,0.575,all,all,endpoints,,,,,,,,,,,,
LDL,PopRI,3.24,0.725,0.7,0.75,all,all,endpoints,,,,,,,,,,,,
MCH,Gaussian_eb,1.61,0.593,0.555,0.63,all,all,endpoints,,,,,,,,,,,,
MCH,Gaussian_mle,1.67,,,,all,all,endpoints,,,,,,,,,,,,
MCH,Gaussian_trunc,1.32,,,,all,all,endpoints,,,,,,,,,,,,
MCH,NORMA,1.85,0.625,0.588,0.662,all,all,endpoints,,,,,,,,,,,,
MCH,PerRI,1.1,0.543,0.504,0.581,all,all,endpoints,,,,,,,,,,,,
MCH,PopRI,5.37,0.796,0.767,0.825,all,all,endpoints,,,,,,,,,,,,
MCHC,Gaussian_eb,1.32,0.552,0.502,0.602,all,all,endpoints,,,,,,,,,,,,
MCHC,Gaussian_mle,1.45,,,,all,all,endpoints,,,,,,,,,,,,
MCHC,Gaussian_trunc,1.16,,,,all,all,endpoints,,,,,,,,,,,,
MCHC,NORMA,1.45,0.556,0.506,0.606,all,all,endpoints,,,,,,,,,,,,
MCHC,PerRI,1.3,0.514,0.464,0.563,all,all,endpoints,,,,,,,,,,,,
MCHC,PopRI,1.79,0.605,0.556,0.654,all,all,endpoints,,,,,,,,,,,,
MCV,Gaussian_eb,2.55,0.65,0.6,0.699,all,all,endpoints,,,,,,,,,,,,
MCV,Gaussian_mle,3.0,,,,all,all,endpoints,,,,,,,,,,,,
MCV,Gaussian_trunc,2.34,,,,all,all,endpoints,,,,,,,,,,,,
MCV,NORMA,2.61,0.684,0.64,0.728,all,all,endpoints,,,,,,,,,,,,
MCV,PerRI,1.36,0.583,0.534,0.631,all,all,endpoints,,,,,,,,,,,,
MCV,PopRI,14.7,0.907,0.887,0.926,all,all,endpoints,,,,,,,,,,,,
MPV,Gaussian_eb,1.67,0.593,0.559,0.627,all,all,endpoints,,,,,,,,,,,,
MPV,Gaussian_mle,1.73,,,,all,all,endpoints,,,,,,,,,,,,
MPV,Gaussian_trunc,1.19,,,,all,all,endpoints,,,,,,,,,,,,
MPV,NORMA,1.83,0.586,0.552,0.62,all,all,endpoints,,,,,,,,,,,,
MPV,PerRI,1.12,0.523,0.489,0.557,all,all,endpoints,,,,,,,,,,,,
MPV,PopRI,5.76,0.748,0.72,0.777,all,all,endpoints,,,,,,,,,,,,
NA,Gaussian_eb,1.68,0.6,0.57,0.63,all,all,endpoints,,,,,,,,,,,,
NA,Gaussian_mle,1.67,,,,all,all,endpoints,,,,,,,,,,,,
NA,Gaussian_trunc,1.31,,,,all,all,endpoints,,,,,,,,,,,,
NA,NORMA,1.93,0.613,0.582,0.644,all,all,endpoints,,,,,,,,,,,,
NA,PerRI,1.25,0.568,0.539,0.597,all,all,endpoints,,,,,,,,,,,,
NA,PopRI,3.11,0.697,0.668,0.727,all,all,endpoints,,,,,,,,,,,,
PLT,Gaussian_eb,1.76,0.592,0.545,0.639,all,all,endpoints,,,,,,,,,,,,
PLT,Gaussian_mle,2.02,,,,all,all,endpoints,,,,,,,,,,,,
PLT,Gaussian_trunc,1.66,,,,all,all,endpoints,,,,,,,,,,,,
PLT,NORMA,3.28,0.733,0.696,0.771,all,all,endpoints,,,,,,,,,,,,
PLT,PerRI,1.32,0.568,0.522,0.613,all,all,endpoints,,,,,,,,,,,,
PLT,PopRI,17.8,0.848,0.816,0.88,all,all,endpoints,,,,,,,,,,,,
RBC,Gaussian_eb,1.52,0.589,0.554,0.623,all,all,endpoints,,,,,,,,,,,,
RBC,Gaussian_mle,1.85,,,,all,all,endpoints,,,,,,,,,,,,
RBC,Gaussian_trunc,1.2,,,,all,all,endpoints,,,,,,,,,,,,
RBC,NORMA,2.67,0.672,0.638,0.706,all,all,endpoints,,,,,,,,,,,,
RBC,PerRI,1.26,0.558,0.52,0.595,all,all,endpoints,,,,,,,,,,,,
RBC,PopRI,7.25,0.8,0.774,0.827,all,all,endpoints,,,,,,,,,,,,
RDW,Gaussian_eb,1.28,0.551,0.532,0.569,all,all,endpoints,,,,,,,,,,,,
RDW,Gaussian_mle,1.41,,,,all,all,endpoints,,,,,,,,,,,,
RDW,Gaussian_trunc,1.25,,,,all,all,endpoints,,,,,,,,,,,,
RDW,NORMA,1.61,0.577,0.558,0.595,all,all,endpoints,,,,,,,,,,,,
RDW,PerRI,1.15,0.517,0.499,0.535,all,all,endpoints,,,,,,,,,,,,
RDW,PopRI,2.53,0.642,0.624,0.66,all,all,endpoints,,,,,,,,,,,,
TBIL,Gaussian_eb,1.12,0.516,0.462,0.57,all,all,endpoints,,,,,,,,,,,,
TBIL,Gaussian_mle,1.13,,,,all,all,endpoints,,,,,,,,,,,,
TBIL,Gaussian_trunc,0.895,,,,all,all,endpoints,,,,,,,,,,,,
TBIL,NORMA,1.16,0.527,0.475,0.58,all,all,endpoints,,,,,,,,,,,,
TBIL,PerRI,0.849,0.501,0.45,0.552,all,all,endpoints,,,,,,,,,,,,
TBIL,PopRI,4.34,0.747,0.701,0.792,all,all,endpoints,,,,,,,,,,,,
TC,Gaussian_eb,2.4,0.632,0.568,0.695,all,all,endpoints,,,,,,,,,,,,
TC,Gaussian_mle,2.42,,,,all,all,endpoints,,,,,,,,,,,,
TC,Gaussian_trunc,2.07,,,,all,all,endpoints,,,,,,,,,,,,
TC,NORMA,3.11,0.647,0.583,0.711,all,all,endpoints,,,,,,,,,,,,
TC,PerRI,1.0,0.558,0.498,0.618,all,all,endpoints,,,,,,,,,,,,
TC,PopRI,6.08,0.773,0.724,0.822,all,all,endpoints,,,,,,,,,,,,
TP,Gaussian_eb,2.17,0.592,0.529,0.655,all,all,endpoints,,,,,,,,,,,,
TP,Gaussian_mle,2.51,,,,all,all,endpoints,,,,,,,,,,,,
TP,Gaussian_trunc,1.67,,,,all,all,endpoints,,,,,,,,,,,,
TP,NORMA,2.92,0.642,0.577,0.707,all,all,endpoints,,,,,,,,,,,,
TP,PerRI,1.91,0.563,0.497,0.63,all,all,endpoints,,,,,,,,,,,,
TP,PopRI,6.4,0.748,0.687,0.808,all,all,endpoints,,,,,,,,,,,,
WBC,Gaussian_eb,1.37,0.561,0.533,0.59,all,all,endpoints,,,,,,,,,,,,
WBC,Gaussian_mle,1.57,,,,all,all,endpoints,,,,,,,,,,,,
WBC,Gaussian_trunc,1.21,,,,all,all,endpoints,,,,,,,,,,,,
WBC,NORMA,1.92,0.628,0.6,0.656,all,all,endpoints,,,,,,,,,,,,
