subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,A1C,PopRI,mortality,first,binary,abnormal,15862.0,5197.0,0.84,0.65,1.09,0.1861402303731213,0.2131170753547331
all,A1C,PerRI,mortality,first,binary,abnormal,15862.0,5197.0,0.58,0.54,0.63,1.2332477872860215e-43,3.2475525065198567e-43
all,A1C,NORMA,mortality,first,binary,abnormal,15862.0,5197.0,0.82,0.65,1.03,0.091048662990026,0.1123881933783133
all,ALB,PopRI,mortality,first,binary,abnormal,22688.0,7036.0,4.15,3.83,4.49,1.023511063612194e-269,4.042868701268167e-268
all,ALB,PerRI,mortality,first,binary,abnormal,22688.0,7036.0,1.21,1.1,1.33,8.30176645146654e-05,0.0001237433112577
all,ALB,NORMA,mortality,first,binary,abnormal,22688.0,7036.0,3.11,2.8,3.46,4.823651972358524e-98,2.721917898688024e-97
all,ALP,PopRI,mortality,first,binary,abnormal,33770.0,9358.0,2.05,1.94,2.17,3.359182593656426e-139,5.307508497977153e-138
all,ALP,PerRI,mortality,first,binary,abnormal,33770.0,9358.0,0.96,0.87,1.05,0.3947995738528539,0.4214752207348035
all,ALP,NORMA,mortality,first,binary,abnormal,33770.0,9358.0,2.01,1.86,2.18,1.3499522300680617e-66,4.63679244240769e-66
all,ALT,PopRI,mortality,first,binary,abnormal,42090.0,11112.0,2.08,1.95,2.22,1.3442123262030324e-108,9.653888524549052e-108
all,ALT,PerRI,mortality,first,binary,abnormal,42090.0,11112.0,0.94,0.86,1.03,0.178735887539829,0.2076490458183308
all,ALT,NORMA,mortality,first,binary,abnormal,42090.0,11112.0,1.35,1.27,1.43,3.606694458299317e-23,7.498127952780158e-23
all,AST,PopRI,mortality,first,binary,abnormal,42160.0,11104.0,1.85,1.76,1.94,2.1067087740312136e-135,2.773833219141098e-134
all,AST,PerRI,mortality,first,binary,abnormal,42160.0,11104.0,1.02,0.94,1.12,0.6577207872005647,0.674804444010969
all,AST,NORMA,mortality,first,binary,abnormal,42160.0,11104.0,1.55,1.47,1.65,4.976054048182152e-50,1.4559565548384817e-49
all,BUN,PopRI,mortality,first,binary,abnormal,44967.0,11979.0,2.82,2.53,3.15,9.532397252584896e-77,3.5859970616866974e-76
all,BUN,PerRI,mortality,first,binary,abnormal,44967.0,11979.0,0.81,0.75,0.88,2.3718024026010765e-07,3.8239263225609193e-07
all,BUN,NORMA,mortality,first,binary,abnormal,44967.0,11979.0,2.58,2.31,2.87,1.122428640589695e-65,3.694660941941078e-65
all,CA,PopRI,mortality,first,binary,abnormal,26577.0,7813.0,1.93,1.81,2.07,3.4842452790199834e-82,1.6191492767210512e-81
all,CA,PerRI,mortality,first,binary,abnormal,26577.0,7813.0,1.08,0.99,1.17,0.0709299307041976,0.0903784600908324
all,CA,NORMA,mortality,first,binary,abnormal,26577.0,7813.0,1.88,1.73,2.05,3.735608716565552e-48,1.0176313400299262e-47
all,CL,PopRI,mortality,first,binary,abnormal,1410.0,512.0,3.57,1.67,7.61,0.001004899407576,0.0014434009672455
all,CL,PerRI,mortality,first,binary,abnormal,1410.0,512.0,1.9,0.97,3.71,0.0607136523429115,0.078629156312951
all,CL,NORMA,mortality,first,binary,abnormal,1410.0,512.0,4.1,1.82,9.27,0.0006798635821546,0.0009946152405595
all,CRE,PopRI,mortality,first,binary,abnormal,48886.0,12707.0,3.0,2.82,3.18,2.2087225675380715e-281,1.7448908283550765e-279
all,CRE,PerRI,mortality,first,binary,abnormal,48886.0,12707.0,1.04,0.97,1.12,0.2849570616682536,0.3083781900245484
all,CRE,NORMA,mortality,first,binary,abnormal,48886.0,12707.0,3.3,3.07,3.54,9.64381468582861e-237,2.5395378672682004e-235
all,GLU,PopRI,mortality,first,binary,abnormal,48214.0,12238.0,1.6,1.39,1.85,1.158528160331848e-10,2.1284587131678132e-10
all,GLU,PerRI,mortality,first,binary,abnormal,48214.0,12238.0,0.77,0.7,0.84,1.915480457567357e-08,3.21963736484726e-08
all,GLU,NORMA,mortality,first,binary,abnormal,48214.0,12238.0,1.61,1.38,1.86,3.99531846149586e-10,7.01400352129273e-10
all,HCT,PopRI,mortality,first,binary,abnormal,51711.0,12627.0,3.6,3.15,4.12,4.542063424077862e-78,1.8885421605376385e-77
all,HCT,PerRI,mortality,first,binary,abnormal,51711.0,12627.0,0.79,0.73,0.86,1.718426922803547e-08,2.951211454380005e-08
all,HCT,NORMA,mortality,first,binary,abnormal,51711.0,12627.0,3.36,2.86,3.94,9.424347886126144e-50,2.6590124392998763e-49
all,HDL,PopRI,mortality,first,binary,abnormal,34667.0,8826.0,1.68,1.56,1.81,1.3048512625941182e-42,3.325266120804366e-42
all,HDL,PerRI,mortality,first,binary,abnormal,34667.0,8826.0,0.73,0.67,0.81,7.96233917450028e-11,1.4976780828226718e-10
all,HDL,NORMA,mortality,first,binary,abnormal,34667.0,8826.0,1.72,1.57,1.89,2.086382491114312e-30,4.5784504666119626e-30
