split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
all,A1C,1745,6.35,1.2,1618.3,1645.0,7.3,10.6
all,ALB,4282,3.29,0.8,1709.9,1964.5,27.6,45.9
all,ALP,4206,112.49,58.83,1713.3,1971.1,26.1,42.6
all,ALT,4219,37.78,25.21,1718.6,1944.1,26.2,43.2
all,AST,4220,31.86,19.49,1745.7,1992.9,26.0,43.4
all,BUN,5180,23.05,15.22,1620.9,1993.0,33.5,55.1
all,CA,5162,8.76,0.71,1593.5,1962.5,34.0,56.9
all,CL,5172,102.42,4.98,1616.9,1985.6,33.9,56.7
all,CO2,5187,25.93,3.85,1613.2,1990.1,34.2,56.7
all,CRE,5161,1.12,0.55,1634.1,2004.3,33.8,56.1
all,DBIL,1429,0.34,0.32,1080.2,1679.1,10.0,13.3
all,GLU,5150,124.87,39.91,1569.0,1921.0,34.5,57.8
all,HCT,5470,32.2,6.76,1622.5,2018.2,34.8,61.1
all,HDL,1549,53.6,17.48,2177.6,2096.2,7.2,8.9
all,HGB,5369,10.72,2.28,1611.8,2020.9,33.4,57.9
all,K,5236,4.14,0.54,1631.1,2002.4,38.3,67.5
all,LDL,821,94.9,34.92,2140.8,1975.9,6.9,9.4
all,MCH,5294,30.42,2.65,1613.2,2017.8,33.0,57.2
all,MCHC,5317,33.24,1.35,1617.3,2017.4,33.2,57.0
all,MCV,5304,91.51,6.91,1616.9,2018.1,33.2,57.2
all,MPV,371,9.62,1.62,915.9,740.3,11.7,18.2
all,NA,5193,137.44,4.22,1621.6,1993.5,35.4,59.5
all,PLT,5320,197.98,111.37,1616.8,2011.9,33.3,58.0
all,RBC,5312,3.55,0.79,1617.6,2016.9,33.4,57.8
all,RDW,5315,16.14,2.86,1616.8,2017.3,32.9,56.3
all,TBIL,4169,0.64,0.42,1735.4,1975.0,25.8,42.5
all,TC,1635,173.52,45.03,2195.2,2115.3,8.4,12.0
all,TGL,4,165.7,100.76,594.9,528.3,2.5,0.6
all,TP,4213,6.6,0.98,1689.5,1936.3,26.4,43.1
all,WBC,5345,7.8,4.62,1618.6,2013.0,32.8,56.8
baseline,A1C,107,6.48,1.22,2120.2,1504.9,12.7,10.7
baseline,ALB,525,3.24,0.76,1515.7,1738.9,30.7,36.9
baseline,ALP,487,104.95,51.82,1528.0,1790.1,29.4,35.4
baseline,ALT,497,38.36,24.94,1681.1,1839.9,33.4,42.9
baseline,AST,496,31.21,19.02,1570.0,1693.1,32.3,40.5
baseline,BUN,685,21.95,14.61,1463.0,1856.9,32.0,39.9
baseline,CA,701,8.72,0.7,1454.9,1905.8,35.5,44.4
baseline,CL,697,102.5,5.04,1358.3,1705.2,35.7,48.2
baseline,CO2,693,25.85,3.8,1460.8,1818.8,36.7,51.2
baseline,CRE,696,1.1,0.53,1435.8,1818.3,36.2,49.6
baseline,DBIL,114,0.34,0.33,1148.9,1799.4,13.8,10.4
baseline,GLU,702,124.91,39.34,1379.6,1759.9,38.3,53.6
baseline,HCT,742,31.84,6.53,1450.6,1859.0,39.6,58.9
baseline,HDL,101,53.63,18.8,2909.6,1745.4,11.2,9.0
baseline,HGB,751,10.54,2.18,1385.1,1785.6,36.2,49.4
baseline,K,721,4.16,0.56,1559.5,1938.7,40.6,53.0
baseline,LDL,48,102.46,37.19,2821.6,1651.0,15.1,12.9
baseline,MCH,693,30.35,2.72,1445.3,1864.1,36.8,47.9
baseline,MCHC,679,33.41,1.35,1431.8,1920.8,36.7,48.6
baseline,MCV,708,91.55,6.85,1564.3,1927.6,35.3,49.3
baseline,MPV,24,8.86,1.69,801.6,523.6,21.3,32.3
baseline,NA,692,137.59,4.22,1491.8,1845.2,40.1,53.8
baseline,PLT,692,190.53,113.41,1393.3,1774.4,37.6,54.5
baseline,RBC,702,3.47,0.76,1444.0,1909.7,39.0,54.3
baseline,RDW,718,16.22,2.79,1432.1,1800.4,36.2,45.8
baseline,TBIL,495,0.64,0.4,1655.5,1936.7,31.3,36.4
baseline,TC,122,181.32,43.42,2673.2,1821.4,13.3,12.8
baseline,TP,503,6.65,0.97,1575.7,1826.5,30.1,36.6
baseline,WBC,691,7.84,4.79,1361.6,1793.9,36.7,51.1
