split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
all,ALB,19075,2.59,0.66,13.5,13.7,14.4,11.2
all,ALP,13582,96.96,43.17,13.4,14.0,13.0,8.5
all,ALT,12425,33.84,23.39,14.2,14.7,13.1,9.1
all,AST,12704,37.11,25.55,14.3,14.8,13.2,9.4
all,BUN,57540,25.3,15.47,11.5,152.6,15.8,12.6
all,CA,57067,8.35,0.72,11.6,153.2,16.3,13.5
all,CL,59172,103.76,6.2,11.6,150.5,16.3,13.5
all,CO2,70208,24.99,4.71,10.9,189.5,20.6,20.6
all,CRE,54820,1.11,0.6,11.5,156.3,15.7,12.6
all,DBIL,1147,0.58,0.53,16.1,19.8,11.7,7.2
all,GLU,90958,139.59,44.3,9.2,124.9,44.9,59.4
all,HCT,60110,30.12,5.92,10.7,10.6,16.5,13.6
all,HDL,11,25.99,14.33,10.7,7.2,9.5,3.2
all,HGB,60482,9.9,2.0,10.7,10.6,16.8,14.4
all,K,66569,3.99,0.55,11.9,233.4,18.1,16.4
all,LDL,3,92.06,56.21,18.8,9.7,11.0,4.0
all,MCH,48432,29.68,2.07,11.5,10.9,15.4,12.0
all,MCHC,51710,32.79,1.31,11.5,10.7,15.4,11.9
all,MCV,50841,90.38,5.7,11.4,10.8,15.4,12.0
all,MPV,37083,9.73,1.37,11.4,10.7,15.2,11.3
all,NA,62419,138.59,4.96,11.2,146.5,17.2,15.1
all,PLT,53371,199.01,98.39,11.1,10.8,15.1,11.9
all,RBC,53584,3.38,0.68,11.5,10.8,15.5,12.1
all,RDW,48715,15.77,2.05,11.3,10.5,15.0,11.3
all,TBIL,12738,0.75,0.49,13.7,14.5,12.8,8.5
all,TC,35,108.28,44.01,24.4,15.4,10.2,4.8
all,TGL,312,144.91,68.01,21.0,17.9,9.9,4.0
all,TP,15134,5.8,0.97,13.7,14.0,13.5,9.9
all,WBC,52141,10.6,4.63,11.5,10.8,15.1,11.6
baseline,ALB,19075,2.6,0.67,8.5,8.7,10.5,8.4
baseline,ALP,13582,94.72,42.5,8.3,8.2,9.4,6.4
baseline,ALT,12425,33.81,23.43,8.9,8.8,9.5,6.8
baseline,AST,12704,38.06,26.16,9.0,9.1,9.5,7.0
baseline,BUN,57540,25.48,15.45,7.3,152.4,11.5,9.4
baseline,CA,57067,8.31,0.74,7.4,153.0,11.9,10.1
baseline,CL,59172,104.03,6.32,7.3,150.3,11.9,10.1
baseline,CO2,70208,24.53,4.7,6.6,189.3,15.1,15.4
baseline,CRE,54820,1.13,0.61,7.3,156.1,11.4,9.4
baseline,DBIL,1147,0.61,0.54,10.1,11.8,8.5,5.4
baseline,GLU,90958,140.59,44.33,6.0,124.7,33.3,44.5
baseline,HCT,60110,30.3,6.17,6.5,6.7,12.1,10.2
baseline,HDL,11,26.77,14.67,7.0,5.7,6.7,2.3
baseline,HGB,60482,9.98,2.08,6.4,6.8,12.3,10.8
baseline,K,66569,3.99,0.57,7.8,233.2,13.2,12.3
baseline,LDL,3,94.92,59.66,13.8,8.5,8.0,3.0
baseline,MCH,48432,29.7,2.09,7.1,6.7,11.2,9.0
baseline,MCHC,51710,32.86,1.32,7.1,6.7,11.2,8.9
baseline,MCV,50841,90.27,5.76,7.1,6.7,11.2,9.0
baseline,MPV,37083,9.74,1.37,7.1,6.6,11.0,8.5
baseline,NA,62419,138.62,5.05,7.0,146.3,12.6,11.3
baseline,PLT,53371,190.91,94.28,6.8,6.8,11.0,8.9
baseline,RBC,53584,3.41,0.71,7.1,6.7,11.2,9.1
baseline,RDW,48715,15.68,2.02,7.0,6.7,10.9,8.4
baseline,TBIL,12738,0.77,0.5,8.5,9.0,9.3,6.4
baseline,TC,35,107.85,47.05,15.6,10.8,7.4,3.7
baseline,TGL,312,145.07,68.52,13.5,12.5,7.1,3.0
baseline,TP,15134,5.78,0.98,8.5,8.5,9.8,7.4
baseline,WBC,52141,10.8,4.73,7.2,6.8,11.0,8.7
index,ALB,19075,2.55,0.62,3.9,5.9,3.9,2.8
index,ALP,13582,102.81,44.34,3.9,7.4,3.6,2.2
index,ALT,12425,33.92,23.29,4.0,7.4,3.6,2.3
index,AST,12704,34.63,23.69,4.0,7.0,3.6,2.4
index,BUN,57540,24.84,15.52,3.3,4.7,4.3,3.2
index,CA,57067,8.47,0.68,3.4,4.9,4.4,3.4
index,CL,59172,103.03,5.82,3.3,4.6,4.4,3.4
index,CO2,70208,26.26,4.52,3.6,4.9,5.5,5.2
index,CRE,54820,1.04,0.58,3.3,4.5,4.3,3.2
index,DBIL,1147,0.51,0.48,4.5,9.3,3.3,1.8
index,GLU,90958,136.72,44.11,2.9,4.4,11.6,14.9
index,HCT,60110,29.62,5.15,3.4,4.9,4.5,3.4
index,HDL,11,24.13,13.55,2.4,1.9,2.8,1.0
index,HGB,60482,9.67,1.73,3.4,4.9,4.6,3.6
index,K,66569,3.99,0.51,3.3,4.7,4.9,4.1
index,LDL,3,84.44,48.15,2.7,1.5,3.0,1.0
index,MCH,48432,29.62,1.99,3.4,5.2,4.2,3.0
index,MCHC,51710,32.63,1.27,3.4,5.0,4.2,3.0
index,MCV,50841,90.66,5.52,3.4,5.1,4.2,3.0
index,MPV,37083,9.71,1.38,3.4,5.2,4.1,2.9
