dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
eicu,normal,ALB,NORMA_normal,1347.0,0.1926122139008202,5.027961952901801,0.2655069658109176,0.1847374927669333,0.0117923401334857,,
eicu,normal,ALB,NORMA_marginal,1347.0,0.3141357663574387,8.229177352034174,0.4480377710894221,-1.321533136198017,-0.2013797662431043,,
eicu,normal,ALB,NORMA_marginal_freq,1347.0,0.2071754623762649,5.244182990561969,0.3002007116877198,-0.0422431893067016,-0.143834423593467,,
eicu,normal,ALB,NORMA_oracle,1347.0,0.1926122139008202,5.027961952901801,0.2655069658109176,0.1847374927669333,0.0117923401334857,,
eicu,normal,ALB,Mean,1347.0,0.4365977110212,11.315981168578844,0.601286326902173,-3.181270720477148,-0.3366146069280989,,
eicu,normal,ALB,Last,1347.0,0.3339272519970435,8.742441903081367,0.4895189539652199,-1.7713071048929288,-0.2081663008168085,,
eicu,normal,ALB,ARIMA,1347.0,0.3861698762637943,10.097941504265933,0.6112569361907763,-3.32108919904982,-0.1690284767564485,,
eicu,normal,ALB,PopRI,1347.0,0.7284335560504825,19.897457086493517,0.7783923050424951,-6.0071707232563565,0.7207126948775057,,
eicu,normal,ALB,PerRI,1347.0,0.4561969126270044,11.835829429658098,0.6401517767475419,-3.739270979788947,-0.3531837075573558,,
eicu,normal,ALB,Gaussian_mle,1347.0,0.3244805794789707,8.722828586161414,0.4395806697117288,-1.2347183932093246,0.1956795636537675,,
eicu,normal,ALB,Gaussian_trunc,1347.0,1.3831577845197065,37.24095467988909,2.334028184980604,-62.0025058209212,-0.9705842221901132,,
eicu,normal,ALB,Gaussian_eb,1347.0,0.5290574125471541,14.232856328457116,0.8230747320272175,-6.834732435010436,-0.0201489805156407,,
eicu,normal,ALB,Cohen_m2,1347.0,0.3249577865303226,8.323180053122679,0.4158365473214873,-0.9998201654635632,-0.2229656836503332,,
eicu,normal,ALB,Cohen_m3,1347.0,0.2371413551973429,6.058066071027991,0.3211921744922154,-0.1930964186624992,-0.0568105896225485,,
eicu,normal,ALB,Cohen_m4,1347.0,0.2163035872430383,5.633996380998737,0.2764559199073623,0.1161116308012341,0.0362674406217307,,
eicu,all_states,ALB,NORMA_normal,18665.0,0.7890233304250858,36.610981561636926,0.943279271588694,-1.3212478802695231,0.772643917285307,,
eicu,all_states,ALB,NORMA_marginal,18665.0,0.2205712251749574,9.360649989893714,0.3123941673918676,0.7454068165218666,0.0688009698916329,,
eicu,all_states,ALB,NORMA_marginal_freq,18665.0,0.6350134130470755,29.5809474407744,0.7688285390667347,-0.5420552359353257,0.6031764571295563,,
eicu,all_states,ALB,NORMA_oracle,18665.0,0.1894019357306753,7.956042581956797,0.2641114973374903,0.8180233973144507,-0.0016290035426632,,
eicu,all_states,ALB,Mean,18665.0,0.3013427838330638,12.836225794141532,0.3942726208957064,0.594459550868325,0.102101922422161,,
eicu,all_states,ALB,Last,18665.0,0.2168288346316646,8.875734790040472,0.3263165843385437,0.7222083220612723,-0.0050313463434596,,
eicu,all_states,ALB,ARIMA,18665.0,0.2595913261504557,10.63587277969068,0.4331455225108457,0.5105497023436782,-0.0061154044953063,,
eicu,all_states,ALB,PopRI,18665.0,1.9653195821055451,89.53301285968051,2.0600022119681545,-10.07073133905292,1.9647623894990625,,
eicu,all_states,ALB,PerRI,18665.0,0.2919138830389076,12.25269508423461,0.3967596855317845,0.5893271303651895,0.0583393514559559,,
eicu,all_states,ALB,Gaussian_mle,18665.0,1.8307456849826944,84.99098987092405,1.9886699900631004,-9.317307589576616,1.8214504817511623,,
eicu,all_states,ALB,Gaussian_trunc,18665.0,2.06519530421862,92.34599440464788,2.2876582141785,-12.652846807851509,1.4507703097816458,,
eicu,all_states,ALB,Gaussian_eb,18665.0,1.8513040328913464,85.51320738490163,2.002662524857157,-9.46300614428906,1.7717931672660323,,
eicu,all_states,ALB,Cohen_m2,18665.0,0.926198181754234,44.88146941948347,1.0710582611405657,-1.9927271858167988,0.8853755037893791,,
eicu,all_states,ALB,Cohen_m3,18665.0,1.1260482769686897,53.61893929549715,1.2625991151132516,-3.158837002840449,1.104834600586563,,
eicu,all_states,ALB,Cohen_m4,18665.0,1.2054294317880585,57.10867796453724,1.334645885566273,-3.647003954896544,1.1924367347883853,,
eicu,normal,ALP,NORMA_normal,9945.0,9.153719263858326,12.158242094982114,13.284852865830988,0.6386083000642779,-1.6226236027889722,,
eicu,normal,ALP,NORMA_marginal,9945.0,10.678577664106635,14.070763313388444,17.196065433341797,0.394487860722111,1.9886724132744056,,
eicu,normal,ALP,NORMA_marginal_freq,9945.0,9.807300713380288,13.832272595370032,13.908000623390151,0.6039098164634489,3.603421324995285,,
eicu,normal,ALP,NORMA_oracle,9945.0,9.153719263858326,12.158242094982114,13.284852865830988,0.6386083000642779,-1.6226236027889722,,
eicu,normal,ALP,Mean,9945.0,14.84919015263872,19.670923653827803,20.147960358366635,0.1687591999391834,3.636801620800669,,
eicu,normal,ALP,Last,9945.0,11.096329813976872,14.538590641944202,18.18810986254609,0.3226083889564577,1.6638511814982404,,
eicu,normal,ALP,ARIMA,9945.0,13.634340645108846,17.82611267862897,24.098441009534277,-0.1891662420359139,1.752004660382591,,
eicu,normal,ALP,PopRI,9945.0,18.615384615384617,27.054007069767334,22.202468847542463,-0.0094090985455954,-2.1435897435897435,,
eicu,normal,ALP,PerRI,9945.0,14.936766562180344,19.46849772224781,21.26173768166616,0.0743172139247952,1.0790250129494516,,
eicu,normal,ALP,Gaussian_mle,9945.0,12.606419623574102,16.66025910684649,16.622542384246398,0.4342043889318091,-2.5346221873091124,,
eicu,normal,ALP,Gaussian_trunc,9945.0,23.659628136753508,31.47971655453881,57.9168542357554,-5.868700917399706,-1.192727553135527,,
eicu,normal,ALP,Gaussian_eb,9945.0,12.95152127632802,17.257479829296425,17.44239105019881,0.3770162563639558,-2.639619570959828,,
eicu,normal,ALP,Cohen_m2,9945.0,13.41401980530982,18.32128118966704,17.087578708710925,0.4021038838158268,0.0169399516554919,,
eicu,normal,ALP,Cohen_m3,9945.0,28.401578366378853,43.45077319764614,33.79015565270954,-1.3380029831455729,26.37681604138926,,
