method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PopRI,high,ALP,14524,0.0,1.0,1.0,
PopRI,high,ALT,13268,0.0,1.0,1.0,
PopRI,high,AST,13031,0.0,1.0,1.0,
PopRI,high,BUN,126256,0.0,1.0,1.0,
PopRI,high,CA,1045,0.0,1.0,1.0,
PopRI,high,CL,68884,0.0,1.0,1.0,
PopRI,high,CO2,116368,0.0,1.0,1.0,
PopRI,high,CRE,62706,0.0,1.0,1.0,
PopRI,high,DBIL,1815,0.0,1.0,1.0,
PopRI,high,GLU,847762,0.0,1.0,1.0,
PopRI,high,HCT,154,0.0,1.0,1.0,
PopRI,high,HGB,60,0.0,1.0,1.0,
PopRI,high,K,10722,0.0,1.0,1.0,
PopRI,high,MCH,21229,0.0,1.0,1.0,
PopRI,high,MCHC,378,0.0,1.0,1.0,
PopRI,high,MCV,19266,0.0,1.0,1.0,
PopRI,high,NA,22064,0.0,1.0,1.0,
PopRI,high,PLT,3045,0.0,1.0,1.0,
PopRI,high,RBC,296,0.0,1.0,1.0,
PopRI,high,RDW,143680,0.0,1.0,1.0,
PopRI,high,TBIL,6673,0.0,1.0,1.0,
PopRI,high,TGL,339,0.0,1.0,1.0,
PopRI,high,TP,879,0.0,1.0,1.0,
PopRI,high,WBC,76280,0.0,1.0,1.0,
PopRI,low,ALB,69030,0.0,1.0,1.0,
PopRI,low,ALP,186,0.0,1.0,1.0,
PopRI,low,ALT,2970,0.0,1.0,1.0,
PopRI,low,AST,1266,0.0,1.0,1.0,
PopRI,low,BUN,19698,0.0,1.0,1.0,
PopRI,low,CA,138820,0.0,1.0,1.0,
PopRI,low,CL,43667,0.0,1.0,1.0,
PopRI,low,CO2,75898,0.0,1.0,1.0,
PopRI,low,CRE,44621,0.0,1.0,1.0,
PopRI,low,DBIL,381,0.0,1.0,1.0,
PopRI,low,GLU,19941,0.0,1.0,1.0,
PopRI,low,HCT,256361,0.0,1.0,1.0,
PopRI,low,HDL,29,0.0,1.0,1.0,
PopRI,low,HGB,260837,0.0,1.0,1.0,
PopRI,low,K,42680,0.0,1.0,1.0,
PopRI,low,MCH,38019,0.0,1.0,1.0,
PopRI,low,MCHC,124070,0.0,1.0,1.0,
PopRI,low,MCV,5859,0.0,1.0,1.0,
PopRI,low,NA,72940,0.0,1.0,1.0,
PopRI,low,PLT,59891,0.0,1.0,1.0,
PopRI,low,RBC,206724,0.0,1.0,1.0,
PopRI,low,TBIL,4092,0.0,1.0,1.0,
PopRI,low,TC,45,0.0,1.0,1.0,
PopRI,low,TP,31767,0.0,1.0,1.0,
PopRI,low,WBC,13297,0.0,1.0,1.0,
PopRI,normal,ALB,5734,1.0,1.0,1.0,
PopRI,normal,ALP,33825,1.0,1.0,1.0,
PopRI,normal,ALT,28557,1.0,1.0,1.0,
PopRI,normal,AST,31768,1.0,1.0,1.0,
PopRI,normal,BUN,101350,1.0,1.0,1.0,
PopRI,normal,CA,112686,1.0,1.0,1.0,
PopRI,normal,CL,149433,1.0,1.0,1.0,
PopRI,normal,CO2,191242,1.0,1.0,1.0,
PopRI,normal,CRE,126540,1.0,1.0,1.0,
PopRI,normal,DBIL,1534,1.0,1.0,1.0,
PopRI,normal,GLU,186941,1.0,1.0,1.0,
PopRI,normal,HCT,12875,1.0,1.0,1.0,
PopRI,normal,HGB,14144,1.0,1.0,1.0,
