method,analyte,n_cal,n_eval,gamma,coverage_raw,width_rel_raw,coverage_cal,width_rel_cal,n_analytes
Gaussian_eb,median,,,1.1585,0.9126,0.7587,0.9503,0.9137,25.0
NORMA_q_age,median,,,1.1547,0.9142,0.7673,0.9507,0.9337,25.0
NORMA_334f7e21,median,,,1.1735,0.9102,0.7863,0.9503,0.9463,25.0
NORMA_q_age_set,median,,,1.1243,0.9285,0.8044,0.9505,0.9546,25.0
NORMA_q_age_set_co,median,,,1.3478,0.875,0.7025,0.9509,0.9546,25.0
PopRI,median,,,1.0,1.0,1.0,1.0,1.0,25.0
Cohen_m3,median,,,1.5591,0.8287,0.7878,0.9502,1.1539,25.0
Cohen_m4,median,,,1.5966,0.772,0.7162,0.9498,1.1603,25.0
Cohen_m2,median,,,1.5551,0.8315,0.8135,0.9506,1.1609,25.0
Gaussian_mle,median,,,1.5727,0.8637,0.7331,0.951,1.2583,25.0
PerRI,median,,,4.398,0.7,0.7071,0.9509,2.9746,25.0
Gaussian_trunc,median,,,2.8835,0.6724,0.9083,0.9508,3.2202,25.0
