subset,analyte,n,n_patients,PopRI_pct,PopRI_valid,PopRI_abn,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_valid,PerRI_abn,PerRI_pct_lo,PerRI_pct_hi,PerRI_reclass_pct,PerRI_reclass_valid,PerRI_reclass_abn,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Cohen_m2_pct,Cohen_m2_valid,Cohen_m2_abn,Cohen_m2_pct_lo,Cohen_m2_pct_hi,Cohen_m2_reclass_pct,Cohen_m2_reclass_valid,Cohen_m2_reclass_abn,Cohen_m2_reclass_pct_lo,Cohen_m2_reclass_pct_hi,Cohen_m3_pct,Cohen_m3_valid,Cohen_m3_abn,Cohen_m3_pct_lo,Cohen_m3_pct_hi,Cohen_m3_reclass_pct,Cohen_m3_reclass_valid,Cohen_m3_reclass_abn,Cohen_m3_reclass_pct_lo,Cohen_m3_reclass_pct_hi,Cohen_m4_pct,Cohen_m4_valid,Cohen_m4_abn,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Cohen_m4_reclass_pct,Cohen_m4_reclass_valid,Cohen_m4_reclass_abn,Cohen_m4_reclass_pct_lo,Cohen_m4_reclass_pct_hi,Gaussian_mle_pct,Gaussian_mle_valid,Gaussian_mle_abn,Gaussian_mle_pct_lo,Gaussian_mle_pct_hi,Gaussian_mle_reclass_pct,Gaussian_mle_reclass_valid,Gaussian_mle_reclass_abn,Gaussian_mle_reclass_pct_lo,Gaussian_mle_reclass_pct_hi,Gaussian_trunc_pct,Gaussian_trunc_valid,Gaussian_trunc_abn,Gaussian_trunc_pct_lo,Gaussian_trunc_pct_hi,Gaussian_trunc_reclass_pct,Gaussian_trunc_reclass_valid,Gaussian_trunc_reclass_abn,Gaussian_trunc_reclass_pct_lo,Gaussian_trunc_reclass_pct_hi,Gaussian_eb_pct,Gaussian_eb_valid,Gaussian_eb_abn,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_valid,Gaussian_eb_reclass_abn,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_q_age_set_pct,NORMA_q_age_set_valid,NORMA_q_age_set_abn,NORMA_q_age_set_pct_lo,NORMA_q_age_set_pct_hi,NORMA_q_age_set_reclass_pct,NORMA_q_age_set_reclass_valid,NORMA_q_age_set_reclass_abn,NORMA_q_age_set_reclass_pct_lo,NORMA_q_age_set_reclass_pct_hi,NORMA_334f7e21_pct,NORMA_334f7e21_valid,NORMA_334f7e21_abn,NORMA_334f7e21_pct_lo,NORMA_334f7e21_pct_hi,NORMA_334f7e21_reclass_pct,NORMA_334f7e21_reclass_valid,NORMA_334f7e21_reclass_abn,NORMA_334f7e21_reclass_pct_lo,NORMA_334f7e21_reclass_pct_hi,NORMA_q_age_pct,NORMA_q_age_valid,NORMA_q_age_abn,NORMA_q_age_pct_lo,NORMA_q_age_pct_hi,NORMA_q_age_reclass_pct,NORMA_q_age_reclass_valid,NORMA_q_age_reclass_abn,NORMA_q_age_reclass_pct_lo,NORMA_q_age_reclass_pct_hi,NORMA_q_age_set_co_pct,NORMA_q_age_set_co_valid,NORMA_q_age_set_co_abn,NORMA_q_age_set_co_pct_lo,NORMA_q_age_set_co_pct_hi,NORMA_q_age_set_co_reclass_pct,NORMA_q_age_set_co_reclass_valid,NORMA_q_age_set_co_reclass_abn,NORMA_q_age_set_co_reclass_pct_lo,NORMA_q_age_set_co_reclass_pct_hi,n_popri_normal,PopRI_per_1000,PerRI_per_1000,Cohen_m2_per_1000,Cohen_m3_per_1000,Cohen_m4_per_1000,Gaussian_mle_per_1000,Gaussian_trunc_per_1000,Gaussian_eb_per_1000,NORMA_q_age_set_per_1000,NORMA_334f7e21_per_1000,NORMA_q_age_per_1000,NORMA_q_age_set_co_per_1000,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Cohen_m2_pct_median,Cohen_m2_pct_q25,Cohen_m2_pct_q75,Cohen_m2_reclass_pct_median,Cohen_m2_reclass_pct_q25,Cohen_m2_reclass_pct_q75,Cohen_m3_pct_median,Cohen_m3_pct_q25,Cohen_m3_pct_q75,Cohen_m3_reclass_pct_median,Cohen_m3_reclass_pct_q25,Cohen_m3_reclass_pct_q75,Cohen_m4_pct_median,Cohen_m4_pct_q25,Cohen_m4_pct_q75,Cohen_m4_reclass_pct_median,Cohen_m4_reclass_pct_q25,Cohen_m4_reclass_pct_q75,Gaussian_mle_pct_median,Gaussian_mle_pct_q25,Gaussian_mle_pct_q75,Gaussian_mle_reclass_pct_median,Gaussian_mle_reclass_pct_q25,Gaussian_mle_reclass_pct_q75,Gaussian_trunc_pct_median,Gaussian_trunc_pct_q25,Gaussian_trunc_pct_q75,Gaussian_trunc_reclass_pct_median,Gaussian_trunc_reclass_pct_q25,Gaussian_trunc_reclass_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_q_age_set_pct_median,NORMA_q_age_set_pct_q25,NORMA_q_age_set_pct_q75,NORMA_q_age_set_reclass_pct_median,NORMA_q_age_set_reclass_pct_q25,NORMA_q_age_set_reclass_pct_q75,NORMA_334f7e21_pct_median,NORMA_334f7e21_pct_q25,NORMA_334f7e21_pct_q75,NORMA_334f7e21_reclass_pct_median,NORMA_334f7e21_reclass_pct_q25,NORMA_334f7e21_reclass_pct_q75,NORMA_q_age_pct_median,NORMA_q_age_pct_q25,NORMA_q_age_pct_q75,NORMA_q_age_reclass_pct_median,NORMA_q_age_reclass_pct_q25,NORMA_q_age_reclass_pct_q75,NORMA_q_age_set_co_pct_median,NORMA_q_age_set_co_pct_q25,NORMA_q_age_set_co_pct_q75,NORMA_q_age_set_co_reclass_pct_median,NORMA_q_age_set_co_reclass_pct_q25,NORMA_q_age_set_co_reclass_pct_q75
all,ALB,74764,18907,92.33,74764,69030,91.94,92.69,95.27,74764,71229,94.97,95.55,38.35,5734,2199,36.48,40.55,93.94,74764,70237,93.64,94.26,21.05,5734.0,1207.0,19.36,22.64,93.71,74764,70065,93.4,94.04,18.05,5734.0,1035.0,16.58,19.54,93.25,74764,69718,92.89,93.59,12.0,5734.0,688.0,10.75,13.24,93.18,74764,69662,92.82,93.48,11.02,5734,632,9.86,12.1,95.24,74764,71207,94.98,95.53,37.97,5734,2177,35.54,39.99,92.85,74764,69418,92.47,93.19,6.77,5734,388,5.83,7.56,92.73,74764,69325,92.33,93.08,5.14,5734,295,4.03,6.17,92.75,74764,69342,92.35,93.07,5.44,5734,312,4.57,6.32,92.74,74764,69338,92.35,93.09,5.37,5734,308,4.43,6.22,93.04,74764,69557,92.66,93.36,9.19,5734,527,8.18,10.23,5734,923.0,953.0,939.0,937.0,933.0,932.0,952.0,928.0,927.0,927.0,927.0,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALP,48535,13536,30.31,48535,14710,29.58,31.15,59.14,48535,28705,58.47,59.89,41.37,33825,13995,40.55,42.19,36.26,48535,17597,35.5,37.03,8.54,33825.0,2887.0,8.09,9.06,55.32,48535,26850,54.71,56.13,35.89,33825.0,12140.0,34.95,36.7,47.19,48535,22902,46.41,48.02,24.22,33825.0,8192.0,23.52,24.84,42.5,48535,20629,41.77,43.43,17.5,33825,5919,16.91,18.07,46.28,48535,22460,45.5,47.23,22.91,33825,7750,22.28,23.64,39.4,48535,19122,38.71,40.32,13.04,33825,4412,12.5,13.51,39.34,48535,19095,38.63,40.21,12.96,33825,4385,12.41,13.4,38.2,48535,18539,37.45,39.05,11.32,33825,3829,10.82,11.75,38.29,48535,18583,37.57,39.14,11.45,33825,3873,10.98,11.9,41.75,48535,20261,40.99,42.5,16.41,33825,5551,15.81,16.95,33825,303.0,591.0,363.0,553.0,472.0,425.0,463.0,394.0,393.0,382.0,383.0,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALT,44795,12377,36.25,44795,16238,35.58,37.17,61.33,44795,27473,60.4,62.13,39.34,28557,11235,38.16,40.33,50.58,44795,22658,49.83,51.46,22.48,28557.0,6420.0,21.54,23.28,64.33,44795,28815,63.61,65.08,44.04,28557.0,12577.0,43.06,45.1,55.06,44795,24664,54.24,55.81,29.51,28557.0,8426.0,28.41,30.49,48.25,44795,21613,47.51,48.95,18.82,28557,5375,18.13,19.51,57.82,44795,25899,56.97,58.52,33.83,28557,9661,32.77,34.69,43.2,44795,19353,42.45,44.0,10.91,28557,3115,10.37,11.49,44.45,44795,19912,43.68,45.18,12.87,28557,3674,12.19,13.54,44.75,44795,20044,43.99,45.5,13.33,28557,3806,12.77,13.92,44.46,44795,19918,43.74,45.2,12.89,28557,3680,12.3,13.47,48.36,44795,21661,47.54,49.12,18.99,28557,5423,18.24,19.73,28557,362.0,613.0,506.0,643.0,551.0,482.0,578.0,432.0,445.0,447.0,445.0,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,AST,46065,12651,31.04,46065,14297,30.36,31.73,53.72,46065,24746,53.0,54.46,32.89,31768,10449,31.98,33.87,50.16,46065,23106,49.43,50.86,27.73,31768.0,8809.0,27.01,28.56,61.87,46065,28500,61.14,62.55,44.71,31768.0,14203.0,43.83,45.62,62.53,46065,28806,61.84,63.16,45.67,31768.0,14509.0,44.93,46.47,41.45,46065,19093,40.69,42.15,15.1,31768,4796,14.52,15.65,50.69,46065,23350,49.92,51.29,28.5,31768,9053,27.51,29.26,38.64,46065,17798,37.94,39.34,11.02,31768,3501,10.6,11.46,38.22,46065,17605,37.45,38.87,10.41,31768,3308,10.02,10.91,38.85,46065,17894,38.11,39.49,11.32,31768,3597,10.92,11.84,38.18,46065,17588,37.47,38.88,10.36,31768,3291,9.94,10.86,40.39,46065,18607,39.67,41.11,13.57,31768,4310,13.0,14.17,31768,310.0,537.0,502.0,619.0,625.0,414.0,507.0,386.0,382.0,388.0,382.0,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BUN,247304,57430,59.02,247304,145954,58.64,59.39,74.07,247304,183190,73.73,74.4,36.74,101350,37236,36.29,37.32,68.71,247304,169919,68.41,69.07,23.65,101350.0,23965.0,23.28,24.04,67.9,247304,167926,67.61,68.21,21.68,101350.0,21972.0,21.37,22.02,68.34,247304,169001,68.02,68.71,22.74,101350.0,23047.0,22.4,23.17,66.22,247304,163774,65.92,66.62,17.58,101350,17820,17.25,17.92,73.97,247304,182920,73.66,74.34,36.47,101350,36966,35.97,36.98,62.46,247304,154461,62.11,62.82,8.39,101350,8507,8.18,8.68,62.94,247304,155661,62.59,63.31,9.58,101350,9707,9.29,9.85,64.13,247304,158606,63.79,64.49,12.48,101350,12652,12.15,12.83,63.54,247304,157135,63.18,63.91,11.03,101350,11181,10.75,11.3,65.28,247304,161443,64.94,65.63,15.28,101350,15489,14.92,15.58,101350,590.0,741.0,687.0,679.0,683.0,662.0,740.0,625.0,629.0,641.0,635.0,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CA,252551,56928,55.38,252551,139865,55.05,55.79,68.91,252551,174029,68.57,69.29,30.32,112686,34164,29.89,30.81,62.9,252551,158843,62.59,63.22,16.84,112686.0,18978.0,16.47,17.2,58.08,252551,146673,57.76,58.45,6.04,112686.0,6808.0,5.84,6.27,59.99,252551,151505,59.67,60.35,10.33,112686.0,11640.0,10.06,10.63,62.01,252551,156608,61.67,62.36,14.86,112686,16743,14.53,15.17,73.93,252551,186716,73.53,74.27,41.58,112686,46851,40.92,42.15,58.36,252551,147396,58.04,58.74,6.68,112686,7531,6.47,6.86,58.06,252551,146621,57.72,58.48,6.0,112686,6756,5.79,6.21,58.32,252551,147288,57.97,58.72,6.59,112686,7423,6.36,6.78,58.07,252551,146646,57.73,58.47,6.02,112686,6781,5.84,6.2,60.65,252551,153179,60.31,61.04,11.82,112686,13314,11.55,12.06,112686,554.0,689.0,629.0,581.0,600.0,620.0,739.0,584.0,581.0,583.0,581.0,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CL,261984,59051,42.96,261984,112551,42.59,43.32,61.09,261984,160058,60.69,61.46,31.79,149433,47507,31.4,32.15,65.86,261984,172546,65.61,66.14,40.15,149433.0,59995.0,39.78,40.48,70.49,261984,184663,70.24,70.79,48.26,149433.0,72112.0,47.94,48.61,62.37,261984,163410,62.14,62.67,34.03,149433.0,50859.0,33.78,34.33,51.36,261984,134544,51.07,51.75,14.72,149433,21993,14.49,15.02,66.64,261984,174581,66.26,66.98,41.51,149433,62030,40.99,42.01,45.51,261984,119230,45.19,45.86,4.47,149433,6679,4.36,4.61,46.52,261984,121886,46.25,46.87,6.25,149433,9335,6.08,6.42,48.27,261984,126456,47.99,48.6,9.31,149433,13905,9.13,9.51,47.82,261984,125283,47.55,48.14,8.52,149433,12732,8.35,8.72,50.16,261984,131413,49.9,50.5,12.62,149433,18862,12.42,12.87,149433,430.0,611.0,659.0,705.0,624.0,514.0,666.0,455.0,465.0,483.0,478.0,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CO2,383508,68591,50.13,383508,192266,49.84,50.46,64.04,383508,245609,63.72,64.35,27.89,191242,53343,27.53,28.34,68.79,383508,263824,68.56,69.05,37.42,191242.0,71558.0,37.15,37.79,67.75,383508,259815,67.52,67.99,35.32,191242.0,67549.0,35.04,35.58,64.41,383508,247023,64.14,64.66,28.63,191242.0,54757.0,28.36,28.9,57.35,383508,219960,57.06,57.63,14.48,191242,27694,14.21,14.73,73.19,383508,280680,72.85,73.46,46.23,191242,88414,45.72,46.79,50.45,383508,193462,50.16,50.76,0.63,191242,1196,0.57,0.69,53.07,383508,203512,52.77,53.34,5.88,191242,11246,5.73,6.03,54.42,383508,208698,54.15,54.71,8.59,191242,16432,8.41,8.77,53.76,383508,206177,53.46,54.06,7.27,191242,13911,7.1,7.45,55.84,383508,214134,55.54,56.14,11.43,191242,21868,11.25,11.65,191242,501.0,640.0,688.0,677.0,644.0,574.0,732.0,504.0,531.0,544.0,538.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CRE,233867,54699,45.89,233867,107327,45.45,46.33,55.38,233867,129518,54.99,55.81,17.54,126540,22191,17.21,17.86,54.26,233867,126901,53.88,54.71,15.47,126540.0,19574.0,15.13,15.79,55.52,233867,129843,55.15,55.94,17.79,126540.0,22516.0,17.46,18.18,61.7,233867,144287,61.3,62.18,29.21,126540.0,36960.0,28.82,29.64,53.42,233867,124936,53.02,53.88,13.92,126540,17609,13.64,14.18,64.26,233867,150284,63.93,64.66,33.95,126540,42957,33.52,34.43,51.11,233867,119529,50.71,51.58,9.64,126540,12202,9.38,9.85,50.02,233867,116974,49.61,50.45,7.62,126540,9647,7.39,7.84,51.06,233867,119409,50.66,51.46,9.55,126540,12082,9.27,9.81,50.48,233867,118050,50.09,50.9,8.47,126540,10723,8.24,8.7,52.89,233867,123702,52.52,53.34,12.94,126540,16375,12.66,13.25,126540,459.0,554.0,543.0,555.0,617.0,534.0,643.0,511.0,500.0,511.0,505.0,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,DBIL,3730,1139,58.87,3730,2196,56.1,61.64,65.76,3730,2453,63.03,68.44,16.75,1534,257,13.72,19.71,69.73,3730,2601,67.24,72.48,26.4,1534.0,405.0,22.65,30.68,62.04,3730,2314,59.29,64.95,7.69,1534.0,118.0,5.86,10.34,82.79,3730,3088,80.98,84.48,58.15,1534.0,892.0,54.85,61.05,64.18,3730,2394,61.41,66.69,12.91,1534,198,10.61,15.69,80.32,3730,2996,78.42,82.49,52.15,1534,800,48.0,56.34,63.91,3730,2384,61.24,66.6,12.26,1534,188,10.17,14.47,63.65,3730,2374,61.28,65.93,11.6,1534,178,9.86,13.44,64.16,3730,2393,61.51,66.89,12.84,1534,197,10.7,15.23,63.67,3730,2375,61.16,66.2,11.67,1534,179,9.81,13.81,65.55,3730,2445,63.42,68.18,16.23,1534,249,14.07,18.83,1534,589.0,658.0,697.0,620.0,828.0,642.0,803.0,639.0,636.0,642.0,637.0,655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
