Panel,analyte,n_patients,cv_intra,cv_intra_ci_lower,cv_intra_ci_upper,cv_inter,cv_inter_ci_lower,cv_inter_ci_upper,individuality_index,ii_ci_lower,ii_ci_upper
CBC,HCT,60048,6.9,6.8,6.9,17.6,17.5,17.6,0.39,0.39,0.4
CBC,HGB,60378,7.4,7.4,7.4,18.0,17.9,18.0,0.41,0.41,0.42
CBC,MCH,48405,1.2,1.2,1.2,6.9,6.8,6.9,0.17,0.17,0.18
CBC,MCHC,51680,1.4,1.4,1.4,3.5,3.5,3.5,0.4,0.39,0.4
CBC,MCV,50812,1.1,1.1,1.1,6.2,6.1,6.2,0.18,0.18,0.19
CBC,MPV,37059,3.4,3.4,3.4,13.2,13.1,13.3,0.26,0.25,0.26
CBC,PLT,53263,13.6,13.5,13.8,43.1,42.9,43.4,0.32,0.31,0.32
CBC,RBC,53548,8.0,8.0,8.1,17.8,17.7,17.9,0.45,0.45,0.46
CBC,RDW,48688,2.5,2.5,2.5,12.3,12.2,12.4,0.2,0.2,0.21
CBC,WBC,52112,16.8,16.7,16.9,37.1,36.9,37.3,0.45,0.45,0.46
BMP,BUN,57430,18.6,18.5,18.7,57.2,56.9,57.4,0.32,0.32,0.33
BMP,CA,56928,4.0,3.9,4.0,7.1,7.0,7.1,0.56,0.56,0.57
BMP,CL,59051,2.2,2.2,2.2,5.1,5.1,5.1,0.43,0.43,0.43
BMP,CO2,68591,7.7,7.7,7.8,15.8,15.7,15.9,0.49,0.49,0.49
BMP,CRE,54699,15.2,15.1,15.3,48.2,47.9,48.4,0.32,0.31,0.32
BMP,GLU,90881,15.6,15.5,15.7,24.5,24.4,24.6,0.64,0.63,0.64
BMP,K,66386,8.3,8.2,8.3,10.1,10.0,10.2,0.82,0.81,0.82
BMP,NA,62253,1.4,1.4,1.4,2.9,2.9,2.9,0.47,0.47,0.48
HFP,ALB,18907,9.6,9.5,9.7,22.4,22.2,22.6,0.43,0.42,0.43
HFP,ALP,13536,11.6,11.4,11.8,41.1,40.7,41.6,0.28,0.28,0.29
HFP,ALT,12377,17.8,17.5,18.0,62.5,61.8,63.3,0.28,0.28,0.29
HFP,AST,12651,19.5,19.3,19.8,61.4,60.7,62.1,0.32,0.31,0.32
HFP,DBIL,1065,1.1306028084228637e+260,1.2338722809575286e+33,3.391808425268591e+260,77.0,73.8,79.7,1.4683406822031733e+258,1.6522803360604136e+31,4.506171308292226e+258
HFP,TBIL,12694,25.3,25.1,25.5,56.2,55.6,56.8,0.45,0.44,0.46
HFP,TP,15062,6.4,6.3,6.5,14.1,13.9,14.3,0.45,0.45,0.46
Lipid,HDL,11,11.0,6.1,17.0,46.5,28.4,61.2,0.24,0.12,0.51
Lipid,TC,35,10.5,7.7,13.3,36.0,24.2,44.1,0.29,0.21,0.47
Lipid,TGL,305,13.8,12.6,15.1,41.5,38.6,44.4,0.33,0.3,0.38
