analyte,age,method,ri_low,ri_high,ri_mid,n
ALB,19,NORMA_q_age_set_co,3.12,4.16,3.64,5
ALB,21,NORMA_q_age_set_co,3.09,4.65,3.87,8
ALB,22,NORMA_q_age_set_co,3.25,4.33,3.79,9
ALB,23,NORMA_q_age_set_co,3.23,4.96,4.09,5
ALB,24,NORMA_q_age_set_co,3.04,4.79,3.92,10
ALB,25,NORMA_q_age_set_co,2.78,4.09,3.44,10
ALB,26,NORMA_q_age_set_co,3.0,4.34,3.67,8
ALB,27,NORMA_q_age_set_co,2.76,4.65,3.7,15
ALB,28,NORMA_q_age_set_co,3.01,4.17,3.59,9
ALB,29,NORMA_q_age_set_co,2.98,4.26,3.62,7
ALB,30,NORMA_q_age_set_co,3.14,5.49,4.32,18
ALB,31,NORMA_q_age_set_co,2.77,4.37,3.57,9
ALB,32,NORMA_q_age_set_co,2.92,4.65,3.79,15
ALB,33,NORMA_q_age_set_co,3.22,5.05,4.13,10
ALB,34,NORMA_q_age_set_co,3.06,5.04,4.05,18
ALB,35,NORMA_q_age_set_co,3.27,4.57,3.92,12
ALB,36,NORMA_q_age_set_co,3.01,4.77,3.89,16
ALB,37,NORMA_q_age_set_co,3.22,5.47,4.34,7
ALB,38,NORMA_q_age_set_co,3.05,4.94,4.0,12
ALB,39,NORMA_q_age_set_co,3.11,4.99,4.05,18
ALB,40,NORMA_q_age_set_co,2.92,4.53,3.73,8
ALB,41,NORMA_q_age_set_co,2.94,4.06,3.5,13
ALB,42,NORMA_q_age_set_co,3.11,4.49,3.8,17
ALB,43,NORMA_q_age_set_co,3.09,4.27,3.68,12
ALB,44,NORMA_q_age_set_co,3.09,4.49,3.79,19
ALB,45,NORMA_q_age_set_co,3.07,4.62,3.85,26
ALB,46,NORMA_q_age_set_co,3.02,4.42,3.72,20
ALB,47,NORMA_q_age_set_co,3.23,5.02,4.12,20
ALB,48,NORMA_q_age_set_co,3.01,4.49,3.75,20
ALB,49,NORMA_q_age_set_co,2.86,4.21,3.53,19
ALB,50,NORMA_q_age_set_co,2.99,4.81,3.9,35
ALB,51,NORMA_q_age_set_co,3.21,4.86,4.03,32
ALB,52,NORMA_q_age_set_co,2.98,4.73,3.85,30
ALB,53,NORMA_q_age_set_co,3.07,4.7,3.88,35
ALB,54,NORMA_q_age_set_co,2.93,4.91,3.92,45
ALB,55,NORMA_q_age_set_co,3.03,4.52,3.77,37
ALB,56,NORMA_q_age_set_co,2.84,4.49,3.66,42
ALB,57,NORMA_q_age_set_co,2.9,4.67,3.78,40
ALB,58,NORMA_q_age_set_co,2.97,4.75,3.86,41
ALB,59,NORMA_q_age_set_co,2.97,4.67,3.82,51
ALB,60,NORMA_q_age_set_co,2.85,4.43,3.64,42
ALB,61,NORMA_q_age_set_co,2.86,4.52,3.69,38
ALB,62,NORMA_q_age_set_co,3.06,4.46,3.76,52
ALB,63,NORMA_q_age_set_co,2.95,4.66,3.8,52
ALB,64,NORMA_q_age_set_co,3.05,4.83,3.94,49
ALB,65,NORMA_q_age_set_co,2.93,4.52,3.72,50
ALB,66,NORMA_q_age_set_co,2.94,4.33,3.63,53
ALB,67,NORMA_q_age_set_co,3.08,4.73,3.9,59
ALB,68,NORMA_q_age_set_co,3.0,4.75,3.87,59
ALB,69,NORMA_q_age_set_co,2.96,4.34,3.65,50
ALB,70,NORMA_q_age_set_co,2.95,4.3,3.62,39
ALB,71,NORMA_q_age_set_co,3.05,5.01,4.03,63
ALB,72,NORMA_q_age_set_co,3.08,4.43,3.75,47
ALB,73,NORMA_q_age_set_co,2.96,4.4,3.68,36
ALB,74,NORMA_q_age_set_co,3.02,4.35,3.68,38
ALB,75,NORMA_q_age_set_co,2.87,4.53,3.7,49
ALB,76,NORMA_q_age_set_co,3.01,4.43,3.72,53
ALB,77,NORMA_q_age_set_co,3.14,4.83,3.98,45
ALB,78,NORMA_q_age_set_co,3.14,4.78,3.96,29
ALB,79,NORMA_q_age_set_co,3.05,4.79,3.92,44
ALB,80,NORMA_q_age_set_co,2.85,4.68,3.76,30
ALB,81,NORMA_q_age_set_co,3.1,4.52,3.81,34
ALB,82,NORMA_q_age_set_co,2.99,4.47,3.73,30
ALB,83,NORMA_q_age_set_co,2.94,4.45,3.7,29
ALB,84,NORMA_q_age_set_co,3.04,4.63,3.83,30
ALB,85,NORMA_q_age_set_co,2.97,4.74,3.86,33
ALB,86,NORMA_q_age_set_co,3.03,4.96,3.99,22
ALB,87,NORMA_q_age_set_co,3.02,4.52,3.77,27
ALB,88,NORMA_q_age_set_co,2.98,4.83,3.9,15
ALB,89,NORMA_q_age_set_co,3.1,4.44,3.77,13
ALB,19,NORMA,3.04,4.75,3.89,5
ALB,21,NORMA,2.95,4.99,3.97,8
ALB,22,NORMA,3.18,4.65,3.91,9
ALB,23,NORMA,3.18,5.46,4.32,5
ALB,24,NORMA,2.87,5.11,3.99,10
ALB,25,NORMA,2.68,4.74,3.71,10
ALB,26,NORMA,2.88,4.48,3.68,8
ALB,27,NORMA,2.66,5.14,3.9,15
ALB,28,NORMA,2.95,4.46,3.7,9
ALB,29,NORMA,2.87,4.13,3.5,7
ALB,30,NORMA,2.99,5.5,4.24,18
ALB,31,NORMA,2.69,4.94,3.82,9
ALB,32,NORMA,2.79,4.75,3.77,15
ALB,33,NORMA,3.09,5.2,4.15,10
ALB,34,NORMA,2.9,5.25,4.07,18
ALB,35,NORMA,3.15,4.94,4.05,12
ALB,36,NORMA,2.85,4.63,3.74,16
ALB,37,NORMA,3.03,5.13,4.08,7
ALB,38,NORMA,2.9,4.94,3.92,12
ALB,39,NORMA,2.99,5.04,4.02,18
ALB,40,NORMA,2.93,4.46,3.69,8
ALB,41,NORMA,2.9,4.38,3.64,13
ALB,42,NORMA,2.99,4.75,3.87,17
ALB,43,NORMA,3.02,4.16,3.59,12
ALB,44,NORMA,3.06,4.62,3.84,19
