method,analyte,decile,z_median,mortality_pct,ci_lo,ci_hi,n
Cohen_m2,TC,7,0.79,10.0,1.8,40.4,10
Cohen_m2,MCV,2,0.06,9.3,8.9,9.7,21306
Cohen_m2,MCV,1,0.02,8.9,8.5,9.3,21317
Cohen_m2,MCHC,10,2.53,17.1,16.6,17.6,21619
Cohen_m2,MCHC,9,1.79,13.3,12.9,13.8,21627
Cohen_m2,MCHC,8,1.4,12.2,11.7,12.6,21558
Cohen_m2,MCHC,7,1.11,10.8,10.4,11.2,21680
Cohen_m2,MCV,3,0.1,9.3,8.9,9.7,21319
Cohen_m2,MCHC,6,0.88,10.2,9.8,10.6,21630
Cohen_m2,MCHC,4,0.53,9.7,9.3,10.1,21798
Cohen_m2,MCHC,3,0.37,9.7,9.3,10.1,21498
Cohen_m2,MCHC,2,0.23,9.5,9.1,9.9,21674
Cohen_m2,MCHC,1,0.08,9.4,9.0,9.8,21706
Cohen_m2,MCH,10,1.37,12.4,12.0,12.9,20333
Cohen_m2,MCH,9,0.86,11.6,11.2,12.1,20333
Cohen_m2,MCHC,5,0.7,9.9,9.5,10.3,21444
Cohen_m2,MCV,4,0.14,9.0,8.6,9.4,21301
Cohen_m2,MCV,5,0.19,9.5,9.1,9.9,21311
Cohen_m2,MCV,6,0.25,10.8,10.4,11.2,21318
Cohen_m2,PLT,1,0.06,8.0,7.6,8.3,21970
Cohen_m2,NA,10,3.09,20.1,19.7,20.6,28962
Cohen_m2,NA,9,2.19,14.4,14.0,14.8,29168
Cohen_m2,NA,8,1.72,13.0,12.6,13.4,29043
Cohen_m2,NA,7,1.38,11.8,11.4,12.2,28873
Cohen_m2,NA,6,1.1,11.0,10.6,11.3,29267
Cohen_m2,NA,5,0.86,10.3,10.0,10.7,29072
Cohen_m2,NA,4,0.66,10.3,9.9,10.6,29060
Cohen_m2,NA,3,0.46,9.5,9.2,9.9,29064
Cohen_m2,NA,2,0.27,9.5,9.2,9.9,29063
Cohen_m2,NA,1,0.09,9.8,9.5,10.2,29075
Cohen_m2,MCV,10,0.8,18.0,17.5,18.5,21310
Cohen_m2,MCV,9,0.52,14.2,13.7,14.7,21311
Cohen_m2,MCV,8,0.39,12.4,12.0,12.9,21310
Cohen_m2,MCV,7,0.31,10.8,10.4,11.3,21304
Cohen_m2,MCH,8,0.63,11.8,11.3,12.2,20330
Cohen_m2,MCH,7,0.47,11.7,11.3,12.1,20326
Cohen_m2,MCH,6,0.37,11.4,11.0,11.8,20341
Cohen_m2,MCH,5,0.28,11.3,10.9,11.8,20301
Cohen_m2,HGB,5,1.36,10.9,10.6,11.3,27657
Cohen_m2,HGB,4,1.12,10.2,9.8,10.5,27324
Cohen_m2,HGB,3,0.86,9.5,9.1,9.8,27702
Cohen_m2,HGB,2,0.55,8.9,8.5,9.2,27456
Cohen_m2,HGB,1,0.19,8.1,7.8,8.4,27553
Cohen_m2,HDL,10,1.54,0.0,0.0,56.2,3
Cohen_m2,HDL,9,1.35,0.0,0.0,56.2,3
Cohen_m2,HDL,8,1.22,0.0,0.0,56.2,3
Cohen_m2,HDL,7,1.09,0.0,0.0,65.8,2
Cohen_m2,HDL,6,0.96,0.0,0.0,49.0,4
Cohen_m2,HDL,5,0.73,0.0,0.0,65.8,2
Cohen_m2,HDL,4,0.71,0.0,0.0,49.0,4
Cohen_m2,HDL,3,0.62,0.0,0.0,65.8,2
Cohen_m2,HDL,2,0.54,0.0,0.0,49.0,4
Cohen_m2,HDL,1,0.29,0.0,0.0,49.0,4
Cohen_m2,HGB,6,1.57,11.3,10.9,11.7,27705
Cohen_m2,PLT,2,0.17,8.1,7.7,8.4,21969
Cohen_m2,HGB,7,1.77,11.9,11.5,12.2,27137
Cohen_m2,HGB,9,2.24,13.9,13.5,14.3,27598
Cohen_m2,MCH,4,0.21,10.7,10.3,11.1,20355
Cohen_m2,MCH,3,0.14,10.8,10.4,11.2,20333
Cohen_m2,MCH,2,0.09,11.0,10.6,11.4,20342
Cohen_m2,MCH,1,0.03,10.5,10.1,10.9,20334
Cohen_m2,K,10,1.85,16.8,16.4,17.2,32423
Cohen_m2,K,9,1.34,12.8,12.5,13.2,32417
Cohen_m2,K,8,1.06,11.9,11.5,12.2,32422
Cohen_m2,K,7,0.86,11.4,11.0,11.7,32357
Cohen_m2,K,6,0.69,11.2,10.9,11.6,32447
Cohen_m2,K,5,0.54,10.9,10.5,11.2,32449
Cohen_m2,K,4,0.41,10.6,10.2,10.9,32366
Cohen_m2,K,3,0.29,10.3,10.0,10.6,32470
Cohen_m2,K,2,0.17,10.2,9.9,10.5,32408
Cohen_m2,K,1,0.05,10.2,9.9,10.5,32464
Cohen_m2,HGB,10,2.61,19.1,18.7,19.6,27387
Cohen_m2,HGB,8,1.99,13.2,12.8,13.6,27522
Cohen_m2,PLT,3,0.28,8.4,8.0,8.8,21982
Cohen_m2,PLT,4,0.4,9.1,8.7,9.4,21956
Cohen_m2,PLT,5,0.53,9.5,9.2,9.9,21970
Cohen_m2,TBIL,7,0.62,11.8,10.9,12.8,4508
Cohen_m2,TBIL,8,0.85,11.9,11.0,12.9,4527
Cohen_m2,TBIL,9,1.23,14.8,13.8,15.9,4489
Cohen_m2,TBIL,10,1.94,22.1,20.9,23.3,4506
Cohen_m2,TC,1,0.07,20.0,5.7,51.0,10
Cohen_m2,TC,2,0.18,20.0,5.7,51.0,10
Cohen_m2,TC,3,0.29,20.0,5.7,51.0,10
Cohen_m2,TC,4,0.42,0.0,0.0,27.8,10
Cohen_m2,TC,5,0.58,10.0,1.8,40.4,10
Cohen_m2,TC,6,0.66,0.0,0.0,29.9,9
Cohen_m2,RBC,5,1.0,10.1,9.7,10.5,22569
Cohen_m2,TC,8,0.94,0.0,0.0,27.8,10
Cohen_m2,TC,9,1.11,0.0,0.0,27.8,10
Cohen_m2,TC,10,1.55,20.0,5.7,51.0,10
Cohen_m2,TGL,1,0.07,17.4,10.9,26.8,86
Cohen_m2,TBIL,6,0.48,10.6,9.7,11.5,4497
Cohen_m2,TGL,2,0.25,15.3,9.2,24.4,85
Cohen_m2,TBIL,5,0.36,10.9,10.0,11.8,4517
Cohen_m2,TBIL,3,0.19,10.8,10.0,11.8,4508
Cohen_m2,RBC,8,1.62,13.0,12.6,13.5,22547
Cohen_m2,RBC,9,1.87,15.0,14.5,15.4,22621
Cohen_m2,RBC,10,2.25,21.0,20.4,21.5,22466
Cohen_m2,RDW,1,0.08,4.8,4.6,5.2,20034
Cohen_m2,RDW,2,0.23,5.2,4.9,5.5,19948
Cohen_m2,RDW,3,0.43,6.1,5.7,6.4,19991
Cohen_m2,RDW,4,0.69,8.4,8.0,8.8,19956
Cohen_m2,RDW,5,1.03,8.9,8.6,9.3,20011
Cohen_m2,RDW,6,1.44,10.7,10.3,11.1,19998
Cohen_m2,RDW,7,1.92,12.7,12.2,13.1,20299
Cohen_m2,RDW,8,2.48,13.5,13.1,14.0,19823
Cohen_m2,RDW,9,3.28,16.5,16.0,17.1,19785
Cohen_m2,RDW,10,4.54,20.6,20.0,21.2,19969
Cohen_m2,TBIL,1,0.04,11.8,10.9,12.8,4536
Cohen_m2,TBIL,2,0.11,10.3,9.4,11.2,4482
Cohen_m2,TBIL,4,0.27,10.7,9.9,11.7,4504
Cohen_m2,HCT,10,3.47,20.6,20.1,21.1,26808
Cohen_m2,TGL,3,0.4,19.8,12.7,29.4,86
Cohen_m2,TGL,5,0.77,12.9,7.4,21.7,85
Cohen_m2,WBC,5,0.82,8.5,8.1,8.9,21463
Cohen_m2,WBC,6,1.06,9.0,8.7,9.4,21446
Cohen_m2,WBC,7,1.33,9.6,9.2,10.0,21519
Cohen_m2,WBC,8,1.67,11.7,11.3,12.2,21379
Cohen_m2,WBC,9,2.15,12.5,12.1,13.0,21452
Cohen_m2,WBC,10,3.15,22.2,21.7,22.8,21453
Cohen_m2,RBC,4,0.78,9.2,8.8,9.6,22539
