analyte,q_label,mortality_pct,ci_lo,ci_hi,n
ALB,1,21.1,20.5,21.7,16522
ALB,2,15.5,14.9,16.0,17394
ALB,3,12.8,12.3,13.4,13758
ALB,4,10.8,10.3,11.3,14725
ALB,5,11.7,11.1,12.2,12365
ALP,1,12.3,11.7,13.0,10044
ALP,2,12.5,11.8,13.1,9604
ALP,3,14.2,13.6,14.9,9789
ALP,4,15.0,14.3,15.7,9424
ALP,5,18.7,17.9,19.5,9674
ALT,1,11.2,10.6,11.8,9954
ALT,2,12.5,11.8,13.3,8138
ALT,3,13.6,12.9,14.3,9314
ALT,4,15.3,14.6,16.1,8656
ALT,5,18.0,17.2,18.8,8733
AST,1,8.2,7.7,8.8,9496
AST,2,9.0,8.5,9.6,9684
AST,3,11.2,10.5,11.8,8867
AST,4,15.3,14.5,16.0,9068
AST,5,21.5,20.6,22.3,8950
BUN,1,4.3,4.1,4.5,49633
BUN,2,5.9,5.7,6.1,49567
BUN,3,9.1,8.8,9.3,52127
BUN,4,13.7,13.3,14.0,46696
BUN,5,21.4,21.1,21.8,49281
CA,1,20.0,19.7,20.4,53063
CA,2,11.2,10.9,11.5,54636
CA,3,9.0,8.7,9.2,46424
CA,4,8.0,7.7,8.2,50937
CA,5,8.8,8.5,9.0,47491
CL,1,10.2,10.0,10.5,56256
CL,2,9.0,8.8,9.3,48819
CL,3,9.0,8.8,9.2,55567
CL,4,11.3,11.1,11.6,57386
CL,5,19.2,18.8,19.6,43956
CO2,1,25.0,24.7,25.2,99215
CO2,2,12.6,12.4,12.9,65401
CO2,3,10.1,9.9,10.4,70809
CO2,4,9.3,9.1,9.5,81111
CO2,5,11.4,11.1,11.6,66972
CRE,1,7.6,7.4,7.9,52867
CRE,2,7.0,6.7,7.2,41956
CRE,3,8.2,8.0,8.5,48561
CRE,4,11.5,11.2,11.8,43741
CRE,5,20.8,20.5,21.2,46742
DBIL,1,12.8,10.7,15.4,787
DBIL,2,12.7,10.9,14.7,1128
DBIL,3,19.9,15.9,24.5,332
DBIL,4,19.5,16.8,22.4,766
DBIL,5,29.0,25.8,32.4,717
GLU,1,9.5,9.4,9.6,218206
GLU,2,8.8,8.7,8.9,212491
GLU,3,11.7,11.6,11.9,209024
GLU,4,14.1,14.0,14.3,206351
GLU,5,13.3,13.2,13.5,208572
HCT,1,16.9,16.6,17.2,55564
HCT,2,11.8,11.6,12.1,52257
HCT,3,10.5,10.2,10.7,54338
HCT,4,9.0,8.8,9.3,53634
HCT,5,7.8,7.6,8.0,53597
HDL,1,0.0,0.0,32.4,8
HDL,2,0.0,0.0,43.4,5
HDL,3,0.0,0.0,39.0,6
HDL,4,0.0,0.0,35.4,7
HDL,5,0.0,0.0,43.4,5
HGB,1,17.2,16.9,17.5,57730
HGB,2,12.1,11.9,12.4,55360
