analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALB,low,0.2,PopRI,12.0,181,30,0.1610738255033557,0.0755033557046979,0.1333333333333333,0.9403973509933776,0.2666666666666666,1.6555555555555557,4.0,9.0,142.0,26.0,312.0,50.0,0.7242825607064017,0.6386829549721443,0.8098821664406591,0.3356402530414016,2.0250295266831237,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,PerRI,12.0,181,30,0.1610738255033557,0.1769574944071588,0.2,0.8344370860927153,0.1643489254108723,1.0203329119258324,6.0,25.0,126.0,24.0,312.0,50.0,0.6454746136865342,0.5564796232019243,0.7344696041711442,0.238907800507952,1.4414103963979776,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m2,12.0,181,30,0.1610738255033557,0.1578299776286353,0.1666666666666666,0.8543046357615894,0.1771793054571226,1.099988188046303,5.0,22.0,129.0,25.0,312.0,50.0,0.5713024282560706,0.4682113713803486,0.6743934851317925,0.1943406335566884,1.1725218224586866,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m3,12.0,181,30,0.1610738255033557,0.1517897091722595,0.2,0.8807947019867549,0.2800294767870302,1.7385163350528128,6.0,18.0,133.0,24.0,312.0,50.0,0.6589403973509934,0.5688599363823017,0.7490208583196851,0.2271799027225708,1.370652079759511,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m4,12.0,181,30,0.1610738255033557,0.1461968680089485,0.1666666666666666,0.8543046357615894,0.1530221882172915,0.950012751849018,5.0,22.0,129.0,25.0,312.0,50.0,0.6620309050772627,0.5704117921867723,0.7536500179677531,0.2256044379909256,1.361146775878585,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_mle,12.0,181,30,0.1610738255033557,0.1136465324384787,0.1666666666666666,0.8940397350993378,0.2165354330708661,1.3443241469816272,5.0,16.0,135.0,25.0,312.0,50.0,0.6611479028697571,0.568022009087631,0.7542737966518832,0.2379425684279268,1.4355868295151588,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_trunc,12.0,181,30,0.1610738255033557,0.1809843400447427,0.2,0.8410596026490066,0.2039555006180469,1.2662237330037085,6.0,24.0,127.0,24.0,312.0,50.0,0.4975717439293599,0.3766535549755007,0.6184899328832191,0.1865639110248088,1.1256022631830132,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_eb,12.0,181,30,0.1610738255033557,0.1277404921700223,0.2,0.8940397350993378,0.2889667250437828,1.7940017513134854,6.0,16.0,135.0,24.0,312.0,50.0,0.5682119205298013,0.4522388170396585,0.6841850240199441,0.2110177583671108,1.2731404754815687,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_age_set,12.0,181,30,0.1610738255033557,0.0634228187919463,0.1333333333333333,0.9470198675496688,0.3350970017636684,2.0803938859494417,4.0,8.0,143.0,26.0,312.0,50.0,0.6660044150110375,0.5639825101131044,0.7680263199089705,0.2600789286243023,1.569142869366624,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_334f7e21,12.0,181,30,0.1610738255033557,0.0779642058165548,0.1333333333333333,0.9271523178807948,0.2439024390243902,1.5142276422764227,4.0,11.0,140.0,26.0,312.0,50.0,0.6673289183222958,0.5634927019305426,0.771165134714049,0.2624531600956787,1.5834673992439283,,,all,all,,,,,24.0,168.0,0.8
