analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,StandardOfCare,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0082621679307395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,284.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,StandardOfCare,native,2014.0,1107,907,0.330307467057101,32.09464632799128,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0082621679307395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,284.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0082621679307395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,284.0,0.0,0.0,,any,168.0,all,,,,all
ALB,pop_abnormal,PopRI,native,2014.0,1107,907,0.4445095168374817,43.191199579690384,0.2348401323042999,1.0,0.1093044263775971,0.0,0.0,0.0,24.116666666666788,21.916666666666657,27.33333333333337,0.0,0.0,1.0082621679307395,1.0,0.1029810298102981,0.0948509485094851,0.059620596205962,0.019873532068654,0.00903342366757,0.0,0.0647249190938511,0.0,0.0851063829787234,0.0,0.0383795309168443,1191.0,284.0,94.0,155.0,1.583149499406075,any,168.0,all,,,,all
ALB,pop_abnormal,PopRI,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0082621679307395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.0,284.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,early_sens,2014.0,1107,907,0.3800878477306003,36.931605437706274,0.1102535832414553,1.0,0.050587172538392,0.0,0.0,0.0,24.083333333333343,15.27916666666668,27.92500000000002,0.0,0.0,1.0082621679307395,1.0,0.047877145438121,0.042457091237579,0.028003613369467,0.005420054200542,0.002710027100271,0.0,0.029126213592233,0.0,0.0425531914893617,0.0,0.0170575692963752,1191.0,284.0,40.0,68.0,1.5532081377151798,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,native,2014.0,1107,907,0.4445095168374817,43.191199579690384,0.2348401323042999,1.0,0.1093044263775971,0.0,0.0,0.0,24.116666666666788,21.916666666666657,27.33333333333337,0.0,0.0,1.0082621679307395,1.0,0.1029810298102981,0.0948509485094851,0.059620596205962,0.019873532068654,0.00903342366757,0.0,0.0647249190938511,0.0,0.0851063829787234,0.0,0.0383795309168443,1191.0,284.0,94.0,155.0,1.583149499406075,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PerRI,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.4134509371554575,0.3143631436314363,0.1020776874435411,0.0,0.0,18.70000000000001,24.41666666666669,20.5,48.0,0.0,0.0,1.0082621679307395,0.3143631436314363,0.0939476061427281,0.087624209575429,0.060523938572719,0.026196928635953,0.008130081300813,0.0,0.0679611650485436,0.0,0.0759878419452887,0.0,0.044776119402985,1191.0,284.0,105.0,311.0,1.0584964111592632,any,168.0,all,,,,all
ALB,pop_abnormal,PerRI,native,2014.0,1107,907,0.3490483162518301,33.915619169295745,0.4366041896361631,0.3342366757000903,0.1047877145438121,0.0,0.0,16.487499999999965,24.450000000000017,20.183333333333337,48.00833333333336,0.0,0.0,1.0082621679307395,0.3342366757000903,0.0975609756097561,0.091237579042457,0.062330623306233,0.02710027100271,0.008130081300813,0.0,0.0711974110032362,0.0,0.0790273556231003,0.0,0.044776119402985,1191.0,284.0,108.0,326.0,1.043584085156098,any,168.0,all,,,,all
ALB,pop_abnormal,PerRI,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.3340683572216097,0.5275519421860885,0.047877145438121,0.0,0.0,0.0,24.366666666666667,23.216666666666683,48.08333333333337,0.0,0.0,1.0082621679307395,0.5275519421860885,0.046973803071364,0.042457091237579,0.02710027100271,0.012646793134598,0.004516711833785,0.0,0.0453074433656957,0.0,0.0303951367781155,0.0,0.0127931769722814,1191.0,284.0,49.0,248.0,0.6918836249822166,toward_bound,168.0,all,,,,all
