subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,aki,ALB,Cohen_m2,18907,4250,0.5493,0.5396,0.559,0.518,0.5569,0.0389,0.2248,0.2489,1.107,0.0181,0.001514
all,aki,ALB,Cohen_m3,18907,4250,0.5455,0.5358,0.5552,0.518,0.552,0.034,0.2248,0.2483,1.105,0.0143,0.010956
all,aki,ALB,Cohen_m4,18907,4250,0.5457,0.536,0.5554,0.518,0.5536,0.0356,0.2248,0.2472,1.1,0.0145,0.009829
all,aki,ALB,Gaussian_eb,18907,4250,0.5408,0.5311,0.5505,0.518,0.5496,0.0316,0.2248,0.2476,1.101,0.0096,0.05971
all,aki,ALB,Gaussian_mle,18665,4200,0.544,0.5343,0.5537,0.5147,0.5397,0.025,0.225,0.2446,1.087,0.0122,0.021038
all,aki,ALB,Gaussian_trunc,18665,4200,0.5382,0.5285,0.5479,0.5147,0.5318,0.0172,0.225,0.2403,1.068,0.0064,0.268836
all,aki,ALB,NORMA_334f7e21,18907,4250,0.5325,0.5227,0.5423,0.518,0.5412,0.0232,0.2248,0.242,1.077,0.0013,0.385378
all,aki,ALB,NORMA_q_age,18907,4250,0.532,0.5223,0.5417,0.518,0.538,0.02,0.2248,0.2414,1.074,0.0008,0.641517
all,aki,ALB,NORMA_q_age_set,18907,4250,0.5312,0.5214,0.541,0.518,0.5394,0.0214,0.2248,0.2422,1.077,,
all,aki,ALB,NORMA_q_age_set_co,18907,4250,0.5175,0.5078,0.5273,0.518,0.5268,0.0088,0.2248,0.2339,1.04,-0.0137,0.0
all,aki,ALB,PerRI,18907,4250,0.5166,0.5068,0.5265,0.518,0.5208,0.0028,0.2248,0.2337,1.04,-0.0146,0.030708
all,aki,ALB,PopRI,18907,4250,0.5486,0.5389,0.5583,0.518,0.5564,0.0384,0.2248,0.248,1.103,0.0174,0.001841
all,aki,ALP,Cohen_m2,13536,2889,0.5666,0.5549,0.5784,0.51,0.5595,0.0495,0.2134,0.2569,1.204,0.0127,0.00403
all,aki,ALP,Cohen_m3,13536,2889,0.5646,0.5529,0.5764,0.51,0.5542,0.0442,0.2134,0.2486,1.165,0.0107,0.107952
all,aki,ALP,Cohen_m4,13536,2889,0.5805,0.5689,0.5922,0.51,0.5718,0.0618,0.2134,0.2595,1.216,0.0266,7.4e-05
all,aki,ALP,Gaussian_eb,13536,2889,0.558,0.5462,0.5699,0.51,0.5498,0.0398,0.2134,0.2462,1.154,0.0041,0.300926
all,aki,ALP,Gaussian_mle,13519,2886,0.545,0.5331,0.5568,0.5174,0.5408,0.0234,0.2135,0.2378,1.114,-0.0091,0.021513
all,aki,ALP,Gaussian_trunc,13519,2886,0.5386,0.5268,0.5505,0.5174,0.535,0.0176,0.2135,0.2338,1.095,-0.0154,0.000756
all,aki,ALP,NORMA_334f7e21,13536,2889,0.5536,0.5418,0.5655,0.51,0.5506,0.0406,0.2134,0.2432,1.14,-0.0003,0.814122
all,aki,ALP,NORMA_q_age,13536,2889,0.5548,0.5429,0.5666,0.51,0.5515,0.0415,0.2134,0.2432,1.14,0.0008,0.517387
all,aki,ALP,NORMA_q_age_set,13536,2889,0.5539,0.542,0.5658,0.51,0.5521,0.0421,0.2134,0.2427,1.137,,
all,aki,ALP,NORMA_q_age_set_co,13536,2889,0.5574,0.5456,0.5692,0.51,0.5536,0.0436,0.2134,0.2446,1.146,0.0035,0.168496
all,aki,ALP,PerRI,13536,2889,0.496,0.4842,0.5078,0.51,0.5079,-0.0021,0.2134,0.2096,0.982,-0.0579,0.0
all,aki,ALP,PopRI,13536,2889,0.5607,0.5488,0.5726,0.51,0.5527,0.0427,0.2134,0.2544,1.192,0.0068,0.130659
all,aki,ALT,Cohen_m2,12377,2503,0.5301,0.5175,0.5427,0.5206,0.5357,0.0152,0.2022,0.217,1.073,-0.0,0.996222
all,aki,ALT,Cohen_m3,12377,2503,0.575,0.5629,0.5871,0.5206,0.564,0.0434,0.2022,0.2318,1.146,0.0449,0.0
all,aki,ALT,Cohen_m4,12377,2503,0.5725,0.5604,0.5846,0.5206,0.5656,0.045,0.2022,0.2324,1.149,0.0424,0.0
all,aki,ALT,Gaussian_eb,12377,2503,0.527,0.5145,0.5396,0.5206,0.5323,0.0118,0.2022,0.2176,1.076,-0.0031,0.486631
all,aki,ALT,Gaussian_mle,12278,2484,0.5135,0.5008,0.5262,0.5075,0.513,0.0055,0.2023,0.2115,1.046,-0.0168,0.000205
all,aki,ALT,Gaussian_trunc,12278,2484,0.5089,0.4961,0.5217,0.5075,0.5102,0.0026,0.2023,0.2098,1.037,-0.0214,7.5e-05
all,aki,ALT,NORMA_334f7e21,12377,2503,0.5284,0.5157,0.541,0.5206,0.5282,0.0076,0.2022,0.2179,1.077,-0.0017,0.166106
all,aki,ALT,NORMA_q_age,12377,2503,0.5273,0.5146,0.54,0.5206,0.5285,0.0079,0.2022,0.2171,1.074,-0.0028,0.050661
all,aki,ALT,NORMA_q_age_set,12377,2503,0.5301,0.5175,0.5427,0.5206,0.5271,0.0065,0.2022,0.2178,1.077,,
all,aki,ALT,NORMA_q_age_set_co,12377,2503,0.5226,0.51,0.5352,0.5206,0.526,0.0054,0.2022,0.2128,1.052,-0.0075,0.005095
