subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALB,PopRI,mortality,first,binary,22248,2885,abnormal,1.041,0.889,1.22,0.61536,0.6426640177261947
all,ALB,PopRI,mortality,first,z,22248,2885,z,1.238,1.165,1.316,0.0,8.087565581994018e-12
all,ALB,PopRI,mortality,first,category,22248,2885,low,1.041,0.889,1.22,0.61536,0.6516885302811675
all,ALB,PerRI,mortality,first,binary,22248,2885,abnormal,1.301,1.048,1.615,0.01709,0.0246724240683868
all,ALB,PerRI,mortality,first,z,22248,2885,z,1.084,1.054,1.114,0.0,1.4504466071209253e-08
all,ALB,PerRI,mortality,first,category,22248,2885,low,1.285,1.034,1.595,0.02351,0.0372154129055381
all,ALB,PerRI,mortality,first,category,22248,2885,high,1.423,1.122,1.804,0.00362,0.0065277202283522
all,ALB,Cohen_m2,mortality,first,binary,22248,2885,abnormal,1.211,1.0,1.468,0.05002,0.067727899457666
all,ALB,Cohen_m2,mortality,first,z,22248,2885,z,1.164,1.125,1.206,0.0,1.3456396486267444e-17
all,ALB,Cohen_m2,mortality,first,category,22248,2885,low,1.204,0.994,1.459,0.0576,0.0821668829764103
all,ALB,Cohen_m2,mortality,first,category,22248,2885,high,1.717,1.231,2.395,0.00145,0.0028190562920139
all,ALB,Cohen_m3,mortality,first,binary,22248,2885,abnormal,1.119,0.934,1.342,0.22271,0.2641387545350381
all,ALB,Cohen_m3,mortality,first,z,22248,2885,z,1.134,1.106,1.164,0.0,5.012165809823063e-22
all,ALB,Cohen_m3,mortality,first,category,22248,2885,low,1.118,0.933,1.34,0.2265,0.2730976445667048
all,ALB,Cohen_m3,mortality,first,category,22248,2885,high,1.209,0.819,1.784,0.33935,0.388577453648839
all,ALB,Cohen_m4,mortality,first,binary,22248,2885,abnormal,1.111,0.932,1.324,0.23934,0.2816835119135393
all,ALB,Cohen_m4,mortality,first,z,22248,2885,z,1.111,1.083,1.14,0.0,1.4419756247050461e-15
all,ALB,Cohen_m4,mortality,first,category,22248,2885,low,1.108,0.93,1.321,0.24999,0.2977770166373252
all,ALB,Cohen_m4,mortality,first,category,22248,2885,high,1.474,0.967,2.245,0.07103,0.0973359918994882
all,ALB,Gaussian_mle,mortality,first,binary,21954,2849,abnormal,1.064,0.899,1.258,0.47099,0.5202978686685374
all,ALB,Gaussian_mle,mortality,first,z,21954,2849,z,1.07,1.039,1.102,1e-05,1.0849868397230302e-05
