model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,1
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,14
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,2
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,30
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,7
penalized_cox,Cohen_m2,aki,all,all,1657.0,238.0,0.5772,0.5407,0.6075,all
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,1
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,14
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,2
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,30
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,7
penalized_cox,Cohen_m2,aki,all_eval_pop_normal,all,1657.0,238.0,0.5772,0.5407,0.6075,all
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,1
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,14
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,2
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,30
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,7
penalized_cox,Cohen_m2,mortality,all,all,1660.0,207.0,0.6599,0.6028,0.6934,all
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,1
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,14
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,2
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,30
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,7
penalized_cox,Cohen_m2,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6599,0.6028,0.6934,all
penalized_cox,Cohen_m2,prolonged_los,all,all,1657.0,292.0,0.4827,0.4335,0.5217,1
penalized_cox,Cohen_m2,prolonged_los,all,all,1657.0,292.0,0.4827,0.4335,0.5217,14
penalized_cox,Cohen_m2,prolonged_los,all,all,1657.0,292.0,0.4827,0.4335,0.5217,2
penalized_cox,Cohen_m2,prolonged_los,all,all,1657.0,292.0,0.4827,0.4335,0.5217,30
