design,n,n_events,n_nonevents,n_reclassified,events_up,events_down,nonevents_up,nonevents_down,NRI,NRI_events,NRI_nonevents,NRI_se,NRI_p,ref_high_risk_rate,new_high_risk_rate,outcome,ref_method,new_method,subset,ref_mean_abnormal,new_mean_abnormal
refit,1660,207,1453,385,13,19,209,144,-0.0737,-0.029,-0.0447,,,0.5,0.5355,mortality,PopRI,PerRI,all,,
refit,1660,207,1453,299,16,15,159,109,-0.0296,0.0048,-0.0344,,,0.5,0.5307,mortality,PopRI,Cohen_m2,all,,
refit,1660,207,1453,324,19,17,153,135,-0.0027,0.0097,-0.0124,,,0.5,0.512,mortality,PopRI,Cohen_m3,all,,
refit,1660,207,1453,281,20,16,125,120,0.0159,0.0193,-0.0034,,,0.5,0.5054,mortality,PopRI,Cohen_m4,all,,
refit,1660,207,1453,262,17,6,136,103,0.0304,0.0531,-0.0227,,,0.5,0.5265,mortality,PopRI,Gaussian_mle,all,,
refit,1660,207,1453,388,17,17,205,149,-0.0385,0.0,-0.0385,,,0.5,0.5337,mortality,PopRI,Gaussian_trunc,all,,
refit,1660,207,1453,176,9,8,90,69,-0.0096,0.0048,-0.0145,,,0.5,0.5133,mortality,PopRI,Gaussian_eb,all,,
refit,1660,207,1453,151,5,10,67,69,-0.0228,-0.0242,0.0014,,,0.5,0.4958,mortality,PopRI,NORMA_q_age_set,all,,
refit,1660,207,1453,149,5,7,70,67,-0.0117,-0.0097,-0.0021,,,0.5,0.5006,mortality,PopRI,NORMA_334f7e21,all,,
refit,1660,207,1453,159,7,8,66,78,0.0034,-0.0048,0.0083,,,0.5,0.4922,mortality,PopRI,NORMA_q_age,all,,
refit,1660,207,1453,215,10,7,104,94,0.0076,0.0145,-0.0069,,,0.5,0.5078,mortality,PopRI,NORMA_q_age_set_co,all,,
refit,1657,238,1419,516,35,37,232,212,-0.0225,-0.0084,-0.0141,,,0.5003,0.5112,aki,PopRI,PerRI,all,,
refit,1657,238,1419,359,26,22,145,166,0.0316,0.0168,0.0148,,,0.5003,0.49,aki,PopRI,Cohen_m2,all,,
refit,1657,238,1419,356,37,16,148,155,0.0932,0.0882,0.0049,,,0.5003,0.5088,aki,PopRI,Cohen_m3,all,,
refit,1657,238,1419,326,26,22,130,148,0.0295,0.0168,0.0127,,,0.5003,0.4919,aki,PopRI,Cohen_m4,all,,
refit,1657,238,1419,333,19,33,148,133,-0.0694,-0.0588,-0.0106,,,0.5003,0.5009,aki,PopRI,Gaussian_mle,all,,
refit,1657,238,1419,461,30,37,209,185,-0.0463,-0.0294,-0.0169,,,0.5003,0.5106,aki,PopRI,Gaussian_trunc,all,,
refit,1657,238,1419,226,18,19,93,96,-0.0021,-0.0042,0.0021,,,0.5003,0.4979,aki,PopRI,Gaussian_eb,all,,
refit,1657,238,1419,202,14,16,85,87,-0.007,-0.0084,0.0014,,,0.5003,0.4979,aki,PopRI,NORMA_q_age_set,all,,
refit,1657,238,1419,203,13,15,80,95,0.0022,-0.0084,0.0106,,,0.5003,0.49,aki,PopRI,NORMA_334f7e21,all,,
refit,1657,238,1419,191,9,17,87,78,-0.04,-0.0336,-0.0063,,,0.5003,0.5009,aki,PopRI,NORMA_q_age,all,,
refit,1657,238,1419,269,20,20,124,105,-0.0134,0.0,-0.0134,,,0.5003,0.5118,aki,PopRI,NORMA_q_age_set_co,all,,
refit,1655,364,1291,341,40,33,154,114,-0.0118,0.0192,-0.031,,,0.5003,0.5287,sepsis,PopRI,PerRI,all,,
refit,1655,364,1291,324,45,29,141,109,0.0192,0.044,-0.0248,,,0.5003,0.5293,sepsis,PopRI,Cohen_m2,all,,
