analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
ALB,PerRI,mortality,pop_normal,2433.0,296.0,native,0.6317567567567568,0.5582592419279364,0.165340406719717,1131.0
ALB,PerRI,mortality,pop_normal,2433.0,296.0,rate_of:PerRI,0.6317567567567568,0.5582592419279364,0.165340406719717,1131.0
ALB,NORMA_q_age_set,mortality,pop_normal,2433.0,296.0,native,0.1081081081081081,0.926064576509125,0.1684210526315789,190.0
ALB,NORMA_q_age_set,mortality,pop_normal,2433.0,296.0,rate_of:PerRI,0.4527027027027027,0.5334581188582125,0.1184792219274978,1131.0
ALP,PerRI,mortality,pop_normal,10995.0,1470.0,native,0.617687074829932,0.4050393700787401,0.1380988593155893,6575.0
ALP,PerRI,mortality,pop_normal,10995.0,1470.0,rate_of:PerRI,0.617687074829932,0.4050393700787401,0.1380988593155893,6575.0
ALP,NORMA_q_age_set,mortality,pop_normal,10995.0,1470.0,native,0.3047619047619048,0.7776377952755905,0.1745908028059236,2566.0
ALP,NORMA_q_age_set,mortality,pop_normal,10995.0,1470.0,rate_of:PerRI,0.6428571428571429,0.4089238845144357,0.1437262357414448,6575.0
ALT,PerRI,mortality,pop_normal,9500.0,1214.0,native,0.5593080724876441,0.4306058411778904,0.125810635538262,5397.0
ALT,PerRI,mortality,pop_normal,9500.0,1214.0,rate_of:PerRI,0.5593080724876441,0.4306058411778904,0.125810635538262,5397.0
ALT,NORMA_q_age_set,mortality,pop_normal,9500.0,1214.0,native,0.2594728171334431,0.7797489741733044,0.1471962616822429,2140.0
ALT,NORMA_q_age_set,mortality,pop_normal,9500.0,1214.0,rate_of:PerRI,0.5914332784184514,0.4353125754284335,0.1330368723364832,5397.0
AST,PerRI,mortality,pop_normal,10311.0,1049.0,native,0.5138226882745471,0.4842366659468797,0.1013920240782543,5316.0
AST,PerRI,mortality,pop_normal,10311.0,1049.0,rate_of:PerRI,0.5138226882745471,0.4842366659468797,0.1013920240782543,5316.0
AST,NORMA_q_age_set,mortality,pop_normal,10311.0,1049.0,native,0.2459485224022879,0.8015547397970201,0.1230916030534351,2096.0
AST,NORMA_q_age_set,mortality,pop_normal,10311.0,1049.0,rate_of:PerRI,0.5843660629170638,0.4922263010148996,0.1153122648607976,5316.0
BUN,PerRI,mortality,pop_normal,33501.0,1958.0,native,0.5229826353421859,0.4834987160384237,0.0591360591360591,17316.0
BUN,PerRI,mortality,pop_normal,33501.0,1958.0,rate_of:PerRI,0.5229826353421859,0.4834987160384237,0.0591360591360591,17316.0
BUN,NORMA_q_age_set,mortality,pop_normal,33501.0,1958.0,native,0.2048008171603677,0.8319119931522049,0.0703138698930387,5703.0
BUN,NORMA_q_age_set,mortality,pop_normal,33501.0,1958.0,rate_of:PerRI,0.5423901940755873,0.4847034207272612,0.0613305613305613,17316.0
CA,PerRI,mortality,pop_normal,34893.0,2701.0,native,0.4650129581636431,0.545912027833002,0.0791230943681491,15874.0
CA,PerRI,mortality,pop_normal,34893.0,2701.0,rate_of:PerRI,0.4650129581636431,0.545912027833002,0.0791230943681491,15874.0
CA,NORMA_q_age_set,mortality,pop_normal,34893.0,2701.0,native,0.1377267678637541,0.8850024850894632,0.0913107511045655,4074.0
CA,NORMA_q_age_set,mortality,pop_normal,34893.0,2701.0,rate_of:PerRI,0.462421325435024,0.5456945825049702,0.078682121708454,15874.0
CL,PerRI,mortality,pop_normal,44877.0,3836.0,native,0.486444212721585,0.5135108793645379,0.0854708684499816,21832.0
CL,PerRI,mortality,pop_normal,44877.0,3836.0,rate_of:PerRI,0.486444212721585,0.5135108793645379,0.0854708684499816,21832.0
CL,NORMA_q_age_set,mortality,pop_normal,44877.0,3836.0,native,0.1702294056308654,0.878999049730757,0.1162128492614344,5619.0
CL,NORMA_q_age_set,mortality,pop_normal,44877.0,3836.0,rate_of:PerRI,0.5226798748696558,0.5168977364099315,0.0918376694759985,21832.0
CO2,PerRI,mortality,pop_normal,51941.0,4927.0,native,0.418307286381165,0.5415833581486366,0.0872824291703722,23613.0
CO2,PerRI,mortality,pop_normal,51941.0,4927.0,rate_of:PerRI,0.418307286381165,0.5415833581486366,0.0872824291703722,23613.0
CO2,NORMA_q_age_set,mortality,pop_normal,51941.0,4927.0,native,0.1250253704079561,0.8743778448972647,0.0944495553511192,6522.0
CO2,NORMA_q_age_set,mortality,pop_normal,51941.0,4927.0,rate_of:PerRI,0.4574791962654759,0.5456885183136938,0.0954558929403294,23613.0
CRE,PerRI,mortality,pop_normal,38126.0,2927.0,native,0.3703450632046464,0.7114690758260178,0.09644128113879,11240.0
CRE,PerRI,mortality,pop_normal,38126.0,2927.0,rate_of:PerRI,0.3703450632046464,0.7114690758260178,0.09644128113879,11240.0
CRE,NORMA_q_age_set,mortality,pop_normal,38126.0,2927.0,native,0.2186539118551418,0.8526946788261031,0.1098712446351931,5825.0
CRE,NORMA_q_age_set,mortality,pop_normal,38126.0,2927.0,rate_of:PerRI,0.3635121284591732,0.7109008778658484,0.094661921708185,11240.0
DBIL,PerRI,mortality,pop_normal,492.0,69.0,native,0.1159420289855072,0.7423167848699763,0.0683760683760683,117.0
DBIL,PerRI,mortality,pop_normal,492.0,69.0,rate_of:PerRI,0.1159420289855072,0.7423167848699763,0.0683760683760683,117.0
DBIL,NORMA_q_age_set,mortality,pop_normal,492.0,69.0,native,0.1159420289855072,0.8274231678486997,0.0987654320987654,81.0
DBIL,NORMA_q_age_set,mortality,pop_normal,492.0,69.0,rate_of:PerRI,0.2608695652173913,0.7659574468085106,0.1538461538461538,117.0
GLU,PerRI,mortality,pop_normal,52036.0,4095.0,native,0.3892551892551892,0.5964414592937152,0.0761186189771262,20941.0
GLU,PerRI,mortality,pop_normal,52036.0,4095.0,rate_of:PerRI,0.3892551892551892,0.5964414592937152,0.0761186189771262,20941.0
GLU,NORMA_q_age_set,mortality,pop_normal,52036.0,4095.0,native,0.2039072039072039,0.8145220166454601,0.085843528323224,9727.0
GLU,NORMA_q_age_set,mortality,pop_normal,52036.0,4095.0,rate_of:PerRI,0.4119658119658119,0.5983813437350076,0.0805596676376486,20941.0
HCT,PerRI,mortality,pop_normal,6316.0,544.0,native,0.6268382352941176,0.4594594594594595,0.0985264374458249,3461.0
HCT,PerRI,mortality,pop_normal,6316.0,544.0,rate_of:PerRI,0.6268382352941176,0.4594594594594595,0.0985264374458249,3461.0
HCT,NORMA_q_age_set,mortality,pop_normal,6316.0,544.0,native,0.1158088235294117,0.9275814275814276,0.1309771309771309,481.0
HCT,NORMA_q_age_set,mortality,pop_normal,6316.0,544.0,rate_of:PerRI,0.5459558823529411,0.4518364518364518,0.0858133487431378,3461.0
HGB,PerRI,mortality,pop_normal,6849.0,565.0,native,0.552212389380531,0.52466581795035,0.0945741133676871,3299.0
HGB,PerRI,mortality,pop_normal,6849.0,565.0,rate_of:PerRI,0.552212389380531,0.52466581795035,0.0945741133676871,3299.0
HGB,NORMA_q_age_set,mortality,pop_normal,6849.0,565.0,native,0.1256637168141593,0.9267982176957352,0.1337099811676083,531.0
HGB,NORMA_q_age_set,mortality,pop_normal,6849.0,565.0,rate_of:PerRI,0.447787610619469,0.5152768936982813,0.0766899060321309,3299.0
K,PerRI,mortality,pop_normal,64408.0,6461.0,native,0.4152607955424857,0.6305071876024643,0.1113555241968955,24094.0
K,PerRI,mortality,pop_normal,64408.0,6461.0,rate_of:PerRI,0.4152607955424857,0.6305071876024643,0.1113555241968955,24094.0
K,NORMA_q_age_set,mortality,pop_normal,64408.0,6461.0,native,0.2402104937316204,0.8274975408562997,0.1343955663318323,11548.0
K,NORMA_q_age_set,mortality,pop_normal,64408.0,6461.0,rate_of:PerRI,0.4480730537068565,0.6341657031425267,0.1201543952851332,24094.0
