split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
all,A1C,269,6.75,1.0,1253.9,882.6,10.1,4.4
all,ALB,26023,3.41,0.61,407.8,647.5,18.5,23.0
all,ALP,23445,74.02,29.37,406.9,650.5,16.9,18.6
all,ALT,21698,21.06,12.52,433.1,664.9,17.0,19.5
all,AST,21751,24.28,10.06,436.5,668.1,16.9,19.2
all,BUN,25388,16.34,8.08,389.2,639.8,18.4,23.2
all,CA,25181,8.53,0.68,395.8,644.5,19.9,27.9
all,CL,26586,102.48,4.91,358.9,637.6,21.0,31.3
all,CO2,11019,24.68,3.64,282.1,591.1,25.1,39.9
all,CRE,38300,0.79,0.24,414.9,611.3,19.1,23.2
all,GLU,30553,145.24,48.3,335.9,606.5,39.3,77.9
all,HCT,37057,32.83,5.81,315.7,591.0,22.6,34.3
all,HGB,31439,11.0,1.95,369.9,625.1,20.7,30.5
all,K,34288,4.0,0.54,304.9,597.0,23.5,37.5
all,NA,33867,137.41,3.56,307.3,598.9,22.2,33.6
all,PLT,29222,204.45,93.2,371.2,631.0,19.1,26.0
all,TBIL,24127,0.76,0.41,415.3,650.7,17.1,19.8
all,TP,24294,6.1,0.91,402.4,646.0,18.3,22.6
all,WBC,29419,8.16,3.54,373.9,633.3,19.4,26.2
baseline,A1C,269,6.77,1.01,818.4,708.4,7.2,3.3
baseline,ALB,26023,3.37,0.61,277.4,548.1,13.5,17.2
baseline,ALP,23445,71.73,28.86,269.9,537.9,12.3,14.0
baseline,ALT,21698,21.24,12.59,290.8,553.9,12.4,14.6
baseline,AST,21751,24.55,10.19,291.9,555.7,12.3,14.4
baseline,BUN,25388,16.42,8.11,260.6,532.6,13.4,17.4
baseline,CA,25181,8.48,0.68,262.5,532.0,14.6,20.9
baseline,CL,26586,102.68,4.98,247.3,534.2,15.4,23.4
baseline,CO2,11019,24.62,3.61,195.5,497.6,18.5,29.9
baseline,CRE,38300,0.79,0.24,276.2,504.4,14.0,17.4
baseline,GLU,30553,146.92,48.46,238.3,529.9,29.1,58.4
baseline,HCT,37057,32.77,5.94,211.6,494.9,16.6,25.7
baseline,HGB,31439,11.0,1.98,252.3,531.4,15.2,22.8
baseline,K,34288,3.98,0.54,207.8,498.7,17.3,28.1
baseline,NA,33867,137.33,3.6,209.7,500.4,16.3,25.2
baseline,PLT,29222,198.59,91.44,249.5,526.8,14.0,19.5
baseline,TBIL,24127,0.78,0.43,278.6,544.9,12.5,14.9
baseline,TP,24294,6.04,0.92,267.7,534.9,13.4,16.9
baseline,WBC,29419,8.41,3.63,251.3,528.4,14.2,19.7
index,A1C,269,6.7,0.98,310.4,475.2,2.8,1.2
index,ALB,26023,3.5,0.6,100.6,264.9,5.0,5.8
index,ALP,23445,80.2,29.83,104.0,288.6,4.6,4.7
index,ALT,21698,20.56,12.31,107.8,292.2,4.6,4.9
index,AST,21751,23.56,9.67,107.7,291.4,4.6,4.8
index,BUN,25388,16.1,7.99,100.1,284.8,4.9,5.8
index,CA,25181,8.66,0.66,104.6,294.9,5.3,7.0
index,CL,26586,101.93,4.68,87.8,287.4,5.6,7.8
index,CO2,11019,24.86,3.7,63.1,266.0,6.6,10.0
index,CRE,38300,0.8,0.24,112.2,202.5,5.1,5.8
index,GLU,30553,140.43,47.53,81.8,238.9,10.2,19.5
index,HCT,37057,33.01,5.42,86.9,267.9,6.0,8.6
index,HGB,31439,10.99,1.87,93.6,262.5,5.5,7.6
index,K,34288,4.07,0.52,79.6,274.3,6.2,9.4
index,NA,33867,137.64,3.43,79.8,274.0,5.9,8.4
index,PLT,29222,220.46,96.04,95.9,282.9,5.1,6.5
index,TBIL,24127,0.69,0.37,106.5,276.7,4.6,5.0
index,TP,24294,6.27,0.86,103.5,286.7,4.9,5.7
index,WBC,29419,7.47,3.17,96.5,282.4,5.2,6.6
