dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
inspire,normal,A1C,NORMA_normal,32.0,0.2275605112314224,4.328060278706919,0.2861336299316465,-0.250557772645124,0.0532028764486313,,
inspire,normal,A1C,NORMA_marginal,32.0,0.3975259861442378,7.539724528900551,0.4879685966921113,-2.6370535768235746,0.2851220755406363,,
inspire,normal,A1C,NORMA_marginal_freq,32.0,0.4725469352981075,9.156518811472464,0.5675027746483369,-3.919284379701172,0.4508063458992938,,
inspire,normal,A1C,NORMA_oracle,32.0,0.2275605112314224,4.328060278706919,0.2861336299316465,-0.250557772645124,0.0532028764486313,,
inspire,normal,A1C,Mean,32.0,0.6894710994555033,13.141406920255028,0.8894448632767777,-11.083813495896072,0.5892999925436625,,
inspire,normal,A1C,Last,32.0,0.4218750119209289,7.99424092666279,0.551418642297759,-3.6443916994520897,0.3031250476837158,,
inspire,normal,A1C,ARIMA,32.0,0.5537085804368898,10.463901720053336,0.7284590269301556,-7.105432804445316,0.1041082722369008,,
inspire,normal,A1C,PopRI,32.0,0.4875000000000001,8.999637155297535,0.5505678886386312,-3.630071599045349,-0.4875000000000001,,
inspire,normal,A1C,PerRI,32.0,0.7045729047011298,13.394298598586976,0.9655100526997634,-13.239001995063296,0.5954955237229836,,
inspire,normal,A1C,Gaussian_mle,32.0,0.3324304902882206,6.259471109176817,0.4054859726658774,-1.511410009031679,-0.2174281406641605,,
inspire,normal,A1C,Gaussian_trunc,32.0,0.9602721937495808,18.06802614927233,1.8351954801567527,-50.44351236869158,0.4329243424382775,,
inspire,normal,A1C,Gaussian_eb,32.0,0.3170770668619027,5.986835960429622,0.3901481973145173,-1.325011793684277,-0.1659397481432662,,
inspire,normal,A1C,Cohen_m2,32.0,0.4662559509277343,8.93723988410111,0.531926246855008,-3.3218410629996,0.3711346626281738,,
inspire,normal,A1C,Cohen_m3,32.0,0.4826438367366791,9.303596330730704,0.555180389526552,-3.707975406814,0.4634039342403412,,
inspire,normal,A1C,Cohen_m4,32.0,0.3493346452713012,6.751523151869423,0.4290728372545641,-1.8120820951932288,0.2814413249492645,,
inspire,all_states,A1C,NORMA_normal,269.0,1.024176016527481,14.223229335200855,1.323926787208224,-0.911180812041228,-0.9736517048236604,,
inspire,all_states,A1C,NORMA_marginal,269.0,0.4615886669793496,6.732434368366446,0.6471115321414215,0.5434039852477215,-0.1571527318736336,,
inspire,all_states,A1C,NORMA_marginal_freq,269.0,0.5732579133634522,8.17090040510251,0.7710467820342475,0.351760791442714,-0.3666936409932978,,
inspire,all_states,A1C,NORMA_oracle,269.0,0.4155824608076017,6.045910385701239,0.5927478781013373,0.6168984989011069,-0.0633785641326336,,
inspire,all_states,A1C,Mean,269.0,0.5430242735425035,8.177985664020303,0.7100974073029516,0.4501937256959105,0.0306586314785566,,
inspire,all_states,A1C,Last,269.0,0.4631970972819842,6.906579755939589,0.6926593721624156,0.4768656139241604,-0.0141263128656436,,
inspire,all_states,A1C,ARIMA,269.0,0.6652550679750299,9.876946323465214,1.040403860445292,-0.1802601601196105,-0.0010167503474259,,
inspire,all_states,A1C,PopRI,269.0,1.9282527881040887,27.214628902005494,2.1529697653262394,-4.054168301596114,-1.9282527881040887,,
inspire,all_states,A1C,PerRI,269.0,0.5722448141380376,8.595760830813239,0.7876922286324172,0.3234701565338199,0.0041523409915663,,
inspire,all_states,A1C,Gaussian_mle,269.0,1.8555552527539425,26.02460121093333,2.1165553301440774,-3.8846459429110007,-1.8418746758469908,,
inspire,all_states,A1C,Gaussian_trunc,269.0,2.013639463847272,28.84876123873176,2.2993793740576565,-4.7649440981942695,-1.6285751918844036,,
inspire,all_states,A1C,Gaussian_eb,269.0,1.7774548739541902,24.830323526596253,2.060684293208708,-3.630168109683504,-1.7594757133631256,,
inspire,all_states,A1C,Cohen_m2,269.0,0.9510295924644044,13.022289830235486,1.2320963594987753,-0.6552484368567837,-0.8243086556076561,,
inspire,all_states,A1C,Cohen_m3,269.0,0.9577406195459756,13.127168759025354,1.2346951671200783,-0.6622384890314779,-0.8251661275842375,,
inspire,all_states,A1C,Cohen_m4,269.0,1.0396126644318875,14.22476782472794,1.318807953079001,-0.8964305930423015,-0.9609536217047822,,
inspire,normal,ALB,NORMA_normal,14629.0,0.1805436264719719,4.623322620424619,0.2335900546402081,0.4307215638517547,0.0332419387232753,,
inspire,normal,ALB,NORMA_marginal,14629.0,0.2493072787511969,6.400492773131133,0.330575984804875,-0.1401411949594195,-0.1112192372610779,,
inspire,normal,ALB,NORMA_marginal_freq,14629.0,0.204625302880987,5.088375149850041,0.2643456232914467,0.2709450123475425,-0.1341273505817997,,
inspire,normal,ALB,NORMA_oracle,14629.0,0.1805436264719719,4.623322620424619,0.2335900546402081,0.4307215638517547,0.0332419387232753,,
inspire,normal,ALB,Mean,14629.0,0.3300261637163312,8.296647484594475,0.4214928406110473,-0.8535164349427578,-0.2053288361711588,,
inspire,normal,ALB,Last,14629.0,0.2988857887653212,7.627254603014181,0.4043934685763436,-0.7061778599731914,-0.1532982652141224,,
inspire,normal,ALB,ARIMA,14629.0,0.3790019664778907,9.644103245899876,0.5604805666927234,-2.277458151068426,-0.1755852563125834,,
inspire,normal,ALB,PopRI,14629.0,0.5932941417731903,15.764124214165982,0.6558209884648912,-3.487316059683653,0.5781461480620685,,
inspire,normal,ALB,PerRI,14629.0,0.3546030597656471,8.962580173420855,0.4596760889205849,-1.204549546689559,-0.2132382960468584,,
inspire,normal,ALB,Gaussian_mle,14629.0,0.2614602012144172,6.760687064435637,0.3332555222464377,-0.1586993042484521,0.0676246896855699,,
inspire,normal,ALB,Gaussian_trunc,14629.0,1.2740787858049962,33.171823131763176,2.3779877272599297,-57.997723565682094,-1.0459556977477436,,
inspire,normal,ALB,Gaussian_eb,14629.0,0.2535508395913827,6.575336480099484,0.3160865615954553,-0.0423848753817008,0.080210808781671,,
inspire,normal,ALB,Cohen_m2,14629.0,0.356594788830151,8.954898210526508,0.4405512952978728,-1.0249252776238027,-0.2128875368560148,,
inspire,normal,ALB,Cohen_m3,14629.0,0.2479036051150233,6.359557024198219,0.30238618589283,0.0460185476117928,0.0489454446369254,,
inspire,normal,ALB,Cohen_m4,14629.0,0.236980099870026,6.097602636103588,0.2894966706824653,0.1256140230758619,0.0560069186484238,,
inspire,all_states,ALB,NORMA_normal,26021.0,0.3550160917457512,11.45914139204242,0.4571549381560514,0.3100548910175894,0.2718348778648841,,
inspire,all_states,ALB,NORMA_marginal,26021.0,0.2409237418466756,7.034779443146324,0.3276746748370098,0.6455349146167584,-0.0134464335143104,,
inspire,all_states,ALB,NORMA_marginal_freq,26021.0,0.3133520290916592,9.853827043116777,0.3959549869952777,0.4824177859723275,0.121971929922362,,
inspire,all_states,ALB,NORMA_oracle,26021.0,0.1765547346901112,5.160834667839072,0.2314850943699762,0.8230975806234131,0.0010813225864571,,
inspire,all_states,ALB,Mean,26021.0,0.3431295720372024,10.108256737017827,0.4341427777936589,0.377767242334026,0.0123167573448752,,
inspire,all_states,ALB,Last,26021.0,0.2716575147462319,7.797885477154836,0.3792026182643386,0.525287831576037,-0.0549479389854041,,
inspire,all_states,ALB,ARIMA,26021.0,0.3405365386850003,9.735892068300371,0.5192445722278928,0.1099146756104635,-0.0573553146057926,,
inspire,all_states,ALB,PopRI,26021.0,0.9983244302678608,31.750543858812915,1.1325323018366886,-3.234370984175709,0.9898082318127666,,
inspire,all_states,ALB,PerRI,26021.0,0.3586439863113199,10.516100190358618,0.4660723326514077,0.2828758384401858,-0.0089306983456788,,
inspire,all_states,ALB,Gaussian_mle,26021.0,0.6037992630382707,19.718866372312952,0.7901346751737129,-1.0610567603264056,0.4948249846417638,,
inspire,all_states,ALB,Gaussian_trunc,26021.0,1.4613915796253496,43.97742391805594,2.3346237768465685,-16.993743200122044,-0.6327894773334254,,
inspire,all_states,ALB,Gaussian_eb,26021.0,0.5805193324020805,18.95320344812683,0.7482663355689685,-0.8484177196227543,0.483067608382432,,
inspire,all_states,ALB,Cohen_m2,26021.0,0.4045680021287696,12.296264456973317,0.4928970914473638,0.1979522581228376,0.0842694227244943,,
inspire,all_states,ALB,Cohen_m3,26021.0,0.5194327599822427,16.817249168823363,0.6435287462817313,-0.3671734394401247,0.4075785295670361,,
inspire,all_states,ALB,Cohen_m4,26021.0,0.5091910793891139,16.523649545799,0.6335298055674617,-0.3250181075718634,0.4074480000266444,,
inspire,normal,ALP,NORMA_normal,22188.0,8.480356116541575,11.980610668425236,12.14971389279533,0.6965157132008095,-2.1463675922760346,,
inspire,normal,ALP,NORMA_marginal,22188.0,8.876777468459265,12.542484900388567,12.979965767673088,0.6536212808138215,-0.2397514852240569,,
inspire,normal,ALP,NORMA_marginal_freq,22188.0,9.037282435017852,13.518218566385942,12.49494627463803,0.6790237535735699,2.628477616841639,,
inspire,normal,ALP,NORMA_oracle,22188.0,8.480356116541575,11.980610668425236,12.14971389279533,0.6965157132008095,-2.1463675922760346,,
inspire,normal,ALP,Mean,22188.0,12.9820914519057,18.55414696068287,17.716557102174534,0.3546983664853267,-2.924116138079062,,
inspire,normal,ALP,Last,22188.0,9.437984496124033,13.213177078479664,14.117693376400265,0.5902380780452777,-1.4707950243374797,,
inspire,normal,ALP,ARIMA,22188.0,12.382240207958434,17.460044192267922,20.593512611200524,0.1281034326192759,-0.8293353116792271,,
inspire,normal,ALP,PopRI,22188.0,19.30782404903552,33.493815527157764,22.90046930745159,-0.0781839757985227,6.16675680548044,,
inspire,normal,ALP,PerRI,22188.0,14.161291884231394,19.67155723013952,19.91249668507701,0.18481619926712,-5.46747621737093,,
