method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PopRI,high,A1C,648,0.0,1.0,1.0,
PopRI,high,ALP,9519,0.0,1.0,1.0,
PopRI,high,ALT,10982,0.0,1.0,1.0,
PopRI,high,AST,5199,0.0,1.0,1.0,
PopRI,high,BUN,31191,0.0,1.0,1.0,
PopRI,high,CL,26846,0.0,1.0,1.0,
PopRI,high,CO2,13786,0.0,1.0,1.0,
PopRI,high,CRE,14630,0.0,1.0,1.0,
PopRI,high,GLU,244965,0.0,1.0,1.0,
PopRI,high,K,4836,0.0,1.0,1.0,
PopRI,high,TBIL,13358,0.0,1.0,1.0,
PopRI,high,WBC,22773,0.0,1.0,1.0,
PopRI,low,ALB,56437,0.0,1.0,1.0,
PopRI,low,ALT,18925,0.0,1.0,1.0,
PopRI,low,BUN,15111,0.0,1.0,1.0,
PopRI,low,CA,57160,0.0,1.0,1.0,
PopRI,low,CL,28764,0.0,1.0,1.0,
PopRI,low,CO2,21619,0.0,1.0,1.0,
PopRI,low,CRE,33298,0.0,1.0,1.0,
PopRI,low,HCT,176113,0.0,1.0,1.0,
PopRI,low,HGB,138000,0.0,1.0,1.0,
PopRI,low,K,28049,0.0,1.0,1.0,
PopRI,low,NA,43343,0.0,1.0,1.0,
PopRI,low,PLT,33282,0.0,1.0,1.0,
PopRI,low,TP,38707,0.0,1.0,1.0,
PopRI,low,WBC,24402,0.0,1.0,1.0,
PopRI,normal,A1C,104,1.0,1.0,1.0,
PopRI,normal,ALB,70958,1.0,1.0,1.0,
PopRI,normal,ALP,96930,1.0,1.0,1.0,
PopRI,normal,ALT,69062,1.0,1.0,1.0,
PopRI,normal,AST,93762,1.0,1.0,1.0,
PopRI,normal,BUN,77473,1.0,1.0,1.0,
PopRI,normal,CA,75102,1.0,1.0,1.0,
PopRI,normal,CL,91483,1.0,1.0,1.0,
PopRI,normal,CO2,37116,1.0,1.0,1.0,
PopRI,normal,CRE,141775,1.0,1.0,1.0,
PopRI,normal,GLU,54817,1.0,1.0,1.0,
PopRI,normal,HCT,31085,1.0,1.0,1.0,
PopRI,normal,HGB,25521,1.0,1.0,1.0,
PopRI,normal,K,179723,1.0,1.0,1.0,
PopRI,normal,NA,154253,1.0,1.0,1.0,
PopRI,normal,PLT,114816,1.0,1.0,1.0,
PopRI,normal,TBIL,97116,1.0,1.0,1.0,
PopRI,normal,TP,79846,1.0,1.0,1.0,
PopRI,normal,WBC,104538,1.0,1.0,1.0,
PopRI,all,A1C,752,0.1383,1.0,1.0,
PopRI,all,ALB,127395,0.557,1.0,1.0,
PopRI,all,ALP,106449,0.9106,1.0,1.0,
PopRI,all,ALT,98969,0.6978,1.0,1.0,
PopRI,all,AST,98961,0.9475,1.0,1.0,
PopRI,all,BUN,123775,0.6259,1.0,1.0,
PopRI,all,CA,132262,0.5678,1.0,1.0,
PopRI,all,CL,147093,0.6219,1.0,1.0,
PopRI,all,CO2,72521,0.5118,1.0,1.0,
