method,analyte,n_cal,n_eval,gamma,coverage_raw,width_rel_raw,coverage_cal,width_rel_cal,n_analytes
Gaussian_eb,median,,,1.1253,0.923,0.8028,0.9499,0.9354,19.0
PopRI,median,,,1.0,1.0,1.0,1.0,1.0,19.0
NORMA_334f7e21,median,,,1.2845,0.8855,0.7381,0.9486,1.0457,19.0
NORMA_q_age_set_co,median,,,1.388,0.8628,0.7446,0.9489,1.0467,19.0
NORMA_q_age_set,median,,,1.2782,0.8999,0.7873,0.9473,1.0599,19.0
NORMA_q_age,median,,,1.2629,0.8946,0.7479,0.9492,1.0615,19.0
Cohen_m4,median,,,1.536,0.813,0.7062,0.9492,1.1012,19.0
Cohen_m3,median,,,1.5272,0.8087,0.7405,0.95,1.1509,19.0
Cohen_m2,median,,,1.7734,0.792,0.7483,0.95,1.1636,19.0
Gaussian_mle,median,,,1.4129,0.8875,0.8235,0.9514,1.1667,18.0
Gaussian_trunc,median,,,2.7202,0.6982,1.04,0.9515,2.7568,18.0
PerRI,median,,,5.5199,0.6756,0.7134,0.9521,5.7736,19.0
